Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches


Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,1.1,4,1,0,4,0,2,6,33.3,4,1,0,1,2,6,0,0,Matches
Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,1.5,1,0,1,0,0,0,4,0.0,4,5,1,4,3,4,1,0,Matches
Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,5.5,9,5,3,6,0,2,6,33.3,4,6,1,5,5,14,7,0,Matches
Francesco Acerbi,it ITA,DF,it Inter,35,1988,4.7,3,1,2,0,1,2,5,40.0,3,1,0,1,5,8,15,0,Matches
Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,6.1,16,11,10,0,6,5,11,45.5,6,6,0,6,2,18,4,1,Matches
Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,2.2,2,2,1,1,0,1,2,50.0,1,1,1,0,1,3,2,0,Matches
Karim Adeyemi,de GER,FW,de Dortmund,21,2002,7.9,7,5,4,3,0,4,8,50.0,4,7,0,7,8,15,5,0,Matches
Yacine Adli,fr FRA,MF,it Milan,23,2000,1.4,3,2,1,2,0,2,4,50.0,2,0,0,0,3,6,4,0,Matches
Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,1.1,4,4,2,2,0,2,3,66.7,1,3,0,3,0,4,1,0,Matches
Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,7.4,12,7,5,4,3,4,7,57.1,3,4,2,2,2,14,11,0,Matches
Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,4.3,4,2,3,1,0,2,3,66.7,1,1,0,1,0,4,11,0,Matches
Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,4.9,5,4,1,2,2,5,7,71.4,2,3,0,3,2,7,5,0,Matches
David Alaba,at AUT,DF,es Real Madrid,31,1992,2.8,1,1,0,1,0,1,1,100.0,0,1,1,0,3,4,9,1,Matches
Luis Alberto,es ESP,MF,it Lazio,30,1992,7.1,4,2,1,2,1,1,10,10.0,9,13,4,9,7,11,3,0,Matches
Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5.0,6,4,4,2,0,5,9,55.6,4,9,5,4,5,11,24,0,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,4.6,15,11,4,7,4,10,15,66.7,5,8,1,7,4,19,2,0,Matches
Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,1.5,1,0,0,1,0,1,1,100.0,0,3,0,3,2,3,5,0,Matches
Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,1.4,2,2,0,1,1,0,4,0.0,4,0,0,0,2,4,0,0,Matches
