Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,1.1,0,0,0,0,0,0,0,2,1,0,0,0,4,0,2,0.0,Matches
Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,1.5,0,0,0,1,1,0,0,3,0,0,0,0,10,2,3,40.0,Matches
Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,5.5,2,0,0,12,9,0,0,5,5,0,0,0,29,4,5,44.4,Matches
Francesco Acerbi,it ITA,DF,it Inter,35,1988,4.7,1,0,0,4,6,1,4,5,1,0,0,0,25,12,5,70.6,Matches
Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,6.1,0,0,0,5,4,4,12,2,11,0,0,0,37,9,6,60.0,Matches
Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,2.2,0,0,0,5,2,0,4,1,2,0,0,0,16,2,3,40.0,Matches
Karim Adeyemi,de GER,FW,de Dortmund,21,2002,7.9,0,0,0,15,12,1,14,8,5,0,0,0,42,5,4,55.6,Matches
Yacine Adli,fr FRA,MF,it Milan,23,2000,1.4,0,0,0,1,3,0,10,3,2,0,0,0,10,1,2,33.3,Matches
Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,1.1,0,0,0,1,1,2,1,0,4,0,0,0,5,0,2,0.0,Matches
Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,7.4,2,0,0,5,8,0,2,2,7,0,0,0,29,5,4,55.6,Matches
Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,4.3,0,0,0,2,3,0,3,0,2,0,0,0,22,6,2,75.0,Matches
Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,4.9,0,0,0,2,7,3,23,2,4,0,0,0,25,3,6,33.3,Matches
David Alaba,at AUT,DF,es Real Madrid,31,1992,2.8,1,0,0,1,0,0,7,3,1,0,0,0,7,2,1,66.7,Matches
Luis Alberto,es ESP,MF,it Lazio,30,1992,7.1,1,0,0,2,4,1,43,7,2,0,0,0,32,1,3,25.0,Matches
Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5.0,2,0,0,5,0,0,1,5,4,0,0,0,24,13,7,65.0,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,1.5,0,0,0,2,2,0,4,0,0,0,0,0,10,1,2,33.3,Matches
Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,4.6,1,0,0,2,13,1,5,4,11,0,0,0,24,0,1,0.0,Matches
Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,1.5,0,0,0,3,1,0,7,2,0,0,0,0,8,1,1,50.0,Matches
Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,1.4,0,0,0,2,3,0,1,2,2,0,0,0,8,2,10,16.7,Matches
