Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Matches


Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,1.1,38,45,84.4,630,214,17,19,89.5,18,20,90.0,2,2,100.0,0,0.0,0.0,0.0,1,3,0,0,3,Matches
Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,1.5,29,40,72.5,471,168,16,20,80.0,11,14,78.6,2,3,66.7,0,0.0,0.0,0.0,0,6,0,0,2,Matches
Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,5.5,166,193,86.0,2551,681,87,100,87.0,65,74,87.8,9,11,81.8,0,0.3,0.3,-0.3,6,18,1,0,13,Matches
Francesco Acerbi,it ITA,DF,it Inter,35,1988,4.7,261,304,85.9,4640,1353,101,113,89.4,134,150,89.3,21,29,72.4,1,0.3,0.1,+0.7,1,12,1,1,22,Matches
Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,6.1,126,182,69.2,1740,436,75,88,85.2,45,58,77.6,2,15,13.3,1,0.9,1.6,+0.1,5,4,6,2,16,Matches
Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,2.2,59,87,67.8,986,382,33,35,94.3,18,27,66.7,7,17,41.2,1,0.5,0.4,+0.5,1,4,4,2,5,Matches
Karim Adeyemi,de GER,FW,de Dortmund,21,2002,7.9,149,200,74.5,2109,501,93,114,81.6,31,40,77.5,11,17,64.7,1,1.4,0.9,-0.4,14,5,8,3,12,Matches
Yacine Adli,fr FRA,MF,it Milan,23,2000,1.4,74,91,81.3,1539,471,34,38,89.5,24,32,75.0,16,21,76.2,0,0.1,0.1,-0.1,2,11,2,1,11,Matches
Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,1.1,33,43,76.7,400,231,22,25,88.0,9,15,60.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,7.4,618,652,94.8,9842,2622,324,334,97.0,253,262,96.6,32,39,82.1,0,0.6,0.5,-0.6,5,51,6,0,47,Matches
Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,4.3,406,422,96.2,6460,1869,209,213,98.1,174,182,95.6,19,21,90.5,0,0.4,0.5,-0.4,6,45,4,2,32,Matches
Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,4.9,92,141,65.2,1476,537,48,60,80.0,25,39,64.1,12,25,48.0,0,0.9,1.5,-0.9,9,6,8,3,13,Matches
David Alaba,at AUT,DF,es Real Madrid,31,1992,2.8,190,212,89.6,3007,924,100,101,99.0,77,85,90.6,10,21,47.6,1,0.4,0.4,+0.6,2,11,3,2,6,Matches
