Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked,Matches


Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,1.1,45,39,4,1,0,1,0,3,0,0,0,0,38,2,1,Matches
Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,1.5,40,40,0,0,0,0,0,0,0,0,0,0,29,0,0,Matches
Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,5.5,193,187,6,5,2,0,0,1,0,0,0,0,166,0,2,Matches
Francesco Acerbi,it ITA,DF,it Inter,35,1988,4.7,304,288,16,10,0,2,4,1,0,0,0,0,261,0,3,Matches
Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,6.1,182,172,8,1,0,0,12,2,1,1,0,0,126,2,10,Matches
Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,2.2,87,70,15,1,1,2,4,14,0,0,0,0,59,2,2,Matches
Karim Adeyemi,de GER,FW,de Dortmund,21,2002,7.9,200,191,8,2,0,1,14,3,3,0,3,0,149,1,9,Matches
Yacine Adli,fr FRA,MF,it Milan,23,2000,1.4,91,78,13,3,1,3,10,3,7,3,4,0,74,0,0,Matches
Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,1.1,43,26,17,0,0,0,1,17,0,0,0,0,33,0,0,Matches
Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,7.4,652,619,32,19,1,3,2,10,0,0,0,0,618,1,1,Matches
Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,4.3,422,406,16,9,0,1,3,7,0,0,0,0,406,0,2,Matches
Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,4.9,141,116,24,9,2,0,23,3,12,7,3,0,92,1,7,Matches
David Alaba,at AUT,DF,es Real Madrid,31,1992,2.8,212,201,11,1,0,1,7,7,3,2,0,0,190,0,2,Matches
Luis Alberto,es ESP,MF,it Lazio,30,1992,7.1,497,431,63,25,1,2,43,0,33,17,12,0,396,3,5,Matches
Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5.0,319,296,22,20,1,3,1,0,0,0,0,0,263,1,2,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,1.5,31,28,1,0,0,0,4,0,0,0,0,0,22,2,3,Matches
Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,4.6,156,155,1,0,0,0,5,1,0,0,0,0,117,0,4,Matches
Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,1.5,94,80,13,5,0,1,7,8,0,0,0,0,79,1,1,Matches
Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,1.4,39,35,4,0,0,1,1,4,0,0,0,0,31,0,0,Matches
Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,3.1,184,159,25,4,2,1,20,1,18,6,5,0,157,0,1,Matches
