Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches


Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,2,1,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,2,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.18,0.15,0.18,Matches
Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,6,1,137,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,2,4,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches
Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,6,6,495,5.5,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.4,4,13,4,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.08,0.04,0.08,Matches
Francesco Acerbi,it ITA,DF,it Inter,35,1988,6,4,423,4.7,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,5,22,5,0.00,0.21,0.21,0.00,0.21,0.05,0.06,0.12,0.05,0.12,Matches
Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,8,7,552,6.1,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,17,16,38,0.00,0.16,0.16,0.00,0.16,0.05,0.14,0.19,0.05,0.19,Matches
Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,3,2,198,2.2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,2,5,5,0.00,0.45,0.45,0.00,0.45,0.07,0.21,0.27,0.07,0.27,Matches
Karim Adeyemi,de GER,FW,de Dortmund,21,2002,12,8,707,7.9,2,1,3,2,0,0,0,0,1.8,1.8,1.4,3.2,26,12,50,0.25,0.13,0.38,0.25,0.38,0.23,0.18,0.41,0.23,0.41,Matches
Yacine Adli,fr FRA,MF,it Milan,23,2000,3,1,123,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,4,11,1,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,Matches
Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,8,7,665,7.4,2,0,2,2,0,0,2,0,1.0,1.0,0.6,1.5,15,47,13,0.27,0.00,0.27,0.27,0.27,0.13,0.08,0.20,0.13,0.20,Matches
