id,player_id,club_id,nation_id,league_nation_id,comp_id,position,age,year_of_birth
0,499,1,248,14,41,MF,27,1994
1,499,1,248,14,42,MF,27,1994
2,863,1,198,14,41,MF,31,1989
3,863,1,198,14,42,MF,31,1989
4,1966,1,98,14,41,FW,22,1999
5,1966,1,98,14,42,FW,22,1999
6,1983,1,13,14,41,GK,28,1992
7,1983,1,13,14,42,GK,28,1992
8,2008,1,88,14,41,DF,24,1997
9,2008,1,88,14,42,DF,24,1997
10,2129,1,197,14,41,MF,26,1995
11,2129,1,197,14,42,MF,26,1995
12,2138,1,88,14,41,MF,31,1990
13,2138,1,88,14,42,MF,31,1990
14,2333,1,249,14,41,MF,28,1993
15,2333,1,249,14,42,MF,28,1993
16,2927,1,114,14,41,"DF,MF",31,1990
17,2927,1,114,14,42,"DF,MF",31,1990
18,3833,1,98,14,41,DF,23,1998
19,3833,1,98,14,42,DF,23,1998
20,3843,1,98,14,41,DF,33,1987
21,3843,1,98,14,42,DF,33,1987
22,3858,1,98,14,41,DF,21,1999
23,3858,1,98,14,42,DF,21,1999
24,3956,1,98,14,41,MF,22,1998
25,3956,1,98,14,42,MF,22,1998
26,4038,1,197,14,41,MF,31,1990
27,4038,1,197,14,42,MF,31,1990
28,5733,1,114,14,41,FW,31,1990
29,5733,1,114,14,42,FW,31,1990
30,5992,1,98,14,41,MF,23,1997
31,5992,1,98,14,42,MF,23,1997
32,6303,1,262,14,41,"MF,FW",23,1997
33,6303,1,262,14,42,"MF,FW",23,1997
34,6347,1,98,14,41,DF,23,1997
35,6347,1,98,14,42,DF,23,1997
36,7031,1,2,14,41,DF,17,2003
37,7031,1,2,14,42,DF,17,2003
38,7701,1,98,14,41,FW,19,2002
39,7701,1,98,14,42,FW,19,2002
40,7850,1,114,14,41,DF,27,1993
41,7850,1,114,14,42,DF,27,1993
42,8124,1,248,14,41,"FW,MF",26,1995
43,8124,1,248,14,42,"FW,MF",26,1995
44,8651,1,160,14,41,"MF,FW",34,1987
45,8651,1,160,14,42,"MF,FW",34,1987
46,8717,1,30,14,41,DF,31,1989
47,8717,1,30,14,42,DF,31,1989
48,8951,1,98,14,41,GK,28,1993
49,8951,1,98,14,42,GK,28,1993
50,9224,1,98,14,41,MF,29,1991
51,9224,1,98,14,42,MF,29,1991
52,10219,1,9,14,41,FW,29,1992
53,10219,1,9,14,42,FW,29,1992
54,10584,1,249,14,41,"MF,FW",29,1991
55,10584,1,249,14,42,"MF,FW",29,1991
56,10612,1,98,14,41,DF,23,1997
57,10612,1,98,14,42,DF,23,1997
