player_id,player,nation,position,club,age,year_of_birth,league,season,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks)
1,Aaron Appindangoyé,GAB,DF,Sivasspor,29,1992,Super_Lig,2021_2022,,,,,,,,,,,,,,,,,,,
1,Aaron Appindangoyé,GAB,DF,Sivasspor,30,1992,Super_Lig,2022_2023,,,,,,,,,,,,,,,,,,,
1,Aaron Appindangoyé,GAB,DF,Sivasspor,31,1992,Super_Lig,2023_2024,,,,,,,,,,,,,,,,,,,
2,Aaron Connolly,IRL,"FW,MF",Brighton,21,2000,Premier_League,2021_2022,,,,,,,,,,,,,,,,,,,
3,Aaron Cresswell,ENG,DF,West Ham,31,1989,Premier_League,2021_2022,,,,,,,,,,,,,,,,,,,
3,Aaron Cresswell,ENG,DF,West Ham,32,1989,Premier_League,2022_2023,,,,,,,,,,,,,,,,,,,
3,Aaron Cresswell,ENG,"DF,FW",West Ham,33,1989,Premier_League,2023_2024,,,,,,,,,,,,,,,,,,,
4,Aaron Hickey,SCO,DF,Brentford,20,2002,Premier_League,2022_2023,,,,,,,,,,,,,,,,,,,
4,Aaron Hickey,SCO,DF,Brentford,21,2002,Premier_League,2023_2024,,,,,,,,,,,,,,,,,,,
5,Aaron Hickey,SCO,DF,Bologna,19,2002,Serie_A,2021_2022,,,,,,,,,,,,,,,,,,,
6,Aaron Lennon,ENG,"MF,FW",Burnley,34,1987,Premier_League,2021_2022,,,,,,,,,,,,,,,,,,,
7,Aaron Leya Iseka,BEL,FW,OFI Crete,25,1997,Super_League_Greece,2023_2024,,,,,,,,,,,,,,,,,,,
8,Aaron Malouda,FRA,FW,Lille,17,2005,Ligue_1,2023_2024,,,,,,,,,,,,,,,,,,,
9,Aaron Meijers,NED,DF,RKC Waalwijk,35,1987,Eredivisie,2023_2024,,,,,,,,,,,,,,,,,,,
9,Aaron Meijers,NED,DF,Sparta R'dam,33,1987,Eredivisie,2021_2022,,,,,,,,,,,,,,,,,,,
9,Aaron Meijers,NED,DF,Sparta R'dam,34,1987,Eredivisie,2022_2023,,,,,,,,,,,,,,,,,,,
10,Aaron Ramsdale,ENG,GK,Arsenal,23,1998,Premier_League,2021_2022,34.0,34.0,"3,060",34.0,39.0,1.15,128.0,90.0,73.4,21.0,3.0,10.0,12.0,35.3,6.0,5.0,0.0,1.0,0.0
10,Aaron Ramsdale,ENG,GK,Arsenal,24,1998,Premier_League,2022_2023,38.0,38.0,"3,420",38.0,43.0,1.13,136.0,94.0,70.6,26.0,6.0,6.0,14.0,36.8,5.0,3.0,0.0,2.0,0.0
10,Aaron Ramsdale,ENG,GK,Arsenal,25,1998,Premier_League,2023_2024,6.0,6.0,540,6.0,5.0,0.83,14.0,9.0,64.3,5.0,1.0,0.0,2.0,33.3,0.0,0.0,0.0,0.0,
11,Aaron Ramsey,ENG,"MF,FW",Burnley,20,2003,Premier_League,2023_2024,,,,,,,,,,,,,,,,,,,
12,Aaron Ramsey,WAL,MF,Nice,31,1990,Ligue_1,2022_2023,,,,,,,,,,,,,,,,,,,
13,Aaron Ramsey,WAL,MF,Juventus,30,1990,Serie_A,2021_2022,,,,,,,,,,,,,,,,,,,
14,Aaron Schwarz,AUT,"MF,FW",SK Austria Klagenfurt,19,2004,Austrian_Bundesliga,2023_2024,,,,,,,,,,,,,,,,,,,
15,Aaron Seydel,GER,FW,Darmstadt 98,27,1996,Bundesliga,2023_2024,,,,,,,,,,,,,,,,,,,
16,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,23,1997,Premier_League,2021_2022,,,,,,,,,,,,,,,,,,,
16,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,24,1997,Premier_League,2022_2023,,,,,,,,,,,,,,,,,,,
16,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,25,1997,Premier_League,2023_2024,,,,,,,,,,,,,,,,,,,
17,Aaron Zehnter,GER,DF,Augsburg,17,2004,Bundesliga,2022_2023,,,,,,,,,,,,,,,,,,,
18,Aarón Escandell,ESP,GK,Granada,25,1995,La_Liga,2021_2022,4.0,3.0,284,3.2,6.0,1.9,16.0,10.0,75.0,0.0,2.0,1.0,1.0,33.3,2.0,2.0,0.0,0.0,0.0
18,Aarón Escandell,ESP,GK,Las Palmas,27,1995,La_Liga,2023_2024,2.0,1.0,153,1.7,3.0,1.76,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,Aarón Martín,ESP,DF,Mainz 05,24,1997,Bundesliga,2021_2022,,,,,,,,,,,,,,,,,,,
19,Aarón Martín,ESP,DF,Mainz 05,25,1997,Bundesliga,2022_2023,,,,,,,,,,,,,,,,,,,
20,Aarón Martín,ESP,DF,Genoa,26,1997,Serie_A,2023_2024,,,,,,,,,,,,,,,,,,,
21,Abakar Sylla,CIV,DF,Club Brugge,19,2002,Belgian_Pro_League,2022_2023,,,,,,,,,,,,,,,,,,,
22,Abakar Sylla,CIV,DF,Strasbourg,20,2002,Ligue_1,2023_2024,,,,,,,,,,,,,,,,,,,
23,Abass Issah,GHA,"FW,MF",Chaves,23,1998,Primeira_Liga,2022_2023,,,,,,,,,,,,,,,,,,,
23,Abass Issah,GHA,"MF,FW",Chaves,24,1998,Primeira_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
24,Abat Ajymbetow,KAZ,FW,Adana Demirspor,27,1995,Super_Lig,2023_2024,,,,,,,,,,,,,,,,,,,
25,Abbas Ibrahim,NGA,"MF,DF",Paços,24,1998,Primeira_Liga,2022_2023,,,,,,,,,,,,,,,,,,,
25,Abbas Ibrahim,NGA,"MF,FW",Paços,23,1998,Primeira_Liga,2021_2022,,,,,,,,,,,,,,,,,,,
26,Abdallah Sima,SEN,FW,Angers,21,2001,Ligue_1,2022_2023,,,,,,,,,,,,,,,,,,,
27,Abde Ezzalzouli,MAR,FW,Barcelona,19,2001,La_Liga,2021_2022,,,,,,,,,,,,,,,,,,,
27,Abde Ezzalzouli,MAR,FW,Betis,21,2001,La_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
27,Abde Ezzalzouli,MAR,"FW,MF",Barcelona,21,2001,La_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
27,Abde Ezzalzouli,MAR,"FW,MF",Osasuna,20,2001,La_Liga,2022_2023,,,,,,,,,,,,,,,,,,,
28,Abdel Abqar,MAR,DF,Alavés,24,1999,La_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
29,Abdel Jalil Medioub,ALG,DF,Bordeaux,23,1997,Ligue_1,2021_2022,,,,,,,,,,,,,,,,,,,
30,Abdelhamid Sabiri,MAR,"MF,FW",Sampdoria,24,1996,Serie_A,2021_2022,,,,,,,,,,,,,,,,,,,
30,Abdelhamid Sabiri,MAR,"MF,FW",Sampdoria,25,1996,Serie_A,2022_2023,,,,,,,,,,,,,,,,,,,
31,Abdelkahar Kadri,ALG,MF,Kortrijk,21,2000,Belgian_Pro_League,2021_2022,,,,,,,,,,,,,,,,,,,
31,Abdelkahar Kadri,ALG,"MF,FW",Kortrijk,22,2000,Belgian_Pro_League,2022_2023,,,,,,,,,,,,,,,,,,,
31,Abdelkahar Kadri,ALG,"MF,FW",Kortrijk,23,2000,Belgian_Pro_League,2023_2024,,,,,,,,,,,,,,,,,,,
32,Abdellah Baallal,MAR,MF,Clermont Foot,18,2004,Ligue_1,2023_2024,,,,,,,,,,,,,,,,,,,
33,Abdellah Raihani,MAR,FW,Atlético Madrid,19,2004,La_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
34,Abdenasser El Khayati,NED,"MF,FW",Willem II,32,1989,Eredivisie,2021_2022,,,,,,,,,,,,,,,,,,,
35,Abdenego Nankishi,GER,FW,Heracles Almelo,21,2002,Eredivisie,2023_2024,,,,,,,,,,,,,,,,,,,
36,Abderahmane Soussi,MAR,"FW,MF",Antwerp,18,2003,Belgian_Pro_League,2021_2022,,,,,,,,,,,,,,,,,,,
37,Abderrahman Rebbach,ALG,"FW,MF",Alavés,24,1998,La_Liga,2023_2024,,,,,,,,,,,,,,,,,,,
38,Abdou Diallo,SEN,"DF,MF",RB Leipzig,26,1996,Bundesliga,2022_2023,,,,,,,,,,,,,,,,,,,
39,Abdou Diallo,SEN,DF,Paris S-G,25,1996,Ligue_1,2021_2022,,,,,,,,,,,,,,,,,,,
40,Abdou Harroui,NED,MF,Sassuolo,23,1998,Serie_A,2021_2022,,,,,,,,,,,,,,,,,,,
40,Abdou Harroui,NED,MF,Sassuolo,24,1998,Serie_A,2022_2023,,,,,,,,,,,,,,,,,,,
40,Abdou Harroui,NED,"MF,FW",Frosinone,25,1998,Serie_A,2023_2024,,,,,,,,,,,,,,,,,,,
41,Abdou Harroui,NED,MF,Sparta R'dam,23,1998,Eredivisie,2021_2022,,,,,,,,,,,,,,,,,,,
42,Abdoul Kader Bamba,FRA,"FW,MF",Nantes,28,1994,Ligue_1,2022_2023,,,,,,,,,,,,,,,,,,,
42,Abdoul Kader Bamba,FRA,"FW,MF",Nantes,29,1994,Ligue_1,2023_2024,,,,,,,,,,,,,,,,,,,
43,Abdoul Kader Yaméogo,CIV,DF,Club Brugge,18,2004,Belgian_Pro_League,2023_2024,,,,,,,,,,,,,,,,,,,
44,Abdoul Koné,FRA,DF,Reims,18,2005,Ligue_1,2023_2024,,,,,,,,,,,,,,,,,,,
45,Abdoul Rachid Ayinde,BFA,"DF,MF",Gent,18,2005,Belgian_Pro_League,2023_2024,,,,,,,,,,,,,,,,,,,
46,Abdoul-Fessal Tapsoba,BFA,FW,Standard Liège,20,2001,Belgian_Pro_League,2022_2023,,,,,,,,,,,,,,,,,,,
46,Abdoul-Fessal Tapsoba,BFA,"FW,MF",Standard Liège,19,2001,Belgian_Pro_League,2021_2022,,,,,,,,,,,,,,,,,,,
47,Abdoulay Diaby,MLI,MF,Pendikspor,32,1991,Super_Lig,2023_2024,,,,,,,,,,,,,,,,,,,
48,Abdoulaye Ba,SEN,DF,Arouca,30,1991,Primeira_Liga,2021_2022,,,,,,,,,,,,,,,,,,,
48,Abdoulaye Ba,SEN,DF,Moreirense,30,1991,Primeira_Liga,2021_2022,,,,,,,,,,,,,,,,,,,
49,Abdoulaye Bakayoko,FRA,DF,Saint-Étienne,18,2002,Ligue_1,2021_2022,,,,,,,,,,,,,,,,,,,
50,Abdoulaye Bamba,CIV,DF,Angers,32,1990,Ligue_1,2022_2023,,,,,,,,,,,,,,,,,,,
50,Abdoulaye Bamba,CIV,"DF,FW",Angers,31,1990,Ligue_1,2021_2022,,,,,,,,,,,,,,,,,,,
51,Abdoulaye Cissé,GUI,DF,Novi Pazar,28,1994,Serbian_SuperLiga,2023_2024,,,,,,,,,,,,,,,,,,,
52,Abdoulaye Dabo,FRA,MF,Levadiakos,21,2001,Super_League_Greece,2022_2023,,,,,,,,,,,,,,,,,,,
53,Abdoulaye Doucouré,MLI,"FW,MF",Everton,30,1993,Premier_League,2023_2024,,,,,,,,,,,,,,,,,,,
53,Abdoulaye Doucouré,MLI,MF,Everton,28,1993,Premier_League,2021_2022,,,,,,,,,,,,,,,,,,,
53,Abdoulaye Doucouré,MLI,MF,Everton,29,1993,Premier_League,2022_2023,,,,,,,,,,,,,,,,,,,
54,Abdoulaye Seck,SEN,DF,Antwerp,29,1992,Belgian_Pro_League,2021_2022,,,,,,,,,,,,,,,,,,,
55,Abdoulaye Sissako,FRA,MF,Kortrijk,25,1998,Belgian_Pro_League,2023_2024,,,,,,,,,,,,,,,,,,,
55,Abdoulaye Sissako,FRA,MF,Zulte Waregem,23,1998,Belgian_Pro_League,2021_2022,,,,,,,,,,,,,,,,,,,
55,Abdoulaye Sissako,FRA,MF,Zulte Waregem,24,1998,Belgian_Pro_League,2022_2023,,,,,,,,,,,,,,,,,,,
56,Abdoulaye Sylla,GUI,DF,R.F.C. Seraing,22,2000,Belgian_Pro_League,2022_2023,,,,,,,,,,,,,,,,,,,
57,Abdoulaye Sylla,GUI,DF,Nantes,21,2000,Ligue_1,2021_2022,,,,,,,,,,,,,,,,,,,
58,Abdoulaye Touré,GUI,MF,Fatih Karagümrük,27,1994,Super_Lig,2021_2022,,,,,,,,,,,,,,,,,,,
59,Abdoulaye Touré,GUI,MF,Genoa,27,1994,Serie_A,2021_2022,,,,,,,,,,,,,,,,,,,
60,Abdoulaye Touré,GUI,MF,Le Havre,29,1994,Ligue_1,2023_2024,,,,,,,,,,,,,,,,,,,
61,Abdoulaye Traoré,CIV,FW,Botev Plovdiv,19,2003,Bulgarian_First_League,2022_2023,,,,,,,,,,,,,,,,,,,
