club_id,club,num_of_players,avg_age,avg_possession,matches_played,league,season
1,AEK Athens,30,29,,36,Super_League_Greece,2023_2024
1,AEK Athens,31,28,,36,Super_League_Greece,2021_2022
1,AEK Athens,29,28,,36,Super_League_Greece,2022_2023
2,AGF,28,26,48,32,Danish_Superliga,2022_2023
2,AGF,31,25,45,32,Danish_Superliga,2021_2022
2,AGF,30,26,48,32,Danish_Superliga,2023_2024
3,AO Kifisia,35,27,,33,Super_League_Greece,2023_2024
4,AZ Alkmaar,29,24,53,34,Eredivisie,2022_2023
4,AZ Alkmaar,28,24,55,34,Eredivisie,2021_2022
4,AZ Alkmaar,33,24,54,34,Eredivisie,2023_2024
5,Aalborg,30,25,48,32,Danish_Superliga,2022_2023
5,Aalborg,28,25,50,32,Danish_Superliga,2021_2022
6,Adana Demirspor,44,28,51,38,Super_Lig,2023_2024
6,Adana Demirspor,34,27,48,38,Super_Lig,2021_2022
6,Adana Demirspor,36,29,49,36,Super_Lig,2022_2023
7,Admira,29,25,45,32,Austrian_Bundesliga,2021_2022
8,Ajaccio,36,29,43,38,Ligue_1,2022_2023
9,Ajax,30,25,66,34,Eredivisie,2022_2023
9,Ajax,30,26,66,34,Eredivisie,2021_2022
9,Ajax,35,22,59,34,Eredivisie,2023_2024
10,Alanyaspor,25,28,52,38,Super_Lig,2023_2024
10,Alanyaspor,32,28,53,38,Super_Lig,2021_2022
10,Alanyaspor,29,27,53,36,Super_Lig,2022_2023
11,Alavés,33,27,42,38,La_Liga,2021_2022
11,Alavés,30,25,41,38,La_Liga,2023_2024
12,Almere City,29,24,44,34,Eredivisie,2023_2024
13,Almería,29,26,45,38,La_Liga,2022_2023
13,Almería,35,25,46,38,La_Liga,2023_2024
14,Altay,30,28,44,38,Super_Lig,2021_2022
15,Anderlecht,32,26,53,30,Belgian_Pro_League,2023_2024
15,Anderlecht,25,24,56,34,Belgian_Pro_League,2021_2022
15,Anderlecht,33,24,54,34,Belgian_Pro_League,2022_2023
16,Angers,33,25,46,38,Ligue_1,2022_2023
16,Angers,30,27,48,38,Ligue_1,2021_2022
17,Ankaragücü,31,27,48,38,Super_Lig,2023_2024
17,Ankaragücü,40,27,50,36,Super_Lig,2022_2023
18,Antalyaspor,27,29,51,38,Super_Lig,2023_2024
18,Antalyaspor,31,29,48,38,Super_Lig,2021_2022
18,Antalyaspor,34,28,49,36,Super_Lig,2022_2023
19,Antwerp,27,24,59,30,Belgian_Pro_League,2023_2024
19,Antwerp,31,26,52,34,Belgian_Pro_League,2021_2022
19,Antwerp,32,25,56,34,Belgian_Pro_League,2022_2023
20,Apollon Smyrnis,34,29,,33,Super_League_Greece,2021_2022
21,Arda,30,25,,36,Bulgarian_First_League,2022_2023
21,Arda,28,26,,36,Bulgarian_First_League,2023_2024
21,Arda,30,25,,32,Bulgarian_First_League,2021_2022
22,Aris,33,29,,36,Super_League_Greece,2023_2024
22,Aris,29,29,,36,Super_League_Greece,2021_2022
22,Aris,28,28,,36,Super_League_Greece,2022_2023
23,Arminia,26,25,40,34,Bundesliga,2021_2022
24,Arouca,31,26,53,34,Primeira_Liga,2023_2024
24,Arouca,35,27,49,34,Primeira_Liga,2021_2022
