club_id,club,num_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
1,AEK Athens,2,36,36,"3,240",36,,,,,,23,9,4,15,41,4,4,0,0,0.0,Super_League_Greece,2023_2024
1,AEK Athens,3,36,36,"3,240",36,,,,,,16,8,12,12,33,5,4,0,1,0.0,Super_League_Greece,2021_2022
1,AEK Athens,2,36,36,"3,240",36,,,,,,26,5,5,24,66,5,4,0,1,0.0,Super_League_Greece,2022_2023
2,AGF,1,32,32,"2,880",32,30.0,0.0,112.0,87.0,76.0,14,9,9,11,34,5,4,1,0,20.0,Danish_Superliga,2022_2023
2,AGF,2,32,32,"2,880",32,43.0,1.0,142.0,103.0,71.0,6,12,14,8,25,5,3,1,1,25.0,Danish_Superliga,2021_2022
2,AGF,2,32,32,"2,878",32,46.0,1.0,134.0,94.0,70.0,11,11,10,9,28,6,6,0,0,0.0,Danish_Superliga,2023_2024
3,AO Kifisia,3,33,33,"2,970",33,,,,,,5,10,17,2,6,8,5,3,0,37.0,Super_League_Greece,2023_2024
4,AZ Alkmaar,2,34,34,"3,060",34,35.0,1.0,96.0,60.0,67.0,20,7,7,12,35,5,4,1,0,20.0,Eredivisie,2022_2023
4,AZ Alkmaar,2,34,34,"3,060",34,44.0,1.0,133.0,89.0,66.0,18,7,9,4,11,0,0,0,0,,Eredivisie,2021_2022
4,AZ Alkmaar,3,34,34,"3,060",34,39.0,1.0,134.0,96.0,73.0,19,8,7,13,38,4,4,0,0,0.0,Eredivisie,2023_2024
5,Aalborg,3,32,32,"2,880",32,43.0,1.0,143.0,103.0,72.0,6,9,17,9,28,4,3,0,1,0.0,Danish_Superliga,2022_2023
5,Aalborg,1,32,32,"2,880",32,45.0,1.0,151.0,112.0,74.0,13,6,13,11,34,6,6,0,0,0.0,Danish_Superliga,2021_2022
6,Adana Demirspor,4,38,38,"3,415",38,61.0,1.0,185.0,131.0,71.0,10,14,14,10,26,10,8,0,2,0.0,Super_Lig,2023_2024
