club_id,club,num_of_players,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,league,season,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
1,AEK Athens,30,36,75,2,0,,,,,,,,,0,Super_League_Greece,2023_2024,,,,
1,AEK Athens,31,36,88,4,2,,,,,,,,,0,Super_League_Greece,2021_2022,,,,
1,AEK Athens,29,36,73,0,0,,,,,,,,,1,Super_League_Greece,2022_2023,,,,
2,AGF,28,32,63,3,1,380.0,314.0,39.0,685.0,273.0,320.0,,,0,Danish_Superliga,2022_2023,,,,
2,AGF,31,32,77,1,1,417.0,404.0,49.0,641.0,345.0,269.0,,,2,Danish_Superliga,2021_2022,,,,
2,AGF,30,32,68,3,1,376.0,374.0,33.0,635.0,246.0,272.0,,,0,Danish_Superliga,2023_2024,,,,
3,AO Kifisia,35,33,106,7,5,,,,,,,,,3,Super_League_Greece,2023_2024,,,,
4,AZ Alkmaar,29,34,51,1,0,342.0,298.0,57.0,572.0,315.0,320.0,3.0,5.0,0,Eredivisie,2022_2023,1944.0,482.0,487.0,49.0
4,AZ Alkmaar,28,34,52,1,0,343.0,284.0,75.0,658.0,337.0,319.0,6.0,0.0,0,Eredivisie,2021_2022,2084.0,585.0,580.0,50.0
4,AZ Alkmaar,33,34,47,2,0,363.0,303.0,56.0,562.0,269.0,333.0,1.0,4.0,1,Eredivisie,2023_2024,1701.0,419.0,508.0,45.0
5,Aalborg,30,32,55,0,0,315.0,327.0,62.0,600.0,316.0,360.0,,,1,Danish_Superliga,2022_2023,,,,
5,Aalborg,28,32,74,4,2,377.0,297.0,62.0,671.0,350.0,330.0,,,0,Danish_Superliga,2021_2022,,,,
6,Adana Demirspor,44,38,81,8,4,422.0,509.0,70.0,607.0,318.0,393.0,,,2,Super_Lig,2023_2024,,,,
6,Adana Demirspor,34,38,63,2,0,457.0,435.0,72.0,627.0,367.0,304.0,,,3,Super_Lig,2021_2022,,,,
6,Adana Demirspor,36,34,69,7,2,382.0,472.0,82.0,490.0,313.0,307.0,,,0,Super_Lig,2022_2023,,,,
7,Admira,29,32,82,4,3,467.0,486.0,70.0,490.0,443.0,322.0,,,0,Austrian_Bundesliga,2021_2022,,,,
8,Ajaccio,36,38,86,10,2,541.0,495.0,63.0,631.0,420.0,382.0,8.0,10.0,2,Ligue_1,2022_2023,2053.0,602.0,711.0,45.0
9,Ajax,30,34,46,1,0,313.0,353.0,74.0,756.0,259.0,348.0,3.0,1.0,0,Eredivisie,2022_2023,1981.0,409.0,376.0,52.0
