club_id,club,num_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
1,AEK Athens,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AEK Athens,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AEK Athens,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AGF,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AO Kifisia,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AZ Alkmaar,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AZ Alkmaar,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AZ Alkmaar,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Aalborg,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Aalborg,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Adana Demirspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Adana Demirspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Adana Demirspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Admira,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ajaccio,36.0,38.0,11216.0,15286.0,73.0,206467.0,81586.0,4741.0,5780.0,82.0,4578.0,5701.0,80.0,1448.0,2889.0,50.0,12.0,22.0,23.0,-10.0,234.0,954.0,188.0,71.0,1169.0,Ligue_1,2022_2023
9,Ajax,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ajax,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ajax,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Alanyaspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Alanyaspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Alanyaspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Alavés,33.0,38.0,9676.0,14175.0,68.0,191044.0,85739.0,4158.0,5174.0,80.0,3774.0,4954.0,76.0,1524.0,3158.0,48.0,20.0,25.0,22.0,-5.0,260.0,835.0,199.0,84.0,984.0,La_Liga,2021_2022
11,Alavés,30.0,38.0,10091.0,14116.0,71.0,191648.0,83394.0,4443.0,5283.0,84.0,4011.0,5052.0,79.0,1375.0,2889.0,47.0,28.0,32.0,30.0,-4.0,341.0,937.0,273.0,105.0,1260.0,La_Liga,2023_2024
12,Almere City,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Almería,29.0,38.0,12151.0,15855.0,76.0,225475.0,89276.0,5232.0,6003.0,87.0,5084.0,6022.0,84.0,1512.0,2911.0,51.0,33.0,32.0,28.0,0.0,316.0,846.0,218.0,81.0,1090.0,La_Liga,2022_2023
13,Almería,35.0,38.0,12774.0,16540.0,77.0,228494.0,85956.0,5654.0,6480.0,87.0,5476.0,6405.0,85.0,1322.0,2747.0,48.0,25.0,34.0,24.0,-9.0,349.0,870.0,212.0,86.0,1097.0,La_Liga,2023_2024
14,Altay,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Anderlecht,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Anderlecht,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Anderlecht,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Angers,33.0,38.0,14103.0,17463.0,80.0,252709.0,88748.0,5934.0,6810.0,87.0,6249.0,7208.0,86.0,1435.0,2536.0,56.0,18.0,28.0,27.0,-10.0,276.0,1124.0,214.0,65.0,1393.0,Ligue_1,2022_2023
16,Angers,30.0,38.0,15307.0,18797.0,81.0,281097.0,99557.0,6193.0,7006.0,88.0,6960.0,7916.0,87.0,1724.0,2880.0,59.0,25.0,28.0,25.0,-3.0,277.0,1029.0,186.0,56.0,1349.0,Ligue_1,2021_2022
17,Ankaragücü,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ankaragücü,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Antalyaspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Antalyaspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Antalyaspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Apollon Smyrnis,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Arda,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Arda,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Arda,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Aris,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Aris,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Aris,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Arminia,26.0,34.0,9382.0,13511.0,69.0,182069.0,82699.0,3765.0,4741.0,79.0,4031.0,5156.0,78.0,1305.0,2712.0,48.0,18.0,17.0,22.0,0.0,247.0,763.0,195.0,55.0,887.0,Bundesliga,2021_2022
24,Arouca,31.0,34.0,13911.0,17348.0,80.0,254209.0,90188.0,5780.0,6488.0,89.0,6322.0,7260.0,87.0,1537.0,2768.0,55.0,38.0,32.0,27.0,5.0,332.0,1040.0,217.0,56.0,1317.0,Primeira_Liga,2023_2024
24,Arouca,35.0,34.0,11461.0,15285.0,75.0,218726.0,86591.0,4683.0,5568.0,84.0,5039.0,6074.0,83.0,1536.0,2970.0,51.0,18.0,23.0,25.0,-5.0,292.0,951.0,220.0,65.0,1187.0,Primeira_Liga,2021_2022
