club_id,club,confederation,country,uefa_rating,uefa_season_ranking,overall_uefa_rating,overall_uefa_club_rank,season
1,AEK Athens,UEFA,Greece,1,69,4,83,2021_2022
1,AEK Athens,UEFA,Greece,-1,-1,4,83,2022_2023
1,AEK Athens,UEFA,Greece,3,57,4,83,2023_2024
2,AGF,UEFA,Denmark,1,69,3,88,2021_2022
2,AGF,UEFA,Denmark,-1,-1,3,88,2022_2023
2,AGF,UEFA,Denmark,1,75,3,88,2023_2024
3,AO Kifisia,,,-1,-1,-1,-1,
4,AZ Alkmaar,UEFA,Netherlands,13,31,36,34,2021_2022
4,AZ Alkmaar,UEFA,Netherlands,19,13,36,34,2022_2023
4,AZ Alkmaar,UEFA,Netherlands,4,56,36,34,2023_2024
5,Aalborg,,,-1,-1,-1,-1,
5,Aalborg,,,-1,-1,-1,-1,
6,Adana Demirspor,,,-1,-1,-1,-1,
6,Adana Demirspor,,,-1,-1,-1,-1,
6,Adana Demirspor,,,-1,-1,-1,-1,
7,Admira,UEFA,Austria,-1,-1,0,102,2021_2022
8,Ajaccio,,,-1,-1,-1,-1,
9,Ajax,UEFA,Netherlands,22,10,35,35,2021_2022
9,Ajax,UEFA,Netherlands,8,42,35,35,2022_2023
9,Ajax,UEFA,Netherlands,5,54,35,35,2023_2024
10,Alanyaspor,,,-1,-1,-1,-1,
10,Alanyaspor,,,-1,-1,-1,-1,
10,Alanyaspor,,,-1,-1,-1,-1,
11,Alavés,,,-1,-1,-1,-1,
11,Alavés,,,-1,-1,-1,-1,
12,Almere City,,,-1,-1,-1,-1,
13,Almería,,,-1,-1,-1,-1,
13,Almería,,,-1,-1,-1,-1,
14,Altay,,,-1,-1,-1,-1,
15,Anderlecht,UEFA,Belgium,2,61,12,60,2021_2022
15,Anderlecht,UEFA,Belgium,10,39,12,60,2022_2023
15,Anderlecht,UEFA,Belgium,-1,-1,12,60,2023_2024
16,Angers,,,-1,-1,-1,-1,
16,Angers,,,-1,-1,-1,-1,
17,Ankaragücü,,,-1,-1,-1,-1,
17,Ankaragücü,,,-1,-1,-1,-1,
18,Antalyaspor,,,-1,-1,-1,-1,
18,Antalyaspor,,,-1,-1,-1,-1,
18,Antalyaspor,,,-1,-1,-1,-1,
19,Antwerp,UEFA,Belgium,4,54,12,60,2021_2022
19,Antwerp,UEFA,Belgium,2,57,12,60,2022_2023
