comp_id,competition,league_nation_id,nation,confederation,champion,top_scorer,season
1,3F Superliga,5,DEN,UEFA,FC Copenhagen,Gustav Isaksen - 18,2022_2023
1,3F Superliga,5,DEN,UEFA,FC Copenhagen,Nicklas Helenius - 17,2021_2022
1,3F Superliga,5,DEN,UEFA,FC Midtjylland,German Onugkha - 15,2023_2024
2,Admiral Bundesliga,1,AUT,UEFA,FC Red Bull Salzburg,Guido Burgstaller - 21,2022_2023
2,Admiral Bundesliga,1,AUT,UEFA,FC Red Bull Salzburg,Karim Adeyemi - 19,2021_2022
2,Admiral Bundesliga,1,AUT,UEFA,SK Sturm Graz,Karim Konaté - 20,2023_2024
4,Copa del Rey,8,ESP,UEFA,Athletic Club,"Abdón Prats, Asier Villalibre... - 6",2023_2024
4,Copa del Rey,8,ESP,UEFA,Real Betis,Borja Iglesias - 5,2021_2022
4,Copa del Rey,8,ESP,UEFA,Real Madrid CF,Kiké - 5,2022_2023
5,Coppa Italia Frecciarossa,13,ITA,UEFA,Internazionale,Dušan Vlahović - 4,2021_2022
5,Coppa Italia Frecciarossa,13,ITA,UEFA,Internazionale,Walid Cheddira - 5,2022_2023
5,Coppa Italia Frecciarossa,13,ITA,UEFA,Juventus FC,Arkadiusz Milik - 4,2023_2024
6,Coupe de France,9,FRA,UEFA,FC Nantes,"Tolu Arokodare, Arkadiusz Milik... - 5",2021_2022
6,Coupe de France,9,FRA,UEFA,Paris Saint-Germain FC,Kylian Mbappé - 8,2023_2024
6,Coupe de France,9,FRA,UEFA,Toulouse FC,Thijs Dallinga - 6,2022_2023
8,DFB-Pokal,4,GER,UEFA,Bayer 04 Leverkusen,Amine Adli - 5,2023_2024
8,DFB-Pokal,4,GER,UEFA,RB Leipzig,Randal Kolo Muani - 6,2022_2023
8,DFB-Pokal,4,GER,UEFA,RB Leipzig,Robert Glatzel - 5,2021_2022
9,DFL-Supercup,4,GER,UEFA,FC Bayern Munich,"Benjamin Pavard, Serge Gnabry... - 1",2022_2023
9,DFL-Supercup,4,GER,UEFA,FC Bayern Munich,Robert Lewandowski - 2,2021_2022
9,DFL-Supercup,4,GER,UEFA,RB Leipzig,Dani Olmo - 3,2023_2024
11,EA Sports FC Supercup,13,ITA,UEFA,Internazionale,Alessio Zerbin - 2,2023_2024
12,EA Sports Supercup,13,ITA,UEFA,,"Edin Džeko, Lautaro Martínez... - 1",2022_2023
13,EFL Cup,10,ENG,UEFA,Liverpool FC,"Eddie Nketiah, Marcus Forss - 5",2021_2022
13,EFL Cup,10,ENG,UEFA,Liverpool FC,Morgan Rogers - 5,2023_2024
13,EFL Cup,10,ENG,UEFA,Manchester United FC,Marcus Rashford - 6,2022_2023
14,Eredivisie,7,NED,UEFA,AFC Ajax,Sébastien Haller - 21,2021_2022
14,Eredivisie,7,NED,UEFA,Feyenoord Rotterdam,"Anastasios Douvikas, Xavi Simons - 19",2022_2023
14,Eredivisie,7,NED,UEFA,PSV Eindhoven,"Vangelis Pavlidis, Luuk de Jong - 29",2023_2024
15,FA Community Shield,10,ENG,UEFA,Arsenal FC,"Leandro Trossard, Cole Palmer - 1",2023_2024
15,FA Community Shield,10,ENG,UEFA,Leicester City FC,Kelechi Iheanacho - 1,2021_2022
15,FA Community Shield,10,ENG,UEFA,Liverpool FC,"Trent Alexander-Arnold, Darwin Núñez... - 1",2022_2023
17,Fußball-Bundesliga,4,GER,UEFA,Bayer 04 Leverkusen,Harry Kane - 36,2023_2024
17,Fußball-Bundesliga,4,GER,UEFA,FC Bayern Munich,"Niclas Füllkrug, Christopher Nkunku - 16",2022_2023
17,Fußball-Bundesliga,4,GER,UEFA,FC Bayern Munich,Robert Lewandowski - 35,2021_2022
22,Jupiler Pro League,2,BEL,UEFA,Club Brugge KV,Deniz Undav - 25,2021_2022
22,Jupiler Pro League,2,BEL,UEFA,Club Brugge KV,Kévin Denkey - 23,2023_2024
22,Jupiler Pro League,2,BEL,UEFA,Royal Antwerp FC,Hugo Cuypers - 20,2022_2023
23,LaLiga EA Sports,8,ESP,UEFA,Real Madrid CF,Artem Dovbyk - 24,2023_2024
24,LaLiga Santander,8,ESP,UEFA,FC Barcelona,Robert Lewandowski - 23,2022_2023
24,LaLiga Santander,8,ESP,UEFA,Real Madrid CF,Karim Benzema - 27,2021_2022
26,Liga Portugal Betclic,11,POR,UEFA,Sporting CP,Viktor Gyökeres - 29,2023_2024
27,Liga Portugal Bwin,11,POR,UEFA,FC Porto,Darwin Núñez - 26,2021_2022
27,Liga Portugal Bwin,11,POR,UEFA,SL Benfica,Mehdi Taremi - 22,2022_2023
28,Ligue 1 Uber Eats,9,FRA,UEFA,Paris Saint-Germain FC,Kylian Mbappé - 27,2023_2024
28,Ligue 1 Uber Eats,9,FRA,UEFA,Paris Saint-Germain FC,Kylian Mbappé - 28,2021_2022
28,Ligue 1 Uber Eats,9,FRA,UEFA,Paris Saint-Germain FC,Kylian Mbappé - 29,2022_2023
29,Linglong Tire SuperLiga,12,SRB,UEFA,Red Star Belgrade,Ricardo Jorge Pires Gomes - 29,2021_2022
