intl_comp_id,competition,confederation,champion,top_scorer,season
1,UEFA Champions League,UEFA,Real Madrid CF,Karim Benzema - 15,2021_2022
1,UEFA Champions League,UEFA,Real Madrid CF,"Harry Kane, Kylian Mbappé - 8",2023_2024
1,UEFA Champions League,UEFA,Manchester City FC,Erling Haaland - 12,2022_2023
2,UEFA Conference League,UEFA,AS Roma,Cyriel Dessers - 10,2021_2022
2,UEFA Conference League,UEFA,Olympiacos FC,Ayoub El Kaabi - 11,2023_2024
2,UEFA Conference League,UEFA,West Ham United FC,"Arthur Cabral, Zeki Amdouni - 7",2022_2023
3,UEFA Europa League,UEFA,Eintracht Frankfurt,James Tavernier - 7,2021_2022
3,UEFA Europa League,UEFA,Atalanta BC,Pierre-Emerick Aubameyang - 10,2023_2024
3,UEFA Europa League,UEFA,Sevilla FC,"Marcus Rashford, Victor Boniface - 6",2022_2023
4,UEFA Super Cup,UEFA,Chelsea FC,"Gerard Moreno, Hakim Ziyech - 1",2021_2022
4,UEFA Super Cup,UEFA,Manchester City FC,"Youssef En-Nesyri, Cole Palmer - 1",2023_2024
4,UEFA Super Cup,UEFA,Real Madrid CF,"David Alaba, Karim Benzema - 1",2022_2023
