nation_id,nation,nation_code,confederation,nation_rank,nation_prev_rank,points,season
1,Afghanistan,AFG,AFC,154,151,1023,2021_2022
1,Afghanistan,AFG,AFC,158,151,1014,2022_2023
1,Afghanistan,AFG,AFC,152,151,1034,2023_2024
2,Albania,ALB,UEFA,66,66,1362,2021_2022
2,Albania,ALB,UEFA,62,66,1377,2022_2023
2,Albania,ALB,UEFA,67,66,1378,2023_2024
3,Algeria,ALG,CAF,41,46,1481,2021_2022
3,Algeria,ALG,CAF,34,46,1510,2022_2023
3,Algeria,ALG,CAF,41,46,1486,2023_2024
4,American Samoa,ASA,OFC,188,187,900,2021_2022
4,American Samoa,ASA,OFC,189,187,883,2023_2024
5,Andorra,AND,UEFA,152,164,1029,2021_2022
5,Andorra,AND,UEFA,153,164,1025,2022_2023
5,Andorra,AND,UEFA,169,164,982,2023_2024
6,Angola,ANG,CAF,120,90,1149,2021_2022
6,Angola,ANG,CAF,117,90,1168,2022_2023
6,Angola,ANG,CAF,85,90,1281,2023_2024
7,Anguilla,AIA,CONCACAF,210,209,791,2021_2022
7,Anguilla,AIA,CONCACAF,206,209,786,2022_2023
7,Anguilla,AIA,CONCACAF,209,209,782,2023_2024
8,Antigua and Barbuda,ATG,CONCACAF,132,148,1117,2021_2022
8,Antigua and Barbuda,ATG,CONCACAF,137,148,1089,2022_2023
8,Antigua and Barbuda,ATG,CONCACAF,151,148,1035,2023_2024
9,Argentina,ARG,CONMEBOL,3,1,1771,2021_2022
9,Argentina,ARG,CONMEBOL,1,1,1851,2022_2023
9,Argentina,ARG,CONMEBOL,1,1,1889,2023_2024
10,Armenia,ARM,UEFA,92,97,1242,2021_2022
10,Armenia,ARM,UEFA,91,97,1254,2022_2023
10,Armenia,ARM,UEFA,96,97,1230,2023_2024
11,Aruba,ARU,CONCACAF,202,194,855,2021_2022
11,Aruba,ARU,CONCACAF,193,194,858,2022_2023
11,Aruba,ARU,CONCACAF,194,194,868,2023_2024
12,Australia,AUS,AFC,39,24,1484,2021_2022
12,Australia,AUS,AFC,27,24,1532,2022_2023
12,Australia,AUS,AFC,25,24,1544,2023_2024
13,Austria,AUT,UEFA,33,22,1502,2021_2022
13,Austria,AUT,UEFA,25,22,1537,2022_2023
13,Austria,AUT,UEFA,22,22,1580,2023_2024
14,Azerbaijan,AZE,UEFA,128,111,1127,2021_2022
14,Azerbaijan,AZE,UEFA,121,111,1148,2022_2023
14,Azerbaijan,AZE,UEFA,113,111,1173,2023_2024
15,Bahamas,BAH,CONCACAF,203,203,855,2021_2022
15,Bahamas,BAH,CONCACAF,200,203,842,2022_2023
15,Bahamas,BAH,CONCACAF,205,203,817,2023_2024
16,Bahrain,BHR,AFC,85,80,1289,2021_2022
16,Bahrain,BHR,AFC,86,80,1274,2022_2023
16,Bahrain,BHR,AFC,76,80,1315,2023_2024
17,Bangladesh,BAN,AFC,192,184,883,2021_2022
17,Bangladesh,BAN,AFC,189,184,894,2022_2023
17,Bangladesh,BAN,AFC,186,184,897,2023_2024
18,Barbados,BRB,CONCACAF,166,177,982,2021_2022
18,Barbados,BRB,CONCACAF,172,177,970,2022_2023
18,Barbados,BRB,CONCACAF,175,177,944,2023_2024
20,Belarus,BLR,UEFA,96,99,1227,2021_2022
20,Belarus,BLR,UEFA,105,99,1198,2022_2023
20,Belarus,BLR,UEFA,97,99,1229,2023_2024
21,Belgium,BEL,UEFA,2,6,1822,2021_2022
21,Belgium,BEL,UEFA,5,6,1793,2022_2023
21,Belgium,BEL,UEFA,6,6,1768,2023_2024
22,Belize,BLZ,CONCACAF,175,183,951,2021_2022
22,Belize,BLZ,CONCACAF,180,183,932,2022_2023
22,Belize,BLZ,CONCACAF,182,183,913,2023_2024
23,Benin,BEN,CAF,91,91,1259,2021_2022
23,Benin,BEN,CAF,94,91,1245,2022_2023
23,Benin,BEN,CAF,89,91,1258,2023_2024
24,Bermuda,BER,CONCACAF,168,171,977,2021_2022
24,Bermuda,BER,CONCACAF,174,171,958,2022_2023
24,Bermuda,BER,CONCACAF,170,171,973,2023_2024
25,Bhutan,BHU,AFC,186,182,911,2021_2022
25,Bhutan,BHU,AFC,184,182,906,2022_2023
25,Bhutan,BHU,AFC,184,182,904,2023_2024
27,Bolivia,BOL,CONMEBOL,81,89,1299,2021_2022
27,Bolivia,BOL,CONMEBOL,83,89,1288,2022_2023
27,Bolivia,BOL,CONMEBOL,83,89,1294,2023_2024
30,Bosnia and Herzegovina,BIH,UEFA,57,75,1404,2021_2022
30,Bosnia and Herzegovina,BIH,UEFA,63,75,1370,2022_2023
30,Bosnia and Herzegovina,BIH,UEFA,75,75,1332,2023_2024
31,Botswana,BOT,CAF,146,145,1060,2021_2022
31,Botswana,BOT,CAF,149,145,1051,2022_2023
31,Botswana,BOT,CAF,147,145,1050,2023_2024
32,Brazil,BRA,CONMEBOL,1,5,1838,2021_2022
32,Brazil,BRA,CONMEBOL,3,5,1838,2022_2023
32,Brazil,BRA,CONMEBOL,5,5,1772,2023_2024
35,British Virgin Islands,VGB,CONCACAF,209,207,809,2021_2022
35,British Virgin Islands,VGB,CONCACAF,205,207,812,2022_2023
35,British Virgin Islands,VGB,CONCACAF,208,207,791,2023_2024
36,Brunei,BRU,AFC,190,190,897,2021_2022
36,Brunei,BRU,AFC,191,190,888,2022_2023
36,Brunei,BRU,AFC,183,190,907,2023_2024
37,Bulgaria,BUL,UEFA,74,82,1325,2021_2022
37,Bulgaria,BUL,UEFA,78,82,1301,2022_2023
37,Bulgaria,BUL,UEFA,81,82,1303,2023_2024
38,Burkina Faso,BFA,CAF,55,67,1426,2021_2022
38,Burkina Faso,BFA,CAF,58,67,1409,2022_2023
38,Burkina Faso,BFA,CAF,63,67,1388,2023_2024
40,Burundi,BDI,CAF,141,139,1076,2021_2022
40,Burundi,BDI,CAF,141,139,1080,2022_2023
40,Burundi,BDI,CAF,136,139,1102,2023_2024
42,Cambodia,CAM,AFC,174,180,954,2021_2022
42,Cambodia,CAM,AFC,177,180,949,2022_2023
42,Cambodia,CAM,AFC,180,180,920,2023_2024
43,Cameroon,CMR,CAF,38,51,1485,2021_2022
43,Cameroon,CMR,CAF,41,51,1476,2022_2023
43,Cameroon,CMR,CAF,53,51,1459,2023_2024
44,Canada,CAN,CONCACAF,43,40,1474,2021_2022
44,Canada,CAN,CONCACAF,44,40,1459,2022_2023
44,Canada,CAN,CONCACAF,38,40,1502,2023_2024
45,Cape Verde,CPV,CAF,73,65,1331,2021_2022
45,Cape Verde,CPV,CAF,71,65,1337,2022_2023
45,Cape Verde,CPV,CAF,65,65,1379,2023_2024
47,Cayman Islands,CAY,CONCACAF,196,195,866,2021_2022
47,Cayman Islands,CAY,CONCACAF,196,195,852,2022_2023
47,Cayman Islands,CAY,CONCACAF,195,195,857,2023_2024
49,Central African Republic,CAF,CAF,133,128,1116,2021_2022
48,Central African Republic,CTA,CAF,133,128,1116,2021_2022
49,Central African Republic,CAF,CAF,127,128,1127,2022_2023
48,Central African Republic,CTA,CAF,127,128,1127,2022_2023
49,Central African Republic,CAF,CAF,128,128,1131,2023_2024
48,Central African Republic,CTA,CAF,128,128,1131,2023_2024
51,Chad,CHA,CAF,181,178,932,2021_2022
51,Chad,CHA,CAF,181,178,930,2022_2023
51,Chad,CHA,CAF,177,178,932,2023_2024
52,Chile,CHI,CONMEBOL,29,43,1515,2021_2022
52,Chile,CHI,CONMEBOL,36,43,1505,2022_2023
52,Chile,CHI,CONMEBOL,49,43,1468,2023_2024
53,China,CHN,AFC,78,87,1305,2021_2022
53,China,CHN,AFC,80,87,1297,2022_2023
53,China,CHN,AFC,91,87,1254,2023_2024
54,Chinese Taipei,TPE,AFC,157,165,1018,2021_2022
54,Chinese Taipei,TPE,AFC,154,165,1024,2022_2023
54,Chinese Taipei,TPE,AFC,166,165,991,2023_2024
55,Colombia,COL,CONMEBOL,17,9,1604,2021_2022
55,Colombia,COL,CONMEBOL,16,9,1630,2022_2023
55,Colombia,COL,CONMEBOL,9,9,1739,2023_2024
56,Comoros,COM,CAF,127,119,1127,2021_2022
56,Comoros,COM,CAF,129,119,1119,2022_2023
56,Comoros,COM,CAF,118,119,1160,2023_2024
57,Cook Islands,COK,OFC,189,186,899,2021_2022
57,Cook Islands,COK,OFC,187,186,899,2022_2023
57,Cook Islands,COK,OFC,191,186,878,2023_2024
