player_id,player,nation,position,club,age,year_of_birth,max_market_value,league,season
1,Aaron Appindangoyé,GAB,DF,Sivasspor,29,1992,-1,Super_Lig,2021_2022
1,Aaron Appindangoyé,GAB,DF,Sivasspor,30,1992,-1,Super_Lig,2022_2023
1,Aaron Appindangoyé,GAB,DF,Sivasspor,31,1992,-1,Super_Lig,2023_2024
2,Aaron Connolly,IRL,"FW,MF",Brighton,21,2000,-1,Premier_League,2021_2022
3,Aaron Cresswell,ENG,DF,West Ham,31,1989,-1,Premier_League,2021_2022
3,Aaron Cresswell,ENG,DF,West Ham,32,1989,-1,Premier_League,2022_2023
3,Aaron Cresswell,ENG,"DF,FW",West Ham,33,1989,-1,Premier_League,2023_2024
4,Aaron Hickey,SCO,DF,Bologna,19,2002,-1,Serie_A,2021_2022
4,Aaron Hickey,SCO,DF,Brentford,20,2002,-1,Premier_League,2022_2023
4,Aaron Hickey,SCO,DF,Brentford,21,2002,30000000,Premier_League,2023_2024
5,Aaron Lennon,ENG,"MF,FW",Burnley,34,1987,-1,Premier_League,2021_2022
6,Aaron Leya Iseka,BEL,FW,OFI Crete,25,1997,-1,Super_League_Greece,2023_2024
7,Aaron Malouda,FRA,FW,Lille,17,2005,-1,Ligue_1,2023_2024
8,Aaron Meijers,NED,DF,RKC Waalwijk,35,1987,-1,Eredivisie,2023_2024
8,Aaron Meijers,NED,DF,Sparta R'dam,33,1987,-1,Eredivisie,2021_2022
8,Aaron Meijers,NED,DF,Sparta R'dam,34,1987,-1,Eredivisie,2022_2023
9,Aaron Ramsdale,ENG,GK,Arsenal,23,1998,-1,Premier_League,2021_2022
9,Aaron Ramsdale,ENG,GK,Arsenal,24,1998,-1,Premier_League,2022_2023
9,Aaron Ramsdale,ENG,GK,Arsenal,25,1998,40000000,Premier_League,2023_2024
10,Aaron Ramsey,ENG,"MF,FW",Burnley,20,2003,-1,Premier_League,2023_2024
11,Aaron Ramsey,WAL,MF,Juventus,30,1990,-1,Serie_A,2021_2022
11,Aaron Ramsey,WAL,MF,Nice,31,1990,-1,Ligue_1,2022_2023
12,Aaron Schwarz,AUT,"MF,FW",SK Austria Klagenfurt,19,2004,-1,Austrian_Bundesliga,2023_2024
13,Aaron Seydel,GER,FW,Darmstadt 98,27,1996,-1,Bundesliga,2023_2024
14,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,23,1997,-1,Premier_League,2021_2022
14,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,24,1997,-1,Premier_League,2022_2023
14,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,25,1997,-1,Premier_League,2023_2024
15,Aaron Zehnter,GER,DF,Augsburg,17,2004,-1,Bundesliga,2022_2023
16,Aarón Escandell,ESP,GK,Granada,25,1995,-1,La_Liga,2021_2022
16,Aarón Escandell,ESP,GK,Las Palmas,27,1995,-1,La_Liga,2023_2024
17,Aarón Martín,ESP,DF,Genoa,26,1997,-1,Serie_A,2023_2024
17,Aarón Martín,ESP,DF,Mainz 05,24,1997,-1,Bundesliga,2021_2022
17,Aarón Martín,ESP,DF,Mainz 05,25,1997,-1,Bundesliga,2022_2023
18,Abakar Sylla,CIV,DF,Club Brugge,19,2002,-1,Belgian_Pro_League,2022_2023
18,Abakar Sylla,CIV,DF,Strasbourg,20,2002,-1,Ligue_1,2023_2024
19,Abass Issah,GHA,"FW,MF",Chaves,23,1998,-1,Primeira_Liga,2022_2023
19,Abass Issah,GHA,"MF,FW",Chaves,24,1998,-1,Primeira_Liga,2023_2024
20,Abat Ajymbetow,KAZ,FW,Adana Demirspor,27,1995,-1,Super_Lig,2023_2024
21,Abbas Ibrahim,NGA,"MF,DF",Paços,24,1998,-1,Primeira_Liga,2022_2023
21,Abbas Ibrahim,NGA,"MF,FW",Paços,23,1998,-1,Primeira_Liga,2021_2022
22,Abdallah Sima,SEN,FW,Angers,21,2001,-1,Ligue_1,2022_2023
23,Abde Ezzalzouli,MAR,FW,Barcelona,19,2001,-1,La_Liga,2021_2022
23,Abde Ezzalzouli,MAR,FW,Betis,21,2001,-1,La_Liga,2023_2024
23,Abde Ezzalzouli,MAR,"FW,MF",Barcelona,21,2001,-1,La_Liga,2023_2024
23,Abde Ezzalzouli,MAR,"FW,MF",Osasuna,20,2001,-1,La_Liga,2022_2023
24,Abdel Abqar,MAR,DF,Alavés,24,1999,-1,La_Liga,2023_2024
25,Abdel Jalil Medioub,ALG,DF,Bordeaux,23,1997,-1,Ligue_1,2021_2022
26,Abdelhamid Sabiri,MAR,"MF,FW",Sampdoria,24,1996,-1,Serie_A,2021_2022
26,Abdelhamid Sabiri,MAR,"MF,FW",Sampdoria,25,1996,-1,Serie_A,2022_2023
27,Abdelkahar Kadri,ALG,MF,Kortrijk,21,2000,-1,Belgian_Pro_League,2021_2022
27,Abdelkahar Kadri,ALG,"MF,FW",Kortrijk,22,2000,-1,Belgian_Pro_League,2022_2023
27,Abdelkahar Kadri,ALG,"MF,FW",Kortrijk,23,2000,-1,Belgian_Pro_League,2023_2024
28,Abdellah Baallal,MAR,MF,Clermont Foot,18,2004,-1,Ligue_1,2023_2024
29,Abdellah Raihani,MAR,FW,Atlético Madrid,19,2004,-1,La_Liga,2023_2024
30,Abdenasser El Khayati,NED,"MF,FW",Willem II,32,1989,-1,Eredivisie,2021_2022
31,Abdenego Nankishi,GER,FW,Heracles Almelo,21,2002,-1,Eredivisie,2023_2024
32,Abderahmane Soussi,MAR,"FW,MF",Antwerp,18,2003,-1,Belgian_Pro_League,2021_2022
33,Abderrahman Rebbach,ALG,"FW,MF",Alavés,24,1998,-1,La_Liga,2023_2024
34,Abdou Diallo,SEN,DF,Paris S-G,25,1996,-1,Ligue_1,2021_2022
34,Abdou Diallo,SEN,"DF,MF",RB Leipzig,26,1996,-1,Bundesliga,2022_2023
35,Abdou Harroui,NED,MF,Sassuolo,23,1998,-1,Serie_A,2021_2022
35,Abdou Harroui,NED,MF,Sassuolo,24,1998,-1,Serie_A,2022_2023
35,Abdou Harroui,NED,MF,Sparta R'dam,23,1998,-1,Eredivisie,2021_2022
35,Abdou Harroui,NED,"MF,FW",Frosinone,25,1998,-1,Serie_A,2023_2024
36,Abdoul Kader Bamba,FRA,"FW,MF",Nantes,28,1994,-1,Ligue_1,2022_2023
36,Abdoul Kader Bamba,FRA,"FW,MF",Nantes,29,1994,-1,Ligue_1,2023_2024
37,Abdoul Kader Yaméogo,CIV,DF,Club Brugge,18,2004,-1,Belgian_Pro_League,2023_2024
38,Abdoul Koné,FRA,DF,Reims,18,2005,-1,Ligue_1,2023_2024
39,Abdoul Rachid Ayinde,BFA,"DF,MF",Gent,18,2005,-1,Belgian_Pro_League,2023_2024
40,Abdoul-Fessal Tapsoba,BFA,FW,Standard Liège,20,2001,-1,Belgian_Pro_League,2022_2023
40,Abdoul-Fessal Tapsoba,BFA,"FW,MF",Standard Liège,19,2001,-1,Belgian_Pro_League,2021_2022
41,Abdoulay Diaby,MLI,MF,Pendikspor,32,1991,-1,Super_Lig,2023_2024
42,Abdoulaye Ba,SEN,DF,Arouca,30,1991,-1,Primeira_Liga,2021_2022
42,Abdoulaye Ba,SEN,DF,Moreirense,30,1991,-1,Primeira_Liga,2021_2022
43,Abdoulaye Bakayoko,FRA,DF,Saint-Étienne,18,2002,-1,Ligue_1,2021_2022
44,Abdoulaye Bamba,CIV,DF,Angers,32,1990,-1,Ligue_1,2022_2023
44,Abdoulaye Bamba,CIV,"DF,FW",Angers,31,1990,-1,Ligue_1,2021_2022
45,Abdoulaye Cissé,GUI,DF,Novi Pazar,28,1994,-1,Serbian_SuperLiga,2023_2024
46,Abdoulaye Dabo,FRA,MF,Levadiakos,21,2001,-1,Super_League_Greece,2022_2023
47,Abdoulaye Doucouré,MLI,"FW,MF",Everton,30,1993,-1,Premier_League,2023_2024
47,Abdoulaye Doucouré,MLI,MF,Everton,28,1993,-1,Premier_League,2021_2022
47,Abdoulaye Doucouré,MLI,MF,Everton,29,1993,-1,Premier_League,2022_2023
48,Abdoulaye Seck,SEN,DF,Antwerp,29,1992,-1,Belgian_Pro_League,2021_2022
49,Abdoulaye Sissako,FRA,MF,Kortrijk,25,1998,-1,Belgian_Pro_League,2023_2024
49,Abdoulaye Sissako,FRA,MF,Zulte Waregem,23,1998,-1,Belgian_Pro_League,2021_2022
49,Abdoulaye Sissako,FRA,MF,Zulte Waregem,24,1998,-1,Belgian_Pro_League,2022_2023
50,Abdoulaye Sylla,GUI,DF,Nantes,21,2000,-1,Ligue_1,2021_2022
50,Abdoulaye Sylla,GUI,DF,R.F.C. Seraing,22,2000,-1,Belgian_Pro_League,2022_2023
51,Abdoulaye Touré,GUI,MF,Fatih Karagümrük,27,1994,-1,Super_Lig,2021_2022
51,Abdoulaye Touré,GUI,MF,Genoa,27,1994,-1,Serie_A,2021_2022
51,Abdoulaye Touré,GUI,MF,Le Havre,29,1994,-1,Ligue_1,2023_2024
52,Abdoulaye Traoré,CIV,FW,Botev Plovdiv,19,2003,-1,Bulgarian_First_League,2022_2023
53,Abdoulie Sanyang,GAM,"FW,MF",Beerschot,22,1999,-1,Belgian_Pro_League,2021_2022
54,Abdourahmane Barry,GUI,DF,Greuther Fürth,21,2000,-1,Bundesliga,2021_2022
55,Abdu Conté,POR,DF,Troyes,23,1998,-1,Ligue_1,2021_2022
