player_id,player,nation,position,club,age,year_of_birth,league,season,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
1,Aaron Appindangoyé,GAB,DF,Sivasspor,29,1992,Super_Lig,2021_2022,2.8,1,0,0,4.0,0.0,1.0,0.0,3.0,2.0,,,0,,,,
1,Aaron Appindangoyé,GAB,DF,Sivasspor,30,1992,Super_Lig,2022_2023,14.6,1,0,0,7.0,6.0,2.0,0.0,24.0,7.0,,,0,,,,
1,Aaron Appindangoyé,GAB,DF,Sivasspor,31,1992,Super_Lig,2023_2024,29.9,1,0,0,12.0,9.0,2.0,2.0,27.0,9.0,,,0,,,,
2,Aaron Connolly,IRL,"FW,MF",Brighton,21,2000,Premier_League,2021_2022,1.7,0,0,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,2.0,5.0,28.6
3,Aaron Cresswell,ENG,DF,West Ham,31,1989,Premier_League,2021_2022,30.3,3,0,0,14.0,10.0,2.0,145.0,35.0,18.0,0.0,1.0,0,163.0,32.0,24.0,57.1
3,Aaron Cresswell,ENG,DF,West Ham,32,1989,Premier_League,2022_2023,24.8,3,0,0,9.0,9.0,2.0,133.0,27.0,11.0,0.0,0.0,0,120.0,28.0,27.0,50.9
3,Aaron Cresswell,ENG,"DF,FW",West Ham,33,1989,Premier_League,2023_2024,4.8,1,0,0,2.0,3.0,1.0,11.0,3.0,2.0,0.0,0.0,0,18.0,6.0,3.0,66.7
4,Aaron Hickey,SCO,DF,Bologna,19,2002,Serie_A,2021_2022,31.3,7,0,0,39.0,71.0,4.0,52.0,29.0,29.0,0.0,0.0,0,134.0,17.0,30.0,36.2
4,Aaron Hickey,SCO,DF,Brentford,20,2002,Premier_League,2022_2023,21.3,7,0,0,20.0,35.0,1.0,27.0,17.0,26.0,0.0,1.0,0,111.0,14.0,22.0,38.9
4,Aaron Hickey,SCO,DF,Brentford,21,2002,Premier_League,2023_2024,7.9,5,0,0,10.0,16.0,0.0,5.0,3.0,9.0,0.0,0.0,0,42.0,1.0,9.0,10.0
5,Aaron Lennon,ENG,"MF,FW",Burnley,34,1987,Premier_League,2021_2022,17.2,2,0,0,19.0,20.0,4.0,40.0,9.0,17.0,0.0,1.0,0,73.0,7.0,21.0,25.0
6,Aaron Leya Iseka,BEL,FW,OFI Crete,25,1997,Super_League_Greece,2023_2024,10.9,2,0,0,,,,,,,,,0,,,,
7,Aaron Malouda,FRA,FW,Lille,17,2005,Ligue_1,2023_2024,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,
8,Aaron Meijers,NED,DF,RKC Waalwijk,35,1987,Eredivisie,2023_2024,25.6,7,0,0,25.0,27.0,0.0,136.0,30.0,29.0,0.0,2.0,0,141.0,33.0,25.0,56.9
8,Aaron Meijers,NED,DF,Sparta R'dam,33,1987,Eredivisie,2021_2022,8.2,1,1,0,3.0,13.0,0.0,33.0,4.0,15.0,0.0,0.0,0,47.0,11.0,13.0,45.8
8,Aaron Meijers,NED,DF,Sparta R'dam,34,1987,Eredivisie,2022_2023,3.3,0,0,0,4.0,7.0,0.0,15.0,4.0,7.0,0.0,0.0,0,32.0,6.0,4.0,60.0
9,Aaron Ramsdale,ENG,GK,Arsenal,23,1998,Premier_League,2021_2022,34.0,1,0,0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0,40.0,6.0,2.0,75.0
9,Aaron Ramsdale,ENG,GK,Arsenal,24,1998,Premier_League,2022_2023,38.0,1,0,0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0,33.0,6.0,0.0,100.0
9,Aaron Ramsdale,ENG,GK,Arsenal,25,1998,Premier_League,2023_2024,6.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,
10,Aaron Ramsey,ENG,"MF,FW",Burnley,20,2003,Premier_League,2023_2024,5.9,1,0,0,7.0,3.0,1.0,2.0,1.0,14.0,0.0,1.0,0,24.0,4.0,5.0,44.4
11,Aaron Ramsey,WAL,MF,Juventus,30,1990,Serie_A,2021_2022,1.1,0,0,0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4.0,0.0,0.0,
11,Aaron Ramsey,WAL,MF,Nice,31,1990,Ligue_1,2022_2023,17.6,3,0,0,23.0,18.0,3.0,62.0,17.0,25.0,1.0,0.0,0,115.0,6.0,12.0,33.3
12,Aaron Schwarz,AUT,"MF,FW",SK Austria Klagenfurt,19,2004,Austrian_Bundesliga,2023_2024,7.6,2,0,0,7.0,5.0,5.0,10.0,3.0,8.0,,,0,,,,
13,Aaron Seydel,GER,FW,Darmstadt 98,27,1996,Bundesliga,2023_2024,6.9,1,0,0,9.0,7.0,2.0,1.0,1.0,2.0,0.0,0.0,0,14.0,45.0,31.0,59.2
14,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,23,1997,Premier_League,2021_2022,19.9,2,0,0,15.0,13.0,1.0,35.0,34.0,36.0,0.0,1.0,0,126.0,19.0,32.0,37.3
14,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,24,1997,Premier_League,2022_2023,15.9,2,0,0,11.0,2.0,0.0,14.0,22.0,25.0,0.0,0.0,0,73.0,13.0,17.0,43.3
14,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,25,1997,Premier_League,2023_2024,19.8,4,0,0,17.0,9.0,0.0,14.0,41.0,25.0,0.0,1.0,0,94.0,21.0,19.0,52.5
15,Aaron Zehnter,GER,DF,Augsburg,17,2004,Bundesliga,2022_2023,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,
16,Aarón Escandell,ESP,GK,Granada,25,1995,La_Liga,2021_2022,3.2,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,
