Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Brenden Aaronson,us USA,"MF,FW",RB Salzburg,20,2000,21.0,1,0,0,22,46,9,35,8,12,,,0,Matches
Amir Abdijanovic,at AUT,FW,SCR Altach,20,2001,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
Junior Adamu,at AUT,FW,RB Salzburg,20,2001,18.1,1,0,0,30,25,29,22,7,5,,,0,Matches
Karim Adeyemi,de GER,FW,RB Salzburg,19,2002,21.6,4,0,0,28,29,14,46,2,8,,,0,Matches
David Affengruber,at AUT,DF,Sturm Graz,20,2001,28.9,3,0,0,31,27,6,2,44,39,,,0,Matches
Sebastian Aigner,at AUT,MF,SCR Altach,20,2001,10.4,6,0,0,21,7,0,3,25,7,,,0,Matches
Emanuel Aiwum,at AUT,"DF,MF",Rapid Wien,20,2000,21.3,8,0,0,35,24,1,1,44,33,,,0,Matches
Emanuel Aiwum,at AUT,DF,Admira,20,2000,5.0,0,0,0,6,11,0,1,9,8,,,0,Matches
Alfinete,br BRA,MF,Admira,23,1998,2.6,0,0,0,4,10,0,8,3,1,,,0,Matches
Pape Alioune Ndiaye,fr FRA,DF,SCR Altach,23,1998,14.3,4,0,0,17,6,0,2,19,19,,,1,Matches
Gloire Amanda,ca CAN,MF,SK Austria Klagenfurt,22,1998,1.4,0,1,0,1,1,0,0,1,2,,,0,Matches
Andrés Andrade Cedeño,pa PAN,DF,LASK,22,1998,1.6,0,0,0,3,0,0,0,2,2,,,0,Matches
Marc Andre Schmerböck,at AUT,MF,Hartberg,27,1994,4.6,0,0,0,5,4,1,30,3,4,,,0,Matches
Mario Andric,at AUT,DF,WSG Tirol,23,1998,0.9,0,0,0,1,2,0,0,0,0,,,0,Matches
Tobias Anselm,at AUT,FW,WSG Tirol,21,2000,6.3,1,0,0,9,4,5,3,2,1,,,0,Matches
Kelvin Arase,at AUT,"MF,FW",Rapid Wien,22,1999,10.2,1,0,0,14,20,5,15,4,12,,,0,Matches
Jonas Auer,at AUT,"DF,MF",Rapid Wien,20,2000,11.4,2,0,0,9,5,1,74,23,14,,,0,Matches
Stephan Auer,at AUT,"DF,MF",Admira,30,1991,0.8,0,0,0,0,0,0,3,3,1,,,0,Matches
Donis Avdijaj,xk KVX,"MF,FW",Hartberg,24,1996,15.7,5,0,0,29,28,7,11,6,23,,,0,Matches
Maxime Awoudja,de GER,DF,WSG Tirol,23,1998,16.3,5,0,0,26,31,0,2,30,19,,,0,Matches
Okan Aydın,tr TUR,"MF,FW",Hartberg,27,1994,8.5,1,0,0,9,17,0,23,8,4,,,0,Matches
Onurhan Babuscu,at AUT,MF,Admira,17,2003,5.1,2,0,0,14,3,0,3,1,7,,,0,Matches
Felix Bacher,at AUT,DF,WSG Tirol,20,2000,11.5,4,0,0,14,3,0,5,24,21,,,0,Matches
Ante Bajic,at AUT,"MF,FW",Ried,25,1995,22.3,4,0,0,44,38,17,37,12,19,,,0,Matches
