Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Rúnar Alex Rúnarsson,is ISL,GK,OH Leuven,26,1995,17,17,"1,484",16.5,25,1.52,86,61,72.1,6,3,8,2,11.8,1,1,0,0,0.0,Matches
Wouter Biebauw,be BEL,GK,Beerschot,37,1984,8,8,719,8.0,18,2.25,41,23,63.4,2,1,5,0,0.0,3,3,0,0,0.0,Matches
Arnaud Bodart,be BEL,GK,Standard Liège,23,1998,25,25,"2,250",25.0,41,1.64,112,70,64.3,6,8,12,4,16.0,2,1,1,0,50.0,Matches
Sinan Bolat,tr TUR,GK,Gent,32,1988,25,25,"2,250",25.0,26,1.04,87,61,75.9,10,7,8,8,32.0,6,5,1,0,16.7,Matches
Sammy Bossut,be BEL,GK,Zulte Waregem,35,1985,24,24,"2,160",24.0,46,1.92,145,100,70.3,6,5,13,5,20.8,4,3,1,0,25.0,Matches
Louis Bostyn,be BEL,GK,Zulte Waregem,27,1993,10,10,900,10.0,23,2.30,56,34,66.1,2,3,5,1,10.0,4,4,0,0,0.0,Matches
Jean Butez,fr FRA,GK,Antwerp,26,1995,34,34,"3,060",34.0,38,1.12,175,138,80.0,19,6,9,12,35.3,3,3,0,0,0.0,Matches
Gaëtan Coucke,be BEL,GK,Mechelen,22,1998,30,30,"2,671",29.7,52,1.75,148,97,66.2,15,6,9,5,16.7,3,2,1,0,33.3,Matches
Joris Delle,fr FRA,GK,Kortrijk,31,1990,1,1,90,1.0,3,3.00,4,1,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Maxim Deman,be BEL,GK,Kortrijk,19,2001,1,1,90,1.0,3,3.00,9,6,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
Thomas Didillon,fr FRA,GK,Cercle Brugge,25,1995,29,29,"2,610",29.0,36,1.24,101,66,66.3,11,6,12,7,24.1,2,2,0,0,0.0,Matches
Guillaume Dietsch,fr FRA,GK,R.F.C. Seraing,20,2001,33,33,"2,961",32.9,63,1.91,169,109,66.9,8,4,21,5,15.2,9,7,1,1,12.5,Matches
Timothy Galje,be BEL,GK,R.F.C. Seraing,20,2001,1,1,90,1.0,4,4.00,6,2,66.7,0,0,1,0,0.0,2,2,0,0,0.0,Matches
Laurent Henkinet,be BEL,GK,Standard Liège,28,1992,8,8,720,8.0,10,1.25,33,24,69.7,3,1,4,4,50.0,0,0,0,0,,Matches
Robin Himmelmann,de GER,GK,Eupen,32,1989,14,14,"1,260",14.0,27,1.93,76,47,67.1,4,1,9,2,14.3,4,2,2,0,50.0,Matches
Guillaume Hubert,be BEL,GK,Oostende,27,1994,26,26,"2,340",26.0,48,1.85,134,86,64.2,8,4,14,5,19.2,0,0,0,0,,Matches
Marko Ilić,rs SRB,GK,Kortrijk,23,1998,32,32,"2,880",32.0,42,1.31,144,103,72.9,9,10,13,8,25.0,4,3,0,1,0.0,Matches
