Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Sargis Adamyan,am ARM,FW,Club Brugge,28,1993,5.3,1,0,0,10,3,5,0,3,10,0,0,0,16,8,9,47.1,Matches
Emmanuel Agbadou,ci CIV,DF,Eupen,24,1997,32.1,9,0,0,38,16,1,1,43,52,0,2,1,287,44,30,59.5,Matches
Yannick Aguemon,bj BEN,"FW,DF",OH Leuven,29,1992,1.4,0,0,0,1,1,0,12,0,2,0,0,0,7,1,0,100.0,Matches
Joost van Aken,nl NED,DF,Zulte Waregem,27,1994,0.7,2,1,1,5,0,0,0,1,0,0,0,0,2,0,1,0.0,Matches
Alessandro Albanese,be BEL,"DF,MF",Oostende,21,2000,3.6,0,0,0,1,7,1,11,1,9,0,0,0,26,1,2,33.3,Matches
Rúnar Alex Rúnarsson,is ISL,GK,OH Leuven,26,1995,16.5,0,0,0,0,2,0,0,1,0,0,0,0,11,2,0,100.0,Matches
Alfonso,mz MOZ,"MF,DF",Oostende,21,1999,12.3,8,1,1,20,7,0,4,24,19,0,0,0,68,7,17,29.2,Matches
Rachid Alioui,ma MAR,FW,Kortrijk,29,1992,1.8,1,0,0,2,2,0,0,1,0,0,0,0,5,3,6,33.3,Matches
Arthur Allemeersch,be BEL,FW,OH Leuven,20,2001,1.4,0,0,0,0,4,1,0,0,2,0,0,0,4,2,3,40.0,Matches
Teddy Alloh,fr FRA,"DF,FW",Eupen,19,2002,7.6,1,0,0,6,15,3,15,12,10,0,0,0,35,0,7,0.0,Matches
Dinis Almeida,pt POR,DF,Antwerp,26,1995,15.0,3,0,0,11,5,1,0,16,16,0,1,0,65,27,34,44.3,Matches
Éder Álvarez Balanta,co COL,MF,Club Brugge,28,1993,17.0,6,1,1,44,22,1,3,34,44,0,0,0,135,28,17,62.2,Matches
Selim Amallah,ma MAR,"FW,MF",Standard Liège,24,1996,13.7,7,0,0,38,45,2,12,31,22,0,0,0,81,22,34,39.3,Matches
Jordi Amat,id IDN,DF,Eupen,29,1992,25.3,6,2,1,20,3,2,1,35,29,0,1,0,128,26,26,50.0,Matches
Thierry Ambrose,gp GLP,FW,Oostende,24,1997,25.0,4,0,0,33,34,13,46,7,17,0,0,0,100,103,126,45.0,Matches
Mohammed Amine Essahel,ma MAR,"MF,FW",Eupen,18,2003,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,50.0,Matches
Michael Amir Murillo,pa PAN,DF,Anderlecht,25,1996,26.6,7,2,0,21,29,6,46,38,36,0,0,0,143,44,33,57.1,Matches
Francis Amuzu,be BEL,"MF,FW",Anderlecht,21,1999,12.7,6,0,0,17,36,5,33,8,11,0,0,0,40,5,13,27.8,Matches
Stelios Andreou,cy CYP,DF,Charleroi,19,2002,23.9,3,0,0,13,2,0,2,48,20,0,1,0,142,21,23,47.7,Matches
