Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches


Sargis Adamyan,am ARM,FW,Club Brugge,28,1993,9,5,476,5.3,5,0,5,5,0,0,1,0,4.3,4.3,0.7,4.9,8,7,39,0.95,0.00,0.95,0.95,0.95,0.81,0.13,0.93,0.81,0.93,Matches
Emmanuel Agbadou,ci CIV,DF,Eupen,24,1997,33,32,"2,885",32.1,5,0,5,5,0,0,9,0,3.6,3.6,0.8,4.4,35,129,27,0.16,0.00,0.16,0.16,0.16,0.11,0.03,0.14,0.11,0.14,Matches
Yannick Aguemon,bj BEN,"FW,DF",OH Leuven,29,1992,3,1,128,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,5,6,25,0.00,0.00,0.00,0.00,0.00,0.19,0.20,0.39,0.19,0.39,Matches
Joost van Aken,nl NED,DF,Zulte Waregem,27,1994,1,1,61,0.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alessandro Albanese,be BEL,"DF,MF",Oostende,21,2000,8,3,323,3.6,1,0,1,1,0,0,0,0,0.1,0.1,0.9,1.1,8,18,18,0.28,0.00,0.28,0.28,0.28,0.04,0.26,0.29,0.04,0.29,Matches
Rúnar Alex Rúnarsson,is ISL,GK,OH Leuven,26,1995,17,17,"1,484",16.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alfonso,mz MOZ,"MF,DF",Oostende,21,1999,18,13,"1,107",12.3,2,0,2,2,0,0,8,1,0.9,0.9,0.5,1.4,15,67,22,0.16,0.00,0.16,0.16,0.16,0.07,0.04,0.12,0.07,0.12,Matches
Rachid Alioui,ma MAR,FW,Kortrijk,29,1992,6,1,164,1.8,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.9,4,5,9,0.55,0.55,1.10,0.55,1.10,0.68,0.35,1.03,0.68,1.03,Matches
Arthur Allemeersch,be BEL,FW,OH Leuven,20,2001,4,2,128,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.5,1,0,8,0.00,0.00,0.00,0.00,0.00,0.29,0.03,0.32,0.29,0.32,Matches
Teddy Alloh,fr FRA,"DF,FW",Eupen,19,2002,12,8,682,7.6,0,0,0,0,0,0,1,0,0.1,0.1,0.9,0.9,18,19,42,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Matches
