Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Plamen Andreev,bg BUL,GK,Levski Sofia,16,2004,4,2,239,2.7,,,,,,0,0,2,1,50.0,0,0,0,0,,Matches
Georgi Argilashki,bg BUL,GK,Botev Plovdiv,30,1991,26,26,"2,340",26.0,,,,,,13,6,7,8,30.8,2,2,0,0,0.0,Matches
Nordin Bakker,nl NED,GK,Beroe,23,1997,8,8,720,8.0,,,,,,4,0,4,3,37.5,2,2,0,0,0.0,Matches
Gustavo Busatto,br BRA,GK,CSKA Sofia,30,1990,23,23,"2,070",23.4,,,,,,13,6,4,9,39.1,3,3,0,0,0.0,Matches
Damyan Damyanov,bg BUL,GK,Lokomotiv Sofia,21,2000,3,3,270,3.0,,,,,,0,2,1,0,0.0,0,0,0,0,,Matches
Ivan Dyulgerov,bg BUL,GK,Cherno More,22,1999,23,22,"1,987",22.1,,,,,,9,7,6,11,50.0,2,2,0,0,0.0,Matches
Dimitar Evtimov,bg BUL,GK,CSKA Sofia,27,1993,7,7,630,8.0,,,,,,3,3,1,4,57.1,1,1,0,0,0.0,Matches
Georgi Georgiev,bg BUL,GK,Cherno More,32,1988,9,9,803,8.9,,,,,,3,4,2,4,44.4,1,1,0,0,0.0,Matches
Hristo Georgiev,bg BUL,GK,Botev Vratsa,27,1994,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Yanko Georgiev,bg BUL,GK,Pirin Blagoevgrad,32,1988,11,11,990,11.0,,,,,,5,2,4,4,36.4,1,1,0,0,0.0,Matches
Yanko Georgiev,bg BUL,GK,Tsarsko Selo,32,1988,18,18,"1,607",18.9,,,,,,2,5,11,6,33.3,3,3,0,0,0.0,Matches
Guido Guerrieri,it ITA,GK,Tsarsko Selo,25,1996,2,2,180,2.0,,,,,,0,0,2,0,0.0,1,1,0,0,0.0,Matches
Henadii Haniev,ua UKR,GK,Beroe,31,1990,24,24,"2,160",24.0,,,,,,7,8,9,6,25.0,4,4,0,0,0.0,Matches
Hidajet Hankić,ba BIH,GK,Botev Plovdiv,27,1994,4,4,360,4.0,,,,,,1,2,1,2,50.0,0,0,0,0,,Matches
Nick Hengelman,nl NED,GK,Pirin Blagoevgrad,31,1989,8,8,720,8.0,,,,,,2,2,4,0,0.0,3,3,0,0,0.0,Matches
Zharko Istatkov,bg BUL,GK,Lokomotiv Sofia,17,2004,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Ivan Ivaylov Dermendzhiev,bg BUL,GK,Tsarsko Selo,20,2000,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Kristijan Kahlina,hr CRO,GK,Ludogorets,29,1992,10,10,900,10.0,,,,,,8,0,2,4,40.0,1,1,0,0,0.0,Matches
