Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Ayoub Abou,ma MAR,MF,Tsarsko Selo,23,1998,12,10,879,9.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Ahmed Ahmedov,bg BUL,FW,CSKA Sofia,26,1995,6,3,258,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Aleksandar Aleksandrov,bg BUL,FW,Lokomotiv Sofia,27,1994,19,15,"1,378",15.3,2,0,2,2,0,0,5,0,0.13,0.00,0.13,0.13,0.13,Matches
Denislav Aleksandrov,bg BUL,MF,CSKA 1948,24,1997,17,7,763,8.5,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
Georgi Aleksandrov,bg BUL,DF,Levski Sofia,20,2001,8,4,340,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sasho Aleksandrov,bg BUL,DF,CSKA 1948,35,1986,11,10,890,9.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Sasho Aleksandrov,bg BUL,DF,Tsarsko Selo,35,1986,18,18,"1,579",17.5,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
Dzhuinet Ali,bg BUL,DF,Beroe,26,1994,16,5,516,5.7,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches
Pablo Álvarez,es ESP,MF,Cherno More,24,1997,28,28,"2,491",27.7,6,0,6,3,3,3,9,0,0.22,0.00,0.22,0.11,0.11,Matches
Sami El Anabi,be BEL,DF,Cherno More,21,2000,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Anderson,br BRA,MF,Tsarsko Selo,22,1998,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Leandro Andrade,cv CPV,MF,Cherno More,21,1999,18,16,"1,371",15.2,2,0,2,2,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches
Plamen Andreev,bg BUL,GK,Levski Sofia,16,2004,4,2,239,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ayvan Angelov,bg BUL,MF,Loko Plovdiv,19,2001,12,0,103,1.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Denislav Angelov,bg BUL,FW,CSKA 1948,20,2001,15,6,723,8.0,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
Denislav Angelov,bg BUL,FW,Cherno More,20,2001,5,0,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Georgi Angelov,bg BUL,MF,CSKA 1948,30,1990,21,18,"1,556",17.3,1,0,1,1,0,0,2,1,0.06,0.00,0.06,0.06,0.06,Matches
