Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Mads Aaquist,dk DEN,MF,Viborg,26,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Jonas Abbew,dk DEN,DF,Nordsjælland,19,2002,3.9,0,1,0,0.0,0.26,0.00,0.00,,,0,0,Matches
Wessam Abou Ali,ps PLE,FW,Silkeborg,22,1999,0.6,0,1,1,100.0,1.55,1.55,0.00,0.00,,0,0,Matches
Francis Abu,gh GHA,MF,Nordsjælland,20,2001,11.3,0,23,7,30.4,2.04,0.62,0.00,0.00,,0,0,Matches
Simon Adingra,ci CIV,"FW,MF",Nordsjælland,19,2002,20.1,9,75,34,45.3,3.73,1.69,0.12,0.26,,0,0,Matches
Ali Adnan Kadhim,iq IRQ,"DF,MF",Vejle BK,27,1993,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Mel Agnero,ci CIV,FW,Nordsjælland,18,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Jakob Ahlmann Nielsen,dk DEN,"MF,DF",Aalborg,30,1991,15.3,1,14,2,14.3,0.92,0.13,0.07,0.50,,0,0,Matches
Raúl Albentosa,es ESP,DF,Vejle BK,32,1988,12.4,2,13,2,15.4,1.05,0.16,0.15,1.00,,0,0,Matches
Miiko Albornoz,cl CHI,"MF,DF",Vejle BK,30,1990,10.9,1,8,1,12.5,0.73,0.09,0.13,1.00,,0,0,Matches
Mads Albæk,dk DEN,MF,SønderjyskE,31,1990,26.9,0,27,4,14.8,1.00,0.15,0.00,0.00,,0,0,Matches
Alexander Ammitzbøll,dk DEN,FW,AGF,22,1999,0.8,0,2,1,50.0,2.61,1.30,0.00,0.00,,0,0,Matches
Akinkunmi Amoo,ng NGA,MF,FC Copenhagen,19,2002,0.7,1,3,1,33.3,4.29,1.43,0.33,1.00,,0,0,Matches
Daniel Andersen,dk DEN,GK,AGF,20,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Lucas Andersen,dk DEN,MF,Aalborg,26,1994,4.6,0,6,3,50.0,1.30,0.65,0.00,0.00,,0,0,Matches
Mikkel Andersen,dk DEN,GK,Viborg,32,1988,6.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Mikael Anderson,is ISL,MF,Midtjylland,23,1998,1.4,0,3,1,33.3,2.13,0.71,0.00,0.00,,0,0,Matches
Mikael Anderson,is ISL,MF,AGF,23,1998,17.3,5,41,14,34.1,2.37,0.81,0.12,0.36,,0,0,Matches
Hugo Andersson,se SWE,DF,Randers,22,1999,4.6,0,2,1,50.0,0.43,0.22,0.00,0.00,,0,0,Matches
Joel Andersson,se SWE,MF,Midtjylland,24,1996,28.4,1,11,3,27.3,0.39,0.11,0.09,0.33,,0,0,Matches
Mattias Andersson,se SWE,DF,Randers,23,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Aske Andresen,dk DEN,GK,Silkeborg,16,2005,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
