Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Mads Aaquist,dk DEN,MF,Viborg,26,1994,5,1,98,1.1,0,1,1,0,0,0,0,0,0.00,0.92,0.92,0.00,0.92,Matches
Jonas Abbew,dk DEN,DF,Nordsjælland,19,2002,11,3,347,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Wessam Abou Ali,ps PLE,FW,Silkeborg,22,1999,3,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Francis Abu,gh GHA,MF,Nordsjælland,20,2001,16,13,"1,015",11.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Simon Adingra,ci CIV,"FW,MF",Nordsjælland,19,2002,31,19,"1,809",20.1,9,3,12,9,0,0,5,0,0.45,0.15,0.60,0.45,0.60,Matches
Ali Adnan Kadhim,iq IRQ,"DF,MF",Vejle BK,27,1993,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mel Agnero,ci CIV,FW,Nordsjælland,18,2003,3,0,33,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jakob Ahlmann Nielsen,dk DEN,"MF,DF",Aalborg,30,1991,29,16,"1,377",15.3,1,1,2,1,0,0,6,0,0.07,0.07,0.13,0.07,0.13,Matches
Raúl Albentosa,es ESP,DF,Vejle BK,32,1988,13,13,"1,118",12.4,2,1,3,2,0,0,6,1,0.16,0.08,0.24,0.16,0.24,Matches
Miiko Albornoz,cl CHI,"MF,DF",Vejle BK,30,1990,13,10,985,10.9,1,1,2,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,Matches
Mads Albæk,dk DEN,MF,SønderjyskE,31,1990,30,26,"2,419",26.9,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches
Alexander Ammitzbøll,dk DEN,FW,AGF,22,1999,4,0,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Akinkunmi Amoo,ng NGA,MF,FC Copenhagen,19,2002,2,1,63,0.7,1,0,1,1,0,0,0,0,1.43,0.00,1.43,1.43,1.43,Matches
Daniel Andersen,dk DEN,GK,AGF,20,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Andersen,dk DEN,MF,Aalborg,26,1994,7,4,414,4.6,0,1,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matches
Mikkel Andersen,dk DEN,GK,Viborg,32,1988,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mikael Anderson,is ISL,MF,Midtjylland,23,1998,4,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
