Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Lobato ,es ESP,MF,Górnik Łęczna,27,1994,3,2,194,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dawid Abramowicz,pl POL,DF,Radomiak Radom,30,1991,34,34,"3,038",33.8,4,4,8,4,0,0,3,0,0.12,0.12,0.24,0.12,0.24,Matches
Joel Abu Hanna,il ISR,"DF,MF",Legia Warsaw,23,1998,7,6,424,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rafał Adamski,pl POL,FW,Zagłębie Lubin,19,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Zlatan Alomerović,de GER,GK,Jagiellonia,30,1991,14,14,"1,260",14.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Zlatan Alomerović,de GER,GK,Lechia Gdańsk,30,1991,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcos Álvarez,de GER,"FW,MF",Cracovia,29,1991,10,7,552,6.1,1,2,3,1,0,0,2,0,0.16,0.33,0.49,0.16,0.49,Matches
Tiago Alexandre Mendes Alves,pt POR,"MF,FW",Piast Gliwice,25,1996,9,6,381,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
João Amaral,pt POR,MF,Lech Poznań,29,1991,32,28,"2,222",24.7,14,8,22,14,0,0,2,0,0.57,0.32,0.89,0.57,0.89,Matches
Maciej Ambrosiewicz,pl POL,"MF,DF",Bruk-Bet Termalica Nieciecza,23,1998,10,6,503,5.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Pelle van Amersfoort,nl NED,"MF,FW",Cracovia,25,1996,33,30,"2,696",30.0,8,1,9,7,1,1,7,0,0.27,0.03,0.30,0.23,0.27,Matches
Michael Ameyaw,pl POL,MF,Piast Gliwice,20,2000,18,2,432,4.8,1,0,1,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches
Jonathan de Amo,es ESP,DF,Górnik Łęczna,31,1990,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jonathan de Amo,es ESP,DF,Stal Mielec,31,1990,16,14,"1,261",14.0,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches
Karol Angielski,pl POL,FW,Radomiak Radom,25,1996,34,26,"2,368",26.3,18,1,19,9,9,10,3,1,0.68,0.04,0.72,0.34,0.38,Matches
Jakub Arak,pl POL,"FW,MF",RKS Raków,26,1995,18,3,360,4.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Zoran Arsenić,hr CRO,DF,RKS Raków,27,1994,21,19,"1,579",17.5,1,0,1,1,0,0,6,1,0.06,0.00,0.06,0.06,0.06,Matches
