Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,33.1,5,1,0,39,25,0,4,68,27,0,1,0,195,62,38,62.0,Matches
Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,27.4,12,3,2,43,37,0,14,42,23,0,0,0,186,17,20,45.9,Matches
Laurent Abergel,fr FRA,MF,Lorient,28,1993,32.8,9,0,0,41,69,1,37,55,60,0,0,0,264,11,7,61.1,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,0.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
Matthis Abline,fr FRA,FW,Rennes,18,2003,1.1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0.0,Matches
Mohamed Achi,fr FRA,MF,Nantes,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,3.9,1,0,0,16,2,0,11,11,11,0,0,0,35,3,5,37.5,Matches
Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,25.1,5,0,0,21,27,4,114,37,27,0,0,0,150,12,19,38.7,Matches
Lucien Agoume,fr FRA,MF,Brest,19,2002,20.8,6,0,0,31,14,0,5,52,31,0,1,0,148,26,29,47.3,Matches
Nayef Aguerd,ma MAR,DF,Rennes,25,1996,30.4,3,1,0,20,16,1,1,24,18,1,2,0,154,95,51,65.1,Matches
Ruben Aguilar,fr FRA,DF,Monaco,28,1993,23.8,4,0,0,32,29,1,64,44,53,0,0,1,157,33,40,45.2,Matches
Anel Ahmedhodžić,ba BIH,DF,Bordeaux,22,1999,15.0,6,0,0,21,10,0,6,22,26,0,0,0,108,18,13,58.1,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,11.2,2,0,0,21,20,0,6,19,9,0,0,0,77,14,5,73.7,Matches
Ludovic Ajorque,fr FRA,FW,Strasbourg,27,1994,30.4,5,1,0,40,36,14,17,8,25,2,0,1,86,127,102,55.5,Matches
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,19,2002,0.6,1,0,0,4,1,1,1,0,0,0,0,0,2,1,2,33.3,Matches
Sofiane Alakouch,ma MAR,"DF,MF",Metz,23,1998,1.8,1,0,0,5,7,0,2,1,4,0,0,0,6,0,1,0.0,Matches
Josué Albert,gf GUF,DF,Clermont Foot,29,1992,0.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,Matches
Doğan Alemdar,tr TUR,GK,Rennes,18,2002,12.0,1,0,0,0,0,0,0,0,0,0,0,0,18,1,0,100.0,Matches
Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,20.4,6,2,2,32,44,10,23,8,5,0,0,0,61,15,59,20.3,Matches
Jim Allevinah,ga GAB,FW,Clermont Foot,26,1995,16.5,1,0,0,16,34,2,34,6,13,0,1,0,65,16,23,41.0,Matches
