Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Alisson,br BRA,GK,Liverpool,28,1992,36,36,"3,240",36.0,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,,Matches
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,4,360,4.0,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,Matches
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,12,"1,080",12.0,28,2.33,72,46,65.3,1,0,11,0,0.0,3,3,0,0,0.0,Matches
Asmir Begović,ba BIH,GK,Everton,34,1987,3,3,270,3.0,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0.0,Matches
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,0,100.0,Matches
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,Matches
Karl Darlow,wls WAL,GK,Newcastle Utd,30,1990,8,8,720,8.0,15,1.87,37,23,64.9,0,5,3,0,0.0,2,2,0,0,0.0,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,26,"2,340",26.0,35,1.35,106,72,67.9,13,4,9,8,30.8,1,1,0,0,0.0,Matches
Ederson,br BRA,GK,Manchester City,27,1993,37,37,"3,330",37.0,26,0.70,83,57,69.9,28,6,3,20,54.1,1,1,0,0,0.0,Matches
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,37,"3,330",37.0,50,1.35,162,111,70.4,16,8,13,8,21.6,6,2,3,1,60.0,Matches
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,12,"1,080",12.0,24,2.00,69,47,66.7,3,2,7,1,8.3,1,1,0,0,0.0,Matches
Fraser Forster,eng ENG,GK,Southampton,33,1988,19,19,"1,710",19.0,35,1.84,101,68,67.3,6,5,8,3,15.8,2,2,0,0,0.0,Matches
Ben Foster,eng ENG,GK,Watford,38,1983,26,26,"2,340",26.0,49,1.88,116,67,60.3,5,5,16,4,15.4,4,3,1,0,25.0,Matches
David de Gea,es ESP,GK,Manchester Utd,30,1990,38,38,"3,420",38.0,57,1.50,180,124,70.0,16,10,12,8,21.1,5,3,2,0,40.0,Matches
Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,30,30,"2,655",29.5,33,1.12,116,83,74.1,9,11,10,11,36.7,3,3,0,0,0.0,Matches
Angus Gunn,sct SCO,GK,Norwich City,25,1996,9,9,810,9.0,22,2.44,57,34,64.9,1,2,6,1,11.1,4,2,1,1,33.3,Matches
