Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches


Rodrigo Abascal,uy URU,DF,Boavista,27,1994,26.5,1,11,3,27.3,0.41,0.11,0.09,0.33,22.9,2,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,8.6,2,10,3,30.0,1.16,0.35,0.20,0.67,22.7,3,0,0,0.8,0.8,0.08,+1.2,+1.2,Matches
Antonio Adán,es ESP,GK,Sporting CP,34,1987,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
João Afonso,pt POR,DF,Santa Clara,31,1990,12.4,0,5,2,40.0,0.40,0.16,0.00,0.00,14.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Lucas Áfrico,br BRA,DF,Estoril,26,1995,10.7,0,5,1,20.0,0.47,0.09,0.00,0.00,23.4,2,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,29.0,6,54,24,44.4,1.86,0.83,0.09,0.21,21.9,12,1,1,6.6,5.8,0.11,-0.6,-0.8,Matches
Mohamed Aidara,ci CIV,DF,Vizela,24,1996,15.0,1,8,1,12.5,0.53,0.07,0.13,1.00,9.1,0,0,0,1.2,1.2,0.14,-0.2,-0.2,Matches
Chima Akas,ng NGA,DF,B-SAD,27,1994,19.5,1,7,2,28.6,0.36,0.10,0.14,0.50,17.4,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
Alex,br BRA,DF,Famalicão,22,1999,16.4,0,3,1,33.3,0.18,0.06,0.00,0.00,9.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Ali Alipour,ir IRN,FW,Marítimo,25,1995,20.0,7,40,18,45.0,2.00,0.90,0.15,0.33,13.9,0,1,1,7.2,6.4,0.16,-0.2,-0.4,Matches
Allano,br BRA,"FW,MF",Santa Clara,26,1995,12.1,2,11,0,0.0,0.91,0.00,0.00,,22.9,0,2,2,2.8,1.2,0.11,-0.8,-1.2,Matches
André Almeida,pt POR,DF,Benfica,30,1990,8.9,0,4,0,0.0,0.45,0.00,0.00,,16.5,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
Domingos André Ribeiro Almeida,pt POR,"MF,FW",Vitória,21,2000,20.2,0,22,0,0.0,1.09,0.00,0.00,,24.3,0,0,1,1.4,1.3,0.06,-1.4,-1.3,Matches
Baptiste Aloé,fr FRA,DF,Arouca,27,1994,0.7,0,1,0,0.0,1.34,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
