Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches


Rodrigo Abascal,uy URU,DF,Boavista,27,1994,27,27,"2,387",26.5,1,2,3,1,0,0,9,1,0.4,0.4,0.6,0.9,10,73,6,0.04,0.08,0.11,0.04,0.11,0.01,0.02,0.03,0.01,0.03,Matches
Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,26,7,774,8.6,2,1,3,2,0,0,8,1,0.8,0.8,1.4,2.2,10,51,12,0.23,0.12,0.35,0.23,0.35,0.10,0.16,0.26,0.10,0.26,Matches
Antonio Adán,es ESP,GK,Sporting CP,34,1987,33,33,"2,970",33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,4,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
João Afonso,pt POR,DF,Santa Clara,31,1990,15,12,"1,119",12.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,22,0,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Lucas Áfrico,br BRA,DF,Estoril,26,1995,11,11,967,10.7,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,7,24,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,32,31,"2,608",29.0,6,3,9,5,1,1,5,0,6.6,5.8,5.2,11.0,65,79,206,0.21,0.10,0.31,0.17,0.28,0.23,0.18,0.41,0.20,0.38,Matches
Mohamed Aidara,ci CIV,DF,Vizela,24,1996,18,14,"1,350",15.0,1,0,1,1,0,0,1,0,1.2,1.2,0.0,1.2,1,9,1,0.07,0.00,0.07,0.07,0.07,0.08,0.00,0.08,0.08,0.08,Matches
Chima Akas,ng NGA,DF,B-SAD,27,1994,25,21,"1,751",19.5,1,1,2,1,0,0,10,0,0.5,0.5,1.3,1.7,7,45,38,0.05,0.05,0.10,0.05,0.10,0.02,0.06,0.09,0.02,0.09,Matches
Alex,br BRA,DF,Famalicão,22,1999,19,17,"1,477",16.4,0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.8,8,34,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
