Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Milan Borjan,ca CAN,GK,Red Star,33,1987,30,30,"2,700",30.0,,,,,,25,4,1,18,60.0,0,0,0,0,,Matches
Marko Drobnjak,rs SRB,GK,Radnički Niš,26,1995,1,1,90,1.0,,,,,,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Mišo Dubljanić,me MNE,GK,Spartak Subotic,21,1999,32,32,"2,880",32.0,,,,,,12,7,13,6,18.8,3,3,0,0,0.0,Matches
Filip Dujmović,ba BIH,GK,Radnički Niš,22,1999,15,15,"1,350",15.0,,,,,,5,6,4,9,60.0,2,2,0,0,0.0,Matches
Filip Dujmović,ba BIH,GK,Spartak Subotic,22,1999,3,3,270,3.0,,,,,,0,1,2,0,0.0,1,1,0,0,0.0,Matches
Nenad Filipović,rs SRB,GK,TSC Bačka Top,34,1987,33,33,"2,970",33.0,,,,,,11,9,13,7,21.2,1,1,0,0,0.0,Matches
Miloš Gordić,rs SRB,GK,Red Star,21,2000,3,3,270,3.0,,,,,,3,0,0,1,33.3,0,0,0,0,,Matches
Milan Jelovac,me MNE,GK,Spartak Subotic,27,1993,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Aleksa Jordanov,mk MKD,GK,Napredak Kruš,19,2002,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Nemanja Jorgić,rs SRB,GK,TSC Bačka Top,33,1988,4,4,360,4.0,,,,,,2,0,2,1,25.0,1,1,0,0,0.0,Matches
Damir Kahriman,rs SRB,GK,Radnički Niš,36,1984,21,21,"1,890",21.0,,,,,,7,9,5,6,28.6,4,4,0,0,0.0,Matches
Ivan Kostić,rs SRB,GK,Mladost Lučani,25,1995,30,30,"2,700",30.0,,,,,,11,9,10,11,36.7,3,3,0,0,0.0,Matches
Milos Krunic,rs SRB,GK,Voždovac,24,1996,16,16,"1,440",16.3,,,,,,5,5,6,5,31.3,4,4,0,0,0.0,Matches
Luka Kukic,ba BIH,GK,Novi Pazar,25,1996,8,8,698,7.8,,,,,,3,2,3,1,12.5,2,2,0,0,0.0,Matches
Stojan Leković,rs SRB,GK,Radnički Kragujevac,19,2001,7,6,568,6.3,,,,,,3,0,3,1,16.7,1,1,0,0,0.0,Matches
Ognjen Lukić,rs SRB,GK,Radnički Kragujevac,18,2003,22,22,"1,980",22.0,,,,,,5,6,11,7,31.8,4,4,0,0,0.0,Matches
Filip Manojlović,rs SRB,GK,Spartak Subotic,25,1996,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Dušan Marković,rs SRB,GK,Metalac GM,23,1998,15,14,"1,337",14.9,,,,,,3,5,6,4,28.6,1,1,0,0,0.0,Matches
Mateja Maslarevic,rs SRB,GK,Metalac GM,20,2000,11,11,913,10.1,,,,,,3,2,6,0,0.0,3,3,0,0,0.0,Matches
