Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Rayane Aabid,fr FRA,MF,Yeni Mal'spor,29,1992,20.6,3,0,0,12,21,0,42,11,18,,,0,Matches
Rayane Aabid,fr FRA,MF,Kasımpaşa,29,1992,4.7,1,0,0,4,3,0,5,2,4,,,0,Matches
Patrick van Aanholt,nl NED,DF,Galatasaray,30,1990,30.9,3,0,0,25,13,8,150,43,36,,,0,Matches
Sam Adekugbe,ca CAN,DF,Hatayspor,26,1995,32.5,9,1,1,23,23,6,95,41,24,,,0,Matches
Luiz Adriano,br BRA,"MF,FW",Antalyaspor,34,1987,13.4,3,0,0,18,29,5,4,3,8,,,0,Matches
Serhat Ahmetoğlu,,DF,Fatih Karagümrük,19,2002,1.6,0,0,0,3,1,0,5,2,2,,,0,Matches
Serge Aka,ci CIV,MF,Altay,26,1994,3.4,0,0,0,6,1,0,1,7,12,,,0,Matches
Eray Akar,,FW,Hatayspor,18,2003,0.3,0,0,0,2,1,0,1,0,0,,,0,Matches
Harun Akaydin,,DF,Kasımpaşa,15,2005,0.5,0,0,0,1,0,0,0,1,2,,,0,Matches
Samet Akaydın,tr TUR,DF,Adana Demirspor,27,1994,32.8,6,0,0,42,24,0,1,58,41,,,0,Matches
Emre Akbaba,tr TUR,MF,Alanyaspor,28,1992,25.0,4,0,0,29,28,6,110,10,36,,,0,Matches
Emre Akbaba,tr TUR,"FW,MF",Galatasaray,28,1992,0.3,0,0,0,1,0,0,4,1,1,,,0,Matches
Arda Akbulut,tr TUR,GK,Trabzonspor,20,2001,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Halil Akbunar,tr TUR,"MF,FW",Göztepe,27,1993,27.7,5,1,0,38,31,21,126,10,23,,,0,Matches
Murat Akça,tr TUR,DF,Altay,31,1990,25.1,6,0,0,35,30,1,5,50,25,,,0,Matches
İbrahim Akdağ,tr TUR,MF,Kayserispor,30,1991,25.0,11,0,0,59,39,0,11,29,38,,,0,Matches
Yunus Akgün,tr TUR,MF,Adana Demirspor,21,2000,28.8,5,0,0,15,50,6,98,8,11,,,0,Matches
Babajide Akintola,ng NGA,MF,Adana Demirspor,25,1996,13.3,1,1,0,16,15,4,40,7,9,,,0,Matches
Gökhan Akkan,tr TUR,GK,Rizespor,26,1995,26.5,0,0,0,0,4,0,0,0,1,,,0,Matches
Murat Akşit,tr TUR,GK,Yeni Mal'spor,19,2002,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
Engin Aksoy,tr TUR,MF,Hatayspor,17,2003,0.1,0,0,0,0,0,0,0,1,0,,,0,Matches
Fatih Aksoy,tr TUR,"DF,MF",Alanyaspor,23,1997,29.1,6,0,0,33,29,0,2,24,36,,,0,Matches
Kerem Aktürkoğlu,tr TUR,"MF,FW",Galatasaray,22,1998,31.8,5,0,0,22,59,4,51,21,15,,,0,Matches
Ufuk Akyol,de GER,MF,Antalyaspor,23,1997,2.5,0,0,0,1,1,0,4,2,4,,,0,Matches
