Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Amir Abdijanovic,at AUT,"FW,MF",SCR Altach,21,2001,8.9,1,12,3,25.0,1.34,0.34,0.08,0.33,,0,0,Matches
Junior Adamu,at AUT,FW,RB Salzburg,21,2001,14.3,10,35,22,62.9,2.46,1.54,0.29,0.45,,0,0,Matches
Adriel,br BRA,"DF,MF",SC Austria Lustenau,25,1997,10.3,1,5,2,40.0,0.48,0.19,0.20,0.50,,0,0,Matches
David Affengruber,at AUT,DF,Sturm Graz,21,2001,21.4,4,15,5,33.3,0.70,0.23,0.27,0.80,,0,0,Matches
Lawrence Agyekum,gh GHA,"MF,FW",RB Salzburg,18,2003,2.2,0,5,0,0.0,2.28,0.00,0.00,,,0,0,Matches
Sebastian Aigner,at AUT,"MF,DF",SCR Altach,21,2001,7.7,0,1,0,0.0,0.13,0.00,0.00,,,0,0,Matches
Albian Ajeti,ch SUI,FW,Sturm Graz,25,1997,7.4,3,30,10,33.3,4.07,1.36,0.10,0.30,,0,0,Matches
Pape Alioune Ndiaye,fr FRA,DF,SCR Altach,24,1998,4.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Eylon Almog,il ISR,"MF,FW",Hartberg,23,1999,4.0,1,10,2,20.0,2.47,0.49,0.10,0.50,,0,0,Matches
Anderson,br BRA,"MF,DF",SC Austria Lustenau,24,1998,26.1,5,31,10,32.3,1.19,0.38,0.16,0.50,,0,0,Matches
Matteo Anzolin,it ITA,"DF,MF",Wolfsberger AC,21,2000,16.9,0,11,1,9.1,0.65,0.06,0.00,0.00,,0,0,Matches
Jonas Arweiler,de GER,FW,SK Austria Klagenfurt,25,1997,5.2,3,19,8,42.1,3.68,1.55,0.16,0.38,,0,0,Matches
Jonas Auer,at AUT,DF,Rapid Wien,21,2000,26.0,0,9,2,22.2,0.35,0.08,0.00,0.00,,0,0,Matches
Donis Avdijaj,xk KVX,"MF,FW",Hartberg,25,1996,13.7,7,38,12,31.6,2.78,0.88,0.16,0.50,,1,1,Matches
Okan Aydın,tr TUR,"MF,FW",Hartberg,28,1994,10.6,3,25,10,40.0,2.37,0.95,0.12,0.30,,0,0,Matches
Felix Bacher,at AUT,DF,WSG Tirol,21,2000,28.2,1,9,2,22.2,0.32,0.07,0.11,0.50,,0,0,Matches
Mike-Steven Bähre,de GER,MF,SCR Altach,26,1995,5.3,1,5,1,20.0,0.94,0.19,0.20,1.00,,0,0,Matches
Samson Baidoo,at AUT,DF,RB Salzburg,18,2004,2.0,0,2,0,0.0,0.98,0.00,0.00,,,0,0,Matches
Ante Bajic,at AUT,MF,Rapid Wien,26,1995,10.5,1,23,5,21.7,2.19,0.48,0.04,0.20,,0,0,Matches
Husein Balic,at AUT,"FW,MF",SCR Altach,26,1996,10.0,0,19,5,26.3,1.90,0.50,0.00,0.00,,0,0,Matches
Husein Balic,at AUT,"FW,MF",LASK,26,1996,1.2,0,2,2,100.0,1.62,1.62,0.00,0.00,,0,0,Matches
