Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches


Leroy Abanda,fr FRA,"DF,MF",R.F.C. Seraing,22,2000,7.6,0,6,0,0.0,0.79,0.00,0.00,,18.5,2,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Francis Abu,gh GHA,MF,Cercle Brugge,21,2001,18.3,1,27,6,22.2,1.48,0.33,0.04,0.17,27.8,0,0,0,0.9,0.9,0.03,+0.1,+0.1,Matches
Simon Adingra,ci CIV,"DF,FW",Union SG,20,2002,21.2,10,40,18,45.0,1.89,0.85,0.25,0.56,15.4,0,0,0,5.4,5.4,0.14,+4.6,+4.6,Matches
Brian Agbor,cm CMR,"DF,MF",Gent,21,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Enock Agyei,be BEL,"FW,MF",Mechelen,17,2005,3.7,0,4,0,0.0,1.08,0.00,0.00,,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Halil Akbunar,tr TUR,"MF,FW",Westerlo,28,1993,8.5,2,17,7,41.2,2.01,0.83,0.12,0.29,16.9,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
Alessandro Albanese,be BEL,"MF,DF",Oostende,22,2000,6.2,0,15,8,53.3,2.40,1.28,0.00,0.00,22.5,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Toby Alderweireld,be BEL,DF,Antwerp,33,1989,30.0,5,27,8,29.6,0.90,0.27,0.11,0.38,18.3,1,2,2,3.7,2.1,0.08,+1.3,+0.9,Matches
Alfonso,mz MOZ,MF,Oostende,22,1999,14.4,0,7,1,14.3,0.49,0.07,0.00,0.00,24.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Teddy Alloh,fr FRA,DF,Eupen,20,2002,4.0,0,1,1,100.0,0.25,0.25,0.00,0.00,18.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Dinis Almeida,pt POR,DF,Antwerp,27,1995,3.5,0,2,0,0.0,0.57,0.00,0.00,,11.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Éder Álvarez Balanta,co COL,MF,Club Brugge,29,1993,3.1,0,1,0,0.0,0.32,0.00,0.00,,20.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Steven Alzate,co COL,MF,Standard Liège,23,1998,21.9,2,12,6,50.0,0.55,0.27,0.17,0.33,18.8,0,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches
Selim Amallah,ma MAR,"MF,FW",Standard Liège,25,1996,8.8,4,22,4,18.2,2.50,0.46,0.05,0.25,24.6,2,3,3,3.8,1.5,0.07,+0.2,-0.5,Matches
Thierry Ambrose,gp GLP,FW,Oostende,25,1997,25.1,7,61,22,36.1,2.43,0.88,0.07,0.18,20.7,0,3,5,8.2,4.0,0.06,-1.2,0.0,Matches
