Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Shehu Abdullahi,ng NGA,"DF,MF",Levski Sofia,29,1993,4.0,1,0,0,,,,,,,,,0,Matches
Anicet Abel,mg MAD,"FW,MF",Beroe,32,1990,10.6,3,0,0,,,,,,,,,0,Matches
Martin Achkov,bg BUL,DF,Septemvri Sofia,23,1999,16.6,3,0,0,,,,,,,,,0,Matches
Ahmed Ahmedov,bg BUL,FW,Slavia Sofia,27,1995,16.5,3,0,0,,,,,,,,,0,Matches
Oktay Ahmedov Hamdiev,bg BUL,FW,PFC Hebar Pazardzhik,22,2000,25.9,4,0,0,,,,,,,,,0,Matches
Samuel Akere,ng NGA,FW,Botev Plovdiv,18,2004,4.8,1,0,0,,,,,,,,,0,Matches
Aleksandar Aleksandrov,bg BUL,FW,Lokomotiv Sofia,28,1994,1.8,1,0,0,,,,,,,,,0,Matches
Denislav Aleksandrov,bg BUL,MF,Loko Plovdiv,25,1997,3.4,0,0,0,,,,,,,,,0,Matches
Denislav Aleksandrov,bg BUL,MF,CSKA 1948,25,1997,2.1,0,0,0,,,,,,,,,0,Matches
Sasho Aleksandrov,bg BUL,DF,CSKA 1948,36,1986,4.9,4,0,0,,,,,,,,,0,Matches
Simeon Aleksandrov,bg BUL,FW,Septemvri Sofia,18,2003,17.7,4,0,0,,,,,,,,,0,Matches
Simeon Aleksandrov,bg BUL,FW,CSKA Sofia,18,2003,0.3,0,0,0,,,,,,,,,0,Matches
Dzhuinet Ali,bg BUL,DF,Arda,27,1994,14.0,6,1,1,,,,,,,,,0,Matches
Sami El Anabi,be BEL,DF,FC Spartak Varna,22,2000,3.8,2,0,0,,,,,,,,,1,Matches
Petar Andreev,bg BUL,MF,Loko Plovdiv,18,2004,1.7,1,0,0,,,,,,,,,0,Matches
Plamen Andreev,bg BUL,GK,Levski Sofia,17,2004,32.0,1,0,0,,,,,,,,,0,Matches
Yancho Andreev,bg BUL,MF,FC Spartak Varna,32,1990,6.6,2,0,0,,,,,,,,,0,Matches
Angel Angelov,bg BUL,MF,Cherno More,22,1999,0.6,0,0,0,,,,,,,,,0,Matches
Preslav Antonov,bg BUL,FW,CSKA 1948,25,1996,0.2,0,0,0,,,,,,,,,0,Matches
Rodney Antwi,nl NED,FW,FC Spartak Varna,26,1995,7.6,1,0,0,,,,,,,,,0,Matches
Georgi Argilashki,bg BUL,GK,Botev Plovdiv,31,1991,8.0,0,0,0,,,,,,,,,0,Matches
Ivan Arsov,bg BUL,DF,Septemvri Sofia,21,2000,23.0,7,2,1,,,,,,,,,0,Matches
Georgi Atanasov,bg BUL,FW,Arda,18,2004,0.0,1,0,0,,,,,,,,,0,Matches
Martin Atanasov,bg BUL,DF,Botev Vratsa,20,2002,6.1,4,0,0,,,,,,,,,0,Matches
Zahari Atanasov,bg BUL,MF,Septemvri Sofia,17,2005,0.9,1,0,0,,,,,,,,,0,Matches

