Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Jonas Abbew,dk DEN,DF,Nordsjælland,20,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Elias Achouri,tn TUN,"FW,MF",Viborg,23,1999,16.1,5,0,0,25,32,2,41,5,16,,,0,Matches
Tonni Adamsen,dk DEN,FW,Silkeborg,27,1994,18.2,1,0,0,14,12,5,20,2,4,,,0,Matches
Aske Adelgaard,dk DEN,DF,Odense,18,2003,14.9,4,2,1,16,19,1,48,20,18,,,0,Matches
Martin Agnarsson,fo FRO,DF,Viborg,18,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Jakob Ahlmann Nielsen,dk DEN,DF,Aalborg,31,1991,13.3,5,0,0,12,15,2,20,24,21,,,0,Matches
Akinkunmi Amoo,ng NGA,FW,FC Copenhagen,20,2002,0.4,0,0,0,0,2,0,0,0,0,,,0,Matches
Lucas Andersen,dk DEN,"MF,FW",Aalborg,27,1994,19.4,2,0,0,11,23,5,84,4,19,,,0,Matches
Mikael Anderson,is ISL,"MF,FW",AGF,24,1998,22.2,4,0,0,24,48,3,55,9,14,,,0,Matches
Adam Andersson,se SWE,DF,Randers,25,1996,20.2,0,0,0,14,7,0,143,24,27,,,1,Matches
Hugo Andersson,se SWE,DF,Randers,23,1999,22.3,6,0,0,21,7,0,1,23,8,,,0,Matches
Joel Andersson,se SWE,"DF,MF",Midtjylland,25,1996,12.8,2,0,0,8,2,1,35,9,20,,,0,Matches
Valdemar Andreasen,dk DEN,MF,Midtjylland,17,2005,0.8,0,0,0,0,0,0,2,0,1,,,0,Matches
Aske Andresen,dk DEN,GK,Silkeborg,17,2005,0.5,0,0,0,0,1,0,0,0,0,,,0,Matches
Jakob Ankersen,dk DEN,MF,Randers,31,1990,17.7,1,0,0,15,29,7,60,13,24,,,0,Matches
Peter Ankersen,dk DEN,DF,FC Copenhagen,31,1990,8.1,2,0,0,2,6,1,38,14,7,,,0,Matches
Oliver Antman,fi FIN,FW,Nordsjælland,20,2001,5.4,0,0,0,2,2,0,36,3,4,,,0,Matches
Daniel Anyembe,ke KEN,DF,Viborg,24,1998,19.7,1,0,0,11,12,1,25,20,20,,,0,Matches
Hákon Arnar Haraldsson,is ISL,"FW,MF",FC Copenhagen,19,2003,22.4,8,0,0,18,31,1,23,5,15,,,0,Matches
Rocco Ascone,fr FRA,FW,Nordsjælland,18,2003,3.9,1,0,0,8,4,0,21,3,7,,,0,Matches
Emam Ashour,eg EGY,"MF,FW",Midtjylland,24,1998,3.3,0,0,0,5,7,0,2,5,3,,,0,Matches
Yann Aurel Bisseck,de GER,DF,AGF,21,2000,32.0,3,0,0,30,34,0,14,32,26,,,0,Matches
Khouma Babacar,sn SEN,FW,FC Copenhagen,29,1993,0.6,0,0,0,0,0,1,0,0,0,,,0,Matches
Edgar Babayan,am ARM,"MF,FW",Randers,26,1995,7.9,3,0,0,17,11,0,54,8,9,,,0,Matches
