Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Dawid Abramowicz,pl POL,"DF,MF",Radomiak Radom,31,1991,30.8,4,,,,,,,,,0,0,Matches
Mateusz Abramowicz,pl POL,GK,Miedź Legnica,29,1992,20.0,0,,,,,,,,,0,0,Matches
Sławomir Abramowicz,pl POL,GK,Jagiellonia,18,2004,2.5,0,,,,,,,,,0,0,Matches
Joel Abu Hanna,il ISR,DF,Lechia Gdańsk,24,1998,11.0,0,,,,,,,,,0,0,Matches
Joel Abu Hanna,il ISR,DF,Legia Warsaw,24,1998,1.0,0,,,,,,,,,0,0,Matches
Rafał Adamski,pl POL,FW,Zagłębie Lubin,20,2001,10.6,2,,,,,,,,,0,0,Matches
Emmanuel Agbor,cm CMR,FW,Miedź Legnica,19,2003,0.5,0,,,,,,,,,0,0,Matches
Pontus Almqvist,se SWE,"FW,MF",Pogoń Szczecin,23,1999,15.4,5,,,,,,,,,0,0,Matches
Zlatan Alomerović,de GER,GK,Jagiellonia,31,1991,31.5,0,,,,,,,,,0,0,Matches
Roberto Alves,ch SUI,"MF,FW",Radomiak Radom,25,1997,29.3,3,,,,,,,,,0,1,Matches
João Amaral,pt POR,MF,Lech Poznań,30,1991,8.7,2,,,,,,,,,0,0,Matches
Michael Ameyaw,pl POL,MF,Piast Gliwice,21,2000,16.6,3,,,,,,,,,0,0,Matches
Jakub Antczak,pl POL,MF,Lech Poznań,18,2004,0.2,0,,,,,,,,,0,0,Matches
Zoran Arsenić,hr CRO,DF,RKS Raków,28,1994,29.1,0,,,,,,,,,0,0,Matches
Jani Atanasov,mk MKD,MF,Cracovia,22,1999,10.2,1,,,,,,,,,0,0,Matches
Rafał Augustyniak,pl POL,DF,Legia Warsaw,28,1993,19.4,4,,,,,,,,,0,0,Matches
Jon Aurtenetxe,es ESP,DF,Miedź Legnica,30,1992,5.7,0,,,,,,,,,0,0,Matches
Makana Baku,de GER,MF,Legia Warsaw,24,1998,12.1,0,,,,,,,,,0,0,Matches
Filip Balaj,sk SVK,FW,Cracovia,24,1997,0.4,0,,,,,,,,,0,0,Matches
Dawid Baldyga,pl POL,MF,Śląsk Wrocław,19,2003,0.4,0,,,,,,,,,0,0,Matches
Saša Balić,me MNE,DF,Korona Kielce,32,1990,9.4,0,,,,,,,,,0,0,Matches
Dominykas Barauskas,lt LTU,DF,Stal Mielec,25,1997,6.9,0,,,,,,,,,0,0,Matches
Jakub Bartkowski,pl POL,DF,Lechia Gdańsk,30,1991,13.3,1,,,,,,,,,0,0,Matches
Jakub Bartkowski,pl POL,DF,Pogoń Szczecin,30,1991,12.8,1,,,,,,,,,0,0,Matches
Mateusz Bartolewski,pl POL,"DF,MF",Zagłębie Lubin,24,1998,7.3,0,,,,,,,,,0,0,Matches

Filip Bednarek,pl POL,GK,Lech Poznań,29,1992,32.0,0,,,,,,,,,0,0,Matches
Łukasz Bejger,pl POL,"DF,MF",Śląsk Wrocław,20,2002,19.6,2,,,,,,,,,0,0,Matches
