Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches


Patrick van Aanholt,nl NED,DF,PSV Eindhoven,31,1990,15,13,"1,177",13.1,1,2,3,1,0,0,1,0,0.4,0.4,2.9,3.4,26,57,69,0.08,0.15,0.23,0.08,0.23,0.03,0.22,0.26,0.03,0.26,Matches
Dirk Abels,nl NED,DF,Sparta R'dam,25,1997,26,12,"1,326",14.7,1,2,3,1,0,0,2,0,0.3,0.3,1.1,1.4,18,43,30,0.07,0.14,0.20,0.07,0.20,0.02,0.07,0.10,0.02,0.10,Matches
Paulos Abraham,se SWE,"FW,MF",Groningen,20,2002,8,5,489,5.4,0,0,0,0,0,0,0,0,1.1,1.1,0.2,1.3,19,18,39,0.00,0.00,0.00,0.00,0.00,0.20,0.05,0.25,0.20,0.25,Matches
Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,23,1999,31,28,"2,146",23.8,6,4,10,6,0,0,8,0,4.0,4.0,3.4,7.4,64,78,167,0.25,0.17,0.42,0.25,0.42,0.17,0.14,0.31,0.17,0.31,Matches
Shawn Adewoye,be BEL,DF,RKC Waalwijk,22,2000,33,33,"2,931",32.6,1,1,2,1,0,0,7,0,1.7,1.7,0.7,2.4,25,88,7,0.03,0.03,0.06,0.03,0.06,0.05,0.02,0.07,0.05,0.07,Matches
Luuk Admiraal,nl NED,FW,Excelsior,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nikolas Agrafiotis,nl NED,"FW,MF",Excelsior,22,2000,17,5,564,6.3,2,0,2,2,0,1,2,0,2.8,2.1,0.6,2.7,3,13,23,0.32,0.00,0.32,0.32,0.32,0.45,0.09,0.54,0.34,0.43,Matches
Joost van Aken,nl NED,DF,Heerenveen,28,1994,15,11,991,11.0,0,0,0,0,0,0,2,0,0.6,0.6,0.1,0.8,11,41,2,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
Norbert Alblas,nl NED,GK,Excelsior,27,1994,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pedro Alemañ,es ESP,MF,Sparta R'dam,20,2002,5,0,48,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,6,3,0.00,0.00,0.00,0.00,0.00,0.40,0.10,0.50,0.40,0.50,Matches
