Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches


Abner,br BRA,DF,Betis,22,2000,6.7,12,9,9,2,1,7,16,43.8,9,8,2,6,8,20,24,0,Matches
Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,57,36,34,17,6,30,42,71.4,12,16,5,11,23,80,36,0,Matches
Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,27,15,13,11,3,15,25,60.0,10,16,4,12,13,40,15,0,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,51,36,33,17,1,16,28,57.1,12,26,14,12,31,82,150,0,Matches
Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,27,16,19,6,2,12,22,54.5,10,22,6,16,14,41,41,0,Matches
Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,0.1,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
Paul Akouokou,ci CIV,"MF,DF",Betis,24,1997,5.0,16,9,13,3,0,13,20,65.0,7,2,2,0,12,28,17,1,Matches
David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,15,11,8,4,3,9,15,60.0,6,18,9,9,14,29,37,1,Matches
Ángel Alarcón,es ESP,"FW,MF",Barcelona,18,2004,0.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,3,2,0,2,1,1,2,50.0,1,1,0,1,2,5,2,0,Matches
Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,25,18,13,11,1,12,28,42.9,16,12,5,7,11,36,23,0,Matches
Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,25,17,17,6,2,14,18,77.8,4,17,13,4,14,39,111,0,Matches
Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,43,31,24,18,1,19,54,35.2,35,23,8,15,19,62,37,0,Matches
Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,35,20,21,14,0,28,40,70.0,12,23,16,7,26,61,85,0,Matches
Iván Alejo,es ESP,"MF,FW",Cádiz,27,1995,14.6,32,21,19,9,4,17,37,45.9,20,18,3,15,5,37,12,1,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,24,1998,23.5,18,10,7,5,6,5,34,14.7,29,19,1,18,4,22,18,0,Matches
Alejandro Alfaro,es ESP,MF,Elche,20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ángel Algobia,es ESP,MF,Getafe,23,1999,12.6,27,13,14,13,0,22,48,45.8,26,15,5,10,3,30,11,0,Matches
