Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Sadick Abubakar,gh GHA,DF,Radnik Surdulica,24,1998,16.9,1,,,,,,,,,0,0,Matches
Miloš Adamović,rs SRB,"DF,MF",Javor Ivanjica,34,1988,16.3,0,,,,,,,,,0,0,Matches
Nenad Adamović,rs SRB,MF,Mladost Lučani,33,1989,5.2,1,,,,,,,,,0,0,Matches
Edmund Addo,gh GHA,MF,Spartak Subotic,22,2000,14.4,0,,,,,,,,,0,0,Matches
Adetunji Adeshina,ng NGA,MF,Novi Pazar,17,2004,2.0,0,,,,,,,,,0,0,Matches
Luka Adžić,rs SRB,MF,Čukarički,23,1998,10.7,2,,,,,,,,,1,1,Matches
Almir Aganspahić,ba BIH,FW,Čukarički,25,1996,3.0,1,,,,,,,,,0,0,Matches
Ognjen Ajdar,rs SRB,FW,Radnički Niš,19,2003,3.7,0,,,,,,,,,0,0,Matches
Edin Ajdinović,rs SRB,MF,Voždovac,21,2001,17.1,1,,,,,,,,,0,0,Matches
Nikola Aksentijević,rs SRB,DF,Radnički Niš,29,1993,12.3,0,,,,,,,,,0,0,Matches
Semir Alić,rs SRB,DF,Novi Pazar,18,2004,6.0,0,,,,,,,,,0,0,Matches
Patrick Andrade,cv CPV,MF,Partizan,29,1993,10.3,0,,,,,,,,,0,0,Matches
Nemanja Andrić,rs SRB,MF,FK Kolubara,35,1987,1.6,0,,,,,,,,,0,0,Matches
Nikola Andrić,rs SRB,DF,Radnički Niš,30,1992,5.1,0,,,,,,,,,0,0,Matches
Goran Antonić,rs SRB,DF,TSC Bačka Top,31,1990,22.8,2,,,,,,,,,0,0,Matches
Filip Antonijević,rs SRB,DF,Vojvodina,22,2000,7.1,0,,,,,,,,,0,0,Matches
Lazar Arsić,rs SRB,MF,Radnički Niš,30,1991,0.3,0,,,,,,,,,0,0,Matches
Lazar Arsić,rs SRB,MF,FK Mladost Novi Sad,30,1991,10.8,0,,,,,,,,,0,0,Matches
Irakli Azarov,ge GEO,DF,Red Star,20,2002,11.6,0,,,,,,,,,0,0,Matches
Emir Azemović,me MNE,DF,FK Kolubara,25,1997,6.0,0,,,,,,,,,0,0,Matches
Filip Babić,rs SRB,DF,Mladost Lučani,27,1995,11.1,0,,,,,,,,,0,0,Matches
Ilija Babić,rs SRB,FW,FK Mladost Novi Sad,19,2002,16.3,0,,,,,,,,,0,0,Matches
Siniša Babić,rs SRB,FW,Radnik Surdulica,31,1991,10.3,0,,,,,,,,,0,0,Matches
Đorđe Babić,rs SRB,FW,Mladost Lučani,21,2000,0.4,0,,,,,,,,,0,0,Matches
Muhammed Badamosi,gm GAM,FW,Čukarički,23,1998,30.9,11,,,,,,,,,0,0,Matches

Dražen Bagarić,hr CRO,FW,FK Kolubara,29,1992,7.1,0,,,,,,,,,0,0,Matches
Vasilije Bakić,rs SRB,DF,FK Kolubara,22,2000,27.3,0,,,,,,,,,0,0,Matches
