Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Sadick Abubakar,gh GHA,DF,Radnik Surdulica,24,1998,19,18,"1,525",16.9,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
Miloš Adamović,rs SRB,"DF,MF",Javor Ivanjica,34,1988,17,16,"1,464",16.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Nenad Adamović,rs SRB,MF,Mladost Lučani,33,1989,11,4,471,5.2,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches
Edmund Addo,gh GHA,MF,Spartak Subotic,22,2000,16,14,"1,294",14.4,0,1,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,Matches
Adetunji Adeshina,ng NGA,MF,Novi Pazar,17,2004,4,2,183,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Luka Adžić,rs SRB,MF,Čukarički,23,1998,22,10,960,10.7,2,0,2,1,1,1,6,0,0.19,0.00,0.19,0.09,0.09,Matches
Almir Aganspahić,ba BIH,FW,Čukarički,25,1996,11,2,274,3.0,1,0,1,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches
Ognjen Ajdar,rs SRB,FW,Radnički Niš,19,2003,19,0,336,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Edin Ajdinović,rs SRB,MF,Voždovac,21,2001,28,18,"1,535",17.1,1,3,4,1,0,0,3,0,0.06,0.18,0.23,0.06,0.23,Matches
Nikola Aksentijević,rs SRB,DF,Radnički Niš,29,1993,13,12,"1,110",12.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Semir Alić,rs SRB,DF,Novi Pazar,18,2004,12,3,537,6.0,0,1,1,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches
Patrick Andrade,cv CPV,MF,Partizan,29,1993,16,11,929,10.3,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
Nemanja Andrić,rs SRB,MF,FK Kolubara,35,1987,9,0,143,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Andrić,rs SRB,DF,Radnički Niš,30,1992,7,6,458,5.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
Goran Antonić,rs SRB,DF,TSC Bačka Top,31,1990,27,23,"2,052",22.8,2,1,3,2,0,0,4,1,0.09,0.04,0.13,0.09,0.13,Matches
Filip Antonijević,rs SRB,DF,Vojvodina,22,2000,9,7,640,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Lazar Arsić,rs SRB,MF,Radnički Niš,30,1991,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
