Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Leroy Abanda,fr FRA,DF,PAS Lamia,22,2000,15,15,"1,257",14.0,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
Pape Abou Cissé,sn SEN,DF,Olympiacos,26,1995,6,4,400,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Adejo,ng NGA,DF,PAS Lamia,32,1989,16,15,"1,331",14.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Oluwatobiloba Alagbe,ng NGA,MF,Asteras Tripoli,22,2000,10,7,556,6.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Sotiris Alexandropoulos,gr GRE,MF,Panathinaikos,20,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikolai Alho,fi FIN,DF,Volos NFC,29,1993,34,32,"2,894",32.2,1,3,4,1,0,0,4,2,0.03,0.09,0.12,0.03,0.12,Matches
Christos Almpanis,gr GRE,"FW,MF",AEK Athens,27,1994,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Federico Álvarez,ar ARG,DF,Asteras Tripoli,27,1994,29,25,"2,310",25.7,1,1,2,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,Matches
Nordin Amrabat,ma MAR,MF,AEK Athens,35,1987,31,19,"1,666",18.5,7,4,11,3,4,4,8,0,0.38,0.22,0.59,0.16,0.38,Matches
Panagiotis Anastasopoulos,gr GRE,DF,Panetolikos,18,2003,1,0,23,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Thanasis Androutsos,gr GRE,DF,Olympiacos,25,1997,7,5,466,5.2,1,1,2,1,0,0,3,0,0.19,0.19,0.39,0.19,0.39,Matches
Giannis Anestis,gr GRE,GK,Panetolikos,31,1991,21,21,"1,890",21.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Miguel Ángel Guerrero,es ESP,"FW,MF",OFI Crete,32,1990,11,8,763,8.5,0,2,2,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,Matches
Fabien Antunes,fr FRA,"MF,DF",Ionikos,30,1991,18,12,"1,032",11.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Giorgos Antzoulas,gr GRE,DF,Asteras Tripoli,22,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aias Aosman,sy SYR,"MF,FW",Ionikos,27,1994,13,13,"1,033",11.5,2,2,4,2,0,0,4,0,0.17,0.17,0.35,0.17,0.35,Matches
Giannis Apostolakis,gr GRE,MF,OFI Crete,17,2004,3,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
