Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Rayane Aabid,fr FRA,MF,Hatayspor,30,1992,14.7,0,11,1,9.1,0.75,0.07,0.00,0.00,,0,0,Matches
Patrick van Aanholt,nl NED,DF,Galatasaray,31,1990,8.9,0,9,2,22.2,1.01,0.22,0.00,0.00,,0,0,Matches
Kristal Abazaj,al ALB,MF,İstanbulspor,26,1996,2.1,0,2,0,0.0,0.97,0.00,0.00,,,0,0,Matches
Vincent Aboubakar,cm CMR,FW,Beşiktaş,30,1992,14.6,13,47,23,48.9,3.22,1.57,0.23,0.48,,2,2,Matches
Yaw Ackah,gh GHA,MF,Kayserispor,23,1999,4.7,0,0,0,,0.00,0.00,,,,0,0,Matches
Sam Adekugbe,ca CAN,DF,Hatayspor,27,1995,15.2,0,2,0,0.0,0.13,0.00,0.00,,,0,0,Matches
Sam Adekugbe,ca CAN,DF,Galatasaray,27,1995,5.7,0,3,1,33.3,0.53,0.18,0.00,0.00,,0,0,Matches
Luiz Adriano,br BRA,"MF,FW",Antalyaspor,35,1987,13.1,2,21,8,38.1,1.60,0.61,0.10,0.25,,0,1,Matches
Samet Akaydın,tr TUR,DF,Fenerbahçe,28,1994,16.8,0,15,2,13.3,0.89,0.12,0.00,0.00,,0,0,Matches
Samet Akaydın,tr TUR,DF,Adana Demirspor,28,1994,15.7,2,7,2,28.6,0.44,0.13,0.29,1.00,,0,0,Matches
Emre Akbaba,tr TUR,"MF,FW",Adana Demirspor,29,1992,19.1,7,54,18,33.3,2.83,0.94,0.13,0.39,,0,0,Matches
Emre Akbaba,tr TUR,MF,Galatasaray,29,1992,1.9,0,5,1,20.0,2.60,0.52,0.00,0.00,,0,0,Matches
Ümit Akdag,ro ROU,DF,Alanyaspor,18,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Yunus Akgün,tr TUR,MF,Galatasaray,22,2000,11.3,1,30,8,26.7,2.65,0.71,0.03,0.13,,0,0,Matches
Babajide Akintola,ng NGA,MF,Adana Demirspor,26,1996,18.1,6,40,14,35.0,2.21,0.77,0.15,0.43,,0,0,Matches
Gökhan Akkan,tr TUR,GK,Ankaragücü,27,1995,22.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Hamza Akman,tr TUR,MF,Galatasaray,17,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Engin Aksoy,tr TUR,DF,Hatayspor,18,2003,1.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Fatih Aksoy,tr TUR,DF,Alanyaspor,24,1997,21.2,0,9,4,44.4,0.42,0.19,0.00,0.00,,0,0,Matches
Kerem Aktürkoğlu,tr TUR,MF,Galatasaray,23,1998,28.8,9,65,21,32.3,2.26,0.73,0.14,0.43,,0,0,Matches
Ufuk Akyol,de GER,MF,Antalyaspor,24,1997,18.0,0,11,1,9.1,0.61,0.06,0.00,0.00,,0,0,Matches
