Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Ayoub Abou,ma MAR,MF,Pirin Blagoevgrad,25,1998,28.4,0,,,,,,,,,0,0,Matches
Martin Achkov,bg BUL,DF,Botev Vratsa,24,1999,13.4,1,,,,,,,,,0,0,Matches
Oktay Ahmedov Hamdiev,bg BUL,FW,PFC Hebar Pazardzhik,23,2000,4.9,0,,,,,,,,,0,0,Matches
Samuel Akere,ng NGA,FW,Botev Plovdiv,19,2004,26.2,4,,,,,,,,,0,0,Matches
Temitope Akinjogunla,fr FRA,DF,Beroe,20,2002,2.4,0,,,,,,,,,0,0,Matches
Denislav Aleksandrov,bg BUL,MF,Slavia Sofia,26,1997,12.1,2,,,,,,,,,1,1,Matches
Georgi Aleksandrov,bg BUL,DF,Etar,22,2001,22.2,0,,,,,,,,,0,0,Matches
Simeon Aleksandrov,bg BUL,FW,Pirin Blagoevgrad,19,2003,4.9,0,,,,,,,,,0,0,Matches
Carlos Algarra,es ESP,MF,Beroe,23,2000,13.5,0,,,,,,,,,0,0,Matches
Dzhuinet Ali,bg BUL,DF,FK Levski 2005,28,1994,19.8,2,,,,,,,,,0,0,Matches
Efe Ali,bg BUL,MF,Loko Plovdiv,20,2003,12.8,1,,,,,,,,,0,0,Matches
Dinis Almeida,pt POR,DF,Ludogorets,28,1995,10.0,1,,,,,,,,,0,0,Matches
Oussama Alou,nl NED,MF,Etar,21,2002,1.5,0,,,,,,,,,0,0,Matches
Pablo Álvarez,es ESP,MF,Cherno More,26,1997,27.7,3,,,,,,,,,1,1,Matches
Felipe Alves,br BRA,MF,Lokomotiv Sofia,26,1997,1.4,0,,,,,,,,,0,0,Matches
Ivan Andonov,bg BUL,GK,Levski Sofia,19,2003,2.0,0,,,,,,,,,0,0,Matches
Petar Andreev,bg BUL,MF,Loko Plovdiv,19,2004,5.5,5,,,,,,,,,0,0,Matches
Plamen Andreev,bg BUL,GK,Levski Sofia,18,2004,29.8,0,,,,,,,,,0,0,Matches
Antoni Angelov,bg BUL,DF,Etar,16,2007,0.5,0,,,,,,,,,0,0,Matches
Denislav Angelov,bg BUL,FW,Etar,22,2001,1.3,0,,,,,,,,,0,0,Matches
Georgi Angelov,bg BUL,MF,Etar,32,1990,23.4,0,,,,,,,,,0,0,Matches
Yanko Angelov,bg BUL,MF,Etar,30,1993,16.1,0,,,,,,,,,0,0,Matches
Ilian Antonov,bg BUL,FW,CSKA Sofia,17,2006,0.2,0,,,,,,,,,0,0,Matches
Renan Areias,br BRA,MF,FK Levski 2005,25,1998,19.9,1,,,,,,,,,0,0,Matches
Atanas Atanasov,bg BUL,MF,Etar,18,2005,2.4,0,,,,,,,,,0,0,Matches

Martin Atanasov,bg BUL,DF,CSKA 1948,21,2002,0.1,0,,,,,,,,,0,0,Matches
Zahari Atanasov,bg BUL,MF,Etar,18,2005,1.6,0,,,,,,,,,0,0,Matches
