Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Zlatan Alomerović,de GER,GK,Jagiellonia,32,1991,34,34,"3,060",34.0,,,,,,18,9,7,7,20.6,8,8,0,0,0.0,Matches
Dawid Arndt,pl POL,GK,Łódzki KS,21,2001,7,7,630,7.0,,,,,,2,1,4,0,0.0,1,1,0,0,0.0,Matches
Krzysztof Bąkowski,pl POL,GK,Radomiak Radom,20,2003,1,1,90,1.0,,,,,,1,0,0,0,0.0,0,0,0,0,,Matches
Filip Bednarek,pl POL,GK,Lech Poznań,30,1992,3,3,270,3.0,,,,,,2,1,0,1,33.3,1,1,0,0,0.0,Matches
Jakub Bielecki,pl POL,GK,Ruch Chorzów,22,2000,4,4,360,4.0,,,,,,1,0,3,1,25.0,1,1,0,0,0.0,Matches
Daniel Bielica,pl POL,GK,Górnik Zabrze,24,1999,34,34,"3,060",34.0,,,,,,15,8,11,10,29.4,1,1,0,0,0.0,Matches
Kacper Bieszczad,pl POL,GK,RKS Raków,20,2002,2,2,180,2.0,,,,,,0,1,1,0,0.0,0,0,0,0,,Matches
Alexander Bobek,pl POL,GK,Łódzki KS,19,2004,27,27,"2,430",27.0,,,,,,4,5,18,2,7.4,9,7,1,1,12.5,Matches
Michał Buchalik,pl POL,GK,Ruch Chorzów,34,1989,8,8,720,8.0,,,,,,0,4,4,1,12.5,2,2,0,0,0.0,Matches
Jasmin Burić,ba BIH,GK,Zagłębie Lubin,36,1987,5,5,450,5.0,,,,,,0,2,3,0,0.0,1,1,0,0,0.0,Matches
Valentin Cojocaru,ro ROU,GK,Pogoń Szczecin,27,1995,27,27,"2,430",27.0,,,,,,13,7,7,7,25.9,4,2,2,0,50.0,Matches
Sokratis Dioudis,gr GRE,GK,Zagłębie Lubin,30,1993,21,21,"1,889",21.0,,,,,,9,5,7,6,28.6,2,1,1,0,50.0,Matches
Xavier Dziekonski,pl POL,GK,Korona Kielce,19,2003,29,29,"2,610",29.0,,,,,,7,12,10,5,17.2,5,5,0,0,0.0,Matches
Konrad Forenc,pl POL,GK,Korona Kielce,31,1992,5,5,450,5.0,,,,,,1,2,2,1,20.0,1,0,1,0,100.0,Matches
Rafał Gikiewicz,pl POL,GK,Widzew Łódź,35,1987,14,14,"1,260",14.0,,,,,,7,3,4,4,28.6,1,1,0,0,0.0,Matches
Jędrzej Grobelny,pl POL,GK,Warta Poznań,22,2001,25,24,"2,212",24.6,,,,,,8,6,10,8,33.3,2,1,0,1,0.0,Matches
Lukáš Hroššo,sk SVK,GK,Cracovia,36,1987,7,7,630,7.0,,,,,,2,2,3,1,14.3,1,1,0,0,0.0,Matches
Dominik Hładun,pl POL,GK,Legia Warsaw,27,1995,11,11,990,11.0,,,,,,3,6,2,1,9.1,1,1,0,0,0.0,Matches
