Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Dawid Abramowicz,pl POL,DF,Radomiak Radom,32,1991,34.0,3,0,0,,,,,,,,,1,Matches
Zlatan Alomerović,de GER,GK,Jagiellonia,32,1991,34.0,1,0,0,,,,,,,,,0,Matches
Fran Álvarez,es ESP,MF,Widzew Łódź,25,1998,24.8,6,0,0,,,,,,,,,0,Matches
Roberto Alves,ch SUI,MF,Radomiak Radom,26,1997,4.7,0,0,0,,,,,,,,,0,Matches
Michael Ameyaw,pl POL,MF,Piast Gliwice,22,2000,29.3,5,0,0,,,,,,,,,0,Matches
Elias Andersson,se SWE,DF,Lech Poznań,27,1996,17.6,5,0,0,,,,,,,,,0,Matches
Dawid Arndt,pl POL,GK,Łódzki KS,21,2001,7.0,2,0,0,,,,,,,,,0,Matches
Zoran Arsenić,hr CRO,DF,RKS Raków,29,1994,11.5,3,1,1,,,,,,,,,1,Matches
Jani Atanasov,mk MKD,MF,Cracovia,23,1999,22.4,7,0,0,,,,,,,,,0,Matches
Rafał Augustyniak,pl POL,"DF,MF",Legia Warsaw,29,1993,20.9,3,0,0,,,,,,,,,1,Matches
Daniel Bak,pl POL,FW,Korona Kielce,17,2005,0.2,0,0,0,,,,,,,,,0,Matches
Mateusz Bąkowicz,pl POL,DF,Łódzki KS,22,2001,0.2,0,0,0,,,,,,,,,0,Matches
Krzysztof Bąkowski,pl POL,GK,Radomiak Radom,20,2003,1.0,0,0,0,,,,,,,,,0,Matches
Makana Baku,de GER,MF,Legia Warsaw,25,1998,5.5,0,0,0,,,,,,,,,0,Matches
Husein Balic,at AUT,"MF,FW",Łódzki KS,27,1996,11.8,2,0,0,,,,,,,,,0,Matches
Paweł Baranowski,pl POL,DF,Ruch Chorzów,32,1990,3.9,1,0,0,,,,,,,,,0,Matches
Bartłomiej Barański,pl POL,FW,Ruch Chorzów,16,2006,3.5,1,0,0,,,,,,,,,0,Matches
Péter Baráth,hu HUN,MF,RKS Raków,21,2002,2.7,2,0,0,,,,,,,,,0,Matches
Norbert Barczak,pl POL,DF,Górnik Zabrze,17,2005,2.6,2,1,1,,,,,,,,,0,Matches
Jakub Bartkowski,pl POL,"DF,MF",Warta Poznań,31,1991,28.6,5,0,0,,,,,,,,,1,Matches
Mateusz Bartolewski,pl POL,"DF,MF",Ruch Chorzów,25,1998,18.4,4,0,0,,,,,,,,,1,Matches
Jakub Bartosz,pl POL,"MF,DF",Puszcza Niepołomice,26,1996,12.2,4,0,0,,,,,,,,,0,Matches
Gil Bastião Dias,pt POR,MF,Legia Warsaw,26,1996,5.3,1,0,0,,,,,,,,,0,Matches
Filip Bednarek,pl POL,GK,Lech Poznań,30,1992,3.0,1,0,0,,,,,,,,,0,Matches
Łukasz Bejger,pl POL,DF,Śląsk Wrocław,21,2002,29.2,5,0,0,,,,,,,,,1,Matches

Gustav Berggren,se SWE,MF,RKS Raków,25,1997,20.5,7,0,0,,,,,,,,,0,Matches
