Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Mio Backhaus,de GER,GK,Volendam,19,2004,33,32,"2,881",32.0,79,2.47,253,174,69.2,4,7,21,2,6.3,1,1,0,0,0.0,Matches
Nordin Bakker,nl NED,GK,Almere City,25,1997,29,29,"2,596",28.8,53,1.84,163,110,69.3,7,9,13,9,31.0,4,3,1,0,25.0,Matches
Vasilios Barkas,gr GRE,GK,Utrecht,29,1994,29,29,"2,610",29.0,42,1.45,146,104,74.0,10,11,8,5,17.2,5,4,1,0,20.0,Matches
Walter Benítez,ar ARG,GK,PSV Eindhoven,30,1993,33,33,"2,964",32.9,20,0.61,72,54,76.4,29,3,1,18,54.5,3,3,0,0,0.0,Matches
Justin Bijlow,nl NED,GK,Feyenoord,25,1998,17,17,"1,462",16.2,14,0.86,41,27,65.9,12,3,2,6,35.3,0,0,0,0,,Matches
Mattijs Branderhorst,nl NED,GK,Utrecht,29,1993,5,5,450,5.0,5,1.00,16,11,75.0,3,0,2,3,60.0,1,1,0,0,0.0,Matches
Michael Brouwer,nl NED,GK,Heracles Almelo,30,1993,34,34,"3,060",34.0,74,2.18,226,153,69.5,9,6,19,4,11.8,5,5,0,0,0.0,Matches
Jasper Cillessen,nl NED,GK,NEC Nijmegen,34,1989,30,30,"2,640",29.3,46,1.57,145,98,71.7,13,9,8,5,16.7,6,5,1,0,16.7,Matches
Jeffrey De Lange,nl NED,GK,Go Ahead Eag,25,1998,34,34,"3,060",34.0,46,1.35,180,135,75.6,12,10,12,11,32.4,2,2,0,0,0.0,Matches
Mickey van der Hart,nl NED,GK,Heerenveen,29,1994,12,12,"1,080",12.0,27,2.25,60,34,56.7,4,3,5,3,25.0,1,1,0,0,0.0,Matches
Joel Drommel,nl NED,GK,PSV Eindhoven,26,1996,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
Stijn van Gassel,nl NED,GK,Excelsior,26,1996,34,34,"3,060",34.0,73,2.15,204,132,65.2,6,11,17,6,17.6,2,2,0,0,0.0,Matches
Jay Gorter,nl NED,GK,Ajax,23,2000,8,7,665,7.4,17,2.30,35,18,51.4,1,2,4,1,14.3,1,0,0,1,,Matches
Mike Hauptmeijer,nl NED,GK,Zwolle,26,1997,2,2,180,2.0,3,1.50,11,8,81.8,0,1,1,0,0.0,1,1,0,0,0.0,Matches
Tom Hendriks,nl NED,GK,Fortuna Sittard,21,2002,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
Jeroen Houwen,nl NED,GK,RKC Waalwijk,27,1996,4,3,322,3.6,5,1.40,19,14,78.9,1,0,2,0,0.0,1,1,0,0,0.0,Matches
Luuk Koopmans,nl NED,GK,Fortuna Sittard,29,1993,5,5,450,5.0,6,1.20,19,13,68.4,0,3,2,2,40.0,0,0,0,0,,Matches
