Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Patrick van Aanholt,nl NED,DF,PSV Eindhoven,32,1990,12.4,0,0,0,6,5,2,28,15,17,0,0,0,95,3,5,37.5,Matches
Paxten Aaronson,us USA,MF,Vitesse,19,2003,13.9,4,0,0,16,14,0,30,9,25,0,0,0,51,11,23,32.4,Matches
Jayden Addai,nl NED,FW,AZ Alkmaar,17,2005,3.3,1,0,0,5,8,0,6,0,7,0,0,0,15,2,2,50.0,Matches
Bobby Adekanye,nl NED,FW,Go Ahead Eag,24,1999,20.0,4,1,0,21,40,4,46,4,11,0,0,0,91,8,20,28.6,Matches
Shawn Adewoye,be BEL,DF,RKC Waalwijk,23,2000,26.0,1,1,0,17,4,0,1,32,24,0,1,0,127,71,39,64.5,Matches
Nikolas Agrafiotis,nl NED,FW,Excelsior,23,2000,8.4,0,0,0,13,6,1,3,1,7,0,0,0,25,39,35,52.7,Matches
Chuba Akpom,eng ENG,"FW,MF",Ajax,27,1995,11.7,0,0,0,11,29,5,5,3,8,0,0,0,35,42,44,48.8,Matches
Hamdi Akujobi,nl NED,"DF,FW",Almere City,23,2000,17.3,4,0,0,27,16,2,43,16,29,0,0,1,89,17,20,45.9,Matches
Hussein Ali,iq IRQ,"DF,FW",Heerenveen,21,2002,7.8,0,0,0,6,2,1,20,12,7,0,1,0,32,8,8,50.0,Matches
Jordi Altena,nl NED,MF,Vitesse,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Jaydon Amauri Banel,nl NED,"FW,MF",Ajax,18,2004,1.0,0,0,0,2,4,0,2,0,2,0,0,0,4,1,0,100.0,Matches
Pelle van Amersfoort,nl NED,FW,Heerenveen,27,1996,23.7,3,0,0,32,26,9,10,7,6,0,0,0,39,98,96,50.5,Matches
Jamal Amofa,nl NED,DF,Go Ahead Eag,24,1998,18.5,7,1,1,16,15,0,1,17,19,0,0,0,82,21,18,53.8,Matches
Silas Andersen,dk DEN,FW,Utrecht,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Augustin Anello,be BEL,"FW,MF",Sparta R'dam,21,2002,2.5,0,0,0,2,3,1,16,0,3,0,0,0,14,0,2,0.0,Matches
Joey Antonioli,nl NED,MF,Volendam,19,2003,1.1,0,0,0,6,0,0,0,0,1,0,0,0,4,0,4,0.0,Matches
Carlens Arcus,ht HAI,DF,Vitesse,27,1996,24.2,4,0,0,31,18,1,68,47,39,0,2,0,165,27,20,57.4,Matches
D'Leanu Arts,nl NED,DF,NEC Nijmegen,20,2003,0.3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Gastón Ávila,ar ARG,DF,Ajax,21,2001,3.9,1,0,0,6,11,0,5,3,10,0,0,0,25,5,4,55.6,Matches
