Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Antonio Adán,es ESP,GK,Sporting CP,36,1987,22,22,"1,980",22.0,22,1.00,55,33,67.3,18,2,2,9,40.9,4,4,0,0,0.0,Matches
Andrew,br BRA,GK,Gil Vicente FC,22,2001,32,32,"2,880",32.0,46,1.44,143,97,71.3,9,8,15,9,28.1,7,5,2,0,28.6,Matches
Ricardo Batista,pt POR,GK,Casa Pia,36,1986,31,31,"2,785",30.9,45,1.45,145,100,69.7,9,8,14,10,32.3,1,1,0,0,0.0,Matches
Bruno Brigido,br BRA,GK,Estrela,32,1991,26,26,"2,340",26.0,43,1.65,119,77,65.5,4,10,12,4,15.4,3,2,0,1,0.0,Matches
Fabijan Buntić,hr CRO,GK,Vizela,26,1997,28,27,"2,496",27.7,60,2.16,137,78,59.9,3,10,14,6,22.2,6,5,0,1,0.0,Matches
Cambila,ao ANG,GK,Estrela,21,2002,1,0,17,0.2,3,15.88,6,2,50.0,0,0,0,0,,1,0,1,0,100.0,Matches
Marcelo Carné,br BRA,GK,Estoril,33,1990,22,22,"1,979",22.0,28,1.27,105,78,74.3,7,5,10,8,36.4,2,1,1,0,50.0,Matches
António Filipe de Carvalho,pt POR,GK,Estrela,38,1985,3,3,270,3.0,3,1.00,10,7,70.0,2,0,1,2,66.7,0,0,0,0,,Matches
Miguel Carvalho,pt POR,GK,Farense,27,1996,2,2,180,2.0,5,2.50,11,6,54.5,0,0,2,0,0.0,0,0,0,0,,Matches
Charles,br BRA,GK,Vitória,29,1994,8,7,675,7.5,7,0.93,27,20,77.8,4,2,1,3,42.9,1,1,0,0,0.0,Matches
Diogo Costa,pt POR,GK,Porto,23,1999,33,33,"2,944",32.7,25,0.76,77,53,72.7,21,6,6,13,39.4,6,4,1,1,20.0,Matches
Ignacio De Arruabarrena,uy URU,GK,Arouca,26,1997,31,31,"2,790",31.0,45,1.45,142,96,73.2,13,5,13,4,12.9,9,7,1,1,12.5,Matches
Vinicius Dias,br BRA,GK,Gil Vicente FC,26,1997,2,2,180,2.0,6,3.00,11,5,45.5,0,1,1,0,0.0,0,0,0,0,,Matches
Dida,br BRA,GK,Estrela,25,1998,5,5,427,4.7,4,0.84,13,9,69.2,1,2,2,1,20.0,0,0,0,0,,Matches
Daniel Figueira,pt POR,GK,Estoril,25,1998,12,12,"1,080",12.0,29,2.42,61,33,54.1,2,1,9,2,16.7,1,1,0,0,0.0,Matches
João Gonçalves,pt POR,GK,Boavista,22,2000,34,34,"3,060",34.0,62,1.82,172,111,66.3,7,11,16,3,8.8,6,4,0,2,0.0,Matches
Franco Israel,uy URU,GK,Sporting CP,23,2000,10,10,900,10.0,7,0.70,23,16,69.6,9,1,0,5,50.0,0,0,0,0,,Matches
