Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Alexandros Anagnostopoulos,gr GRE,GK,AO Kifisia,28,1994,23,23,"2,070",23.0,,,,,,4,8,11,2,8.7,3,1,2,0,66.7,Matches
Giorgos Athanasiadis,gr GRE,GK,AEK Athens,30,1993,13,13,"1,170",13.0,,,,,,6,5,2,5,38.5,1,1,0,0,0.0,Matches
Vasilis Athanasiou,gr GRE,GK,PAS Giannina,24,1999,5,5,450,5.0,,,,,,1,1,3,0,0.0,4,2,2,0,50.0,Matches
Noam Baumann,do DOM,GK,OFI Crete,27,1996,21,21,"1,845",20.5,,,,,,3,9,9,3,14.3,6,4,2,0,33.3,Matches
Alberto Brignoli,it ITA,GK,Panathinaikos,31,1991,10,10,900,10.0,,,,,,6,1,3,5,50.0,0,0,0,0,,Matches
Vasilis Chatziemmanouil,gr GRE,GK,PAS Lamia,23,1999,2,2,180,2.0,,,,,,0,0,2,0,0.0,0,0,0,0,,Matches
Lucas Chávez,ar ARG,GK,Panetolikos,27,1995,11,10,915,10.2,,,,,,5,2,3,3,30.0,2,1,0,1,0.0,Matches
Lefteris Choutesiotis,gr GRE,GK,Aris,29,1994,7,7,630,7.0,,,,,,3,0,4,1,14.3,1,1,0,0,0.0,Matches
Adrián Chovan,sk SVK,GK,Panserraikos,27,1995,28,28,"2,520",28.0,,,,,,7,9,12,4,14.3,6,5,1,0,16.7,Matches
Nikolaos Christogeorgos,gr GRE,GK,OFI Crete,23,2000,7,7,630,7.0,,,,,,3,3,1,1,14.3,0,0,0,0,,Matches
Julián Cuesta,es ESP,GK,Aris,32,1991,29,29,"2,610",29.0,,,,,,13,7,9,11,37.9,6,4,2,0,33.3,Matches
Bartłomiej Drągowski,pl POL,GK,Panathinaikos,25,1997,12,12,996,11.1,,,,,,6,2,4,2,16.7,2,2,0,0,0.0,Matches
Nikolaos Grammatikakis,gr GRE,GK,Asteras Tripoli,20,2003,8,7,708,7.9,,,,,,2,1,4,2,28.6,2,1,0,1,0.0,Matches
Theofilos Kakadiaris,gr GRE,GK,Asteras Tripoli,16,2007,1,0,1,0.0,,,,,,0,0,0,0,,0,0,0,0,,Matches
Stefanos Kapino,gr GRE,GK,Panetolikos,29,1994,20,20,"1,800",20.0,,,,,,3,5,12,4,20.0,3,3,0,0,0.0,Matches
Panagiotis Katsikas,gr GRE,GK,Panserraikos,24,1999,3,3,270,3.0,,,,,,1,2,0,0,0.0,2,1,1,0,50.0,Matches
Boris Klaiman,il ISR,GK,PAS Giannina,32,1990,19,19,"1,710",19.0,,,,,,2,6,11,3,15.8,2,1,0,1,0.0,Matches
Alexei Koșelev,md MDA,GK,PAS Lamia,29,1993,33,33,"2,970",33.0,,,,,,9,7,17,4,12.1,10,6,2,2,25.0,Matches
