Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Leroy Abanda,fr FRA,"DF,MF",OFI Crete,23,2000,15.4,7,0,0,,,,,,,,,0,Matches
Nelson Abbey,eng ENG,DF,Olympiacos,19,2003,3.4,2,0,0,,,,,,,,,0,Matches
Lucas Acevedo,ar ARG,DF,Atromitos,31,1991,20.2,5,1,0,,,,,,,,,1,Matches
Matías Acuña,uy URU,FW,PAS Lamia,30,1992,5.9,5,0,0,,,,,,,,,0,Matches
Lumor Agbenyenu,gh GHA,"DF,MF",AO Kifisia,26,1996,7.9,0,0,0,,,,,,,,,0,Matches
Samet Akaydın,tr TUR,DF,Panathinaikos,29,1994,9.8,4,0,0,,,,,,,,,0,Matches
Oluwatobiloba Alagbe,ng NGA,MF,Asteras Tripoli,23,2000,16.4,8,1,1,,,,,,,,,0,Matches
Kosta Aleksic,rs SRB,FW,Panserraikos,25,1998,24.1,7,0,0,,,,,,,,,0,Matches
Sotiris Alexandropoulos,gr GRE,MF,Olympiacos,21,2001,8.3,4,0,0,,,,,,,,,0,Matches
Nikolai Alho,fi FIN,"DF,MF",Volos NFC,30,1993,23.2,3,1,0,,,,,,,,,0,Matches
Federico Álvarez,ar ARG,DF,Asteras Tripoli,28,1994,18.4,6,0,0,,,,,,,,,0,Matches
Pedro Amaral,pt POR,"DF,MF",PAS Lamia,25,1997,13.2,3,1,0,,,,,,,,,0,Matches
Nordin Amrabat,ma MAR,MF,AEK Athens,36,1987,13.6,2,0,0,,,,,,,,,0,Matches
Alexandros Anagnostopoulos,gr GRE,GK,AO Kifisia,28,1994,23.0,2,0,0,,,,,,,,,0,Matches
Nicolás Andereggen,ar ARG,"MF,FW",AO Kifisia,23,1999,7.0,2,0,0,,,,,,,,,0,Matches
Konstantinos Angelakis,gr GRE,FW,Asteras Tripoli,15,2007,0.4,0,0,0,,,,,,,,,0,Matches
Karol Angielski,pl POL,FW,Atromitos,27,1996,16.0,2,0,0,,,,,,,,,0,Matches
Karim Ansarifard,ir IRN,"MF,FW",Aris,33,1990,4.1,4,0,0,,,,,,,,,0,Matches
Marcos Antônio,br BRA,MF,PAOK,23,2000,3.8,0,0,0,,,,,,,,,0,Matches
Fabien Antunes,fr FRA,MF,AO Kifisia,31,1991,2.0,0,0,0,,,,,,,,,0,Matches
Giannis Apostolakis,gr GRE,MF,OFI Crete,18,2004,6.0,1,0,0,,,,,,,,,0,Matches
Apostolos Apostolopoulos,gr GRE,DF,Olympiacos,20,2002,1.0,0,0,0,,,,,,,,,0,Matches
Youssef El-Arabi,ma MAR,FW,Olympiacos,36,1987,3.0,1,0,0,,,,,,,,,0,Matches
Willian Arão,br BRA,"DF,MF",Panathinaikos,30,1992,27.2,6,1,1,,,,,,,,,1,Matches
Sergio Araujo,ar ARG,"FW,MF",AEK Athens,31,1992,9.4,3,0,0,,,,,,,,,0,Matches

Kyriakos Aslanidis,gr GRE,DF,Volos NFC,21,2002,10.1,5,1,1,,,,,,,,,0,Matches
