Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Gökhan Akkan,tr TUR,GK,Rizespor,28,1995,31,31,"2,729",30.3,41,1.35,144,111,76.4,13,7,11,11,35.5,8,7,1,0,12.5,Matches
Yılmaz Aktaş,de GER,GK,Adana Demirspor,20,2003,1,1,90,1.0,6,6.00,6,1,16.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Furkan Akyüz,,GK,Fenerbahçe,17,2005,1,0,2,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
Alp Arda,,GK,İstanbulspor,28,1995,20,20,"1,782",19.8,39,1.97,105,73,67.6,2,5,13,3,15.0,7,5,2,0,28.6,Matches
Volkan Babacan,tr TUR,GK,Başakşehir,34,1988,23,23,"2,070",23.0,28,1.22,85,59,69.4,9,6,8,8,34.8,4,2,2,0,50.0,Matches
Bilal Bayazit,nl NED,GK,Kayserispor,24,1999,35,35,"3,150",35.0,51,1.46,179,135,75.4,11,11,13,8,22.9,8,7,1,0,12.5,Matches
Altay Bayındır,tr TUR,GK,Fenerbahçe,25,1998,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,,Matches
Visar Bekaj,xk KVX,GK,Hatayspor,26,1997,4,3,312,3.5,7,2.02,15,10,66.7,0,1,2,1,33.3,2,2,0,0,0.0,Matches
Paul Bernardoni,fr FRA,GK,Konyaspor,26,1997,17,17,"1,530",17.0,22,1.29,43,27,60.5,4,6,7,4,23.5,6,5,1,0,16.7,Matches
Emre Bilgin,tr TUR,GK,Fatih Karagümrük,19,2004,10,10,900,10.0,11,1.10,41,30,75.6,4,2,4,3,30.0,1,1,0,0,0.0,Matches
Uğurcan Çakır,tr TUR,GK,Trabzonspor,27,1996,35,35,"3,150",35.0,45,1.29,133,93,69.9,19,3,13,10,28.6,5,5,0,0,0.0,Matches
İrfan Can Eğribayat,tr TUR,GK,Fenerbahçe,25,1998,3,3,270,3.0,2,0.67,9,7,77.8,3,0,0,2,66.7,0,0,0,0,,Matches
Erdem Canpolat,de GER,GK,Pendikspor,22,2001,34,34,"3,060",34.0,60,1.76,153,98,63.4,9,9,16,4,11.8,5,4,1,0,20.0,Matches
Tarık Çetin,tr TUR,GK,Rizespor,26,1997,9,7,691,7.7,17,2.21,40,26,60.0,1,1,5,1,14.3,3,1,2,0,66.7,Matches
Mehmet Dadakdeniz,tr TUR,GK,Antalyaspor,23,1999,4,4,360,4.0,4,1.00,10,6,60.0,1,2,1,1,25.0,0,0,0,0,,Matches
Ersin Destanoğlu,tr TUR,GK,Beşiktaş,22,2001,11,8,877,9.7,12,1.23,42,31,73.8,4,1,3,3,37.5,1,1,0,0,0.0,Matches
Deniz Dilmen,,GK,Başakşehir,18,2005,1,1,90,1.0,2,2.00,5,4,80.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches
