Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Rayane Aabid,fr FRA,MF,Hatayspor,31,1992,11,1,211,2.3,1,0,1,1,0,0,1,0,0.43,0.00,0.43,0.43,0.43,Matches
Mehdi Abeid,dz ALG,"MF,FW",Başakşehir,30,1992,18,9,802,8.9,3,1,4,3,0,0,3,0,0.34,0.11,0.45,0.34,0.45,Matches
Pape Abou Cissé,sn SEN,DF,Adana Demirspor,27,1995,13,9,723,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Vincent Aboubakar,cm CMR,FW,Beşiktaş,31,1992,22,10,"1,075",11.9,5,1,6,4,1,2,2,0,0.42,0.08,0.50,0.33,0.42,Matches
Giorgi Aburjania,ge GEO,MF,Hatayspor,28,1995,20,15,"1,248",13.9,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
Yaw Ackah,gh GHA,MF,Kayserispor,24,1999,19,9,835,9.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Bryan Acosta,hn HON,MF,Gaziantep FK,29,1993,1,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Youssef Aït Bennasser,ma MAR,MF,Samsunspor,27,1996,28,23,"1,902",21.1,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches
Albian Ajeti,ch SUI,FW,Gaziantep FK,26,1997,4,0,59,0.7,1,0,1,1,0,0,0,0,1.53,0.00,1.53,1.53,1.53,Matches
Abat Ajymbetow,kz KAZ,FW,Adana Demirspor,27,1995,9,2,270,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
Samet Akaydın,tr TUR,DF,Fenerbahçe,29,1994,10,6,570,6.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Emre Akbaba,tr TUR,"MF,FW",Adana Demirspor,30,1992,32,31,"2,674",29.7,7,2,9,6,1,1,5,0,0.24,0.07,0.30,0.20,0.27,Matches
Halil Akbunar,tr TUR,"MF,FW",Pendikspor,29,1993,37,35,"2,788",31.0,5,3,8,5,0,0,3,1,0.16,0.10,0.26,0.16,0.26,Matches
Murat Akça,tr TUR,DF,Pendikspor,33,1990,15,7,692,7.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Yusuf Akçiçek,tr TUR,DF,Fenerbahçe,17,2006,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
İbrahim Akdağ,tr TUR,MF,Pendikspor,32,1991,14,11,934,10.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
İbrahim Akdağ,tr TUR,"MF,DF",Sivasspor,32,1991,11,9,721,8.0,0,1,1,0,0,0,2,1,0.00,0.12,0.12,0.00,0.12,Matches
