Club Name,Country,20/21,21/22,22/23,23/24,24/25,Overall
Manchester City,England,35.000,27.000,33.000,28.000,7.000,130.000
Real Madrid,Spain,26.000,30.000,29.000,34.000,8.000,127.000
Bayern Munich,Germany,27.000,26.000,27.000,28.000,8.000,116.000
Liverpool FC,England,24.000,33.000,19.000,20.000,8.000,104.000
AS Roma,Italy,24.000,23.000,22.000,21.000,3.000,93.000
Paris Saint-Germain,France,24.000,19.000,19.000,23.000,8.000,93.000
Borussia Dortmund,Germany,22.000,10.000,18.000,29.000,8.000,87.000
Inter Milan,Italy,9.000,18.000,29.000,20.000,7.000,83.000
Villarreal CF,Spain,30.000,24.000,12.000,16.000,-,82.000
Chelsea FC,England,33.000,25.000,21.000,-,2.500,81.500
Bayer 04 Leverkusen,Germany,10.000,14.000,19.000,29.000,8.000,80.000
SL Benfica,Portugal,10.000,20.000,25.000,14.000,8.000,77.000
RB Leipzig,Germany,17.000,17.000,18.000,18.000,6.000,76.000
Atlético de Madrid,Spain,16.000,19.000,8.000,24.000,8.000,75.000
FC Porto,Portugal,23.000,10.000,18.000,19.000,3.000,73.000
Manchester United,England,26.000,18.000,19.000,7.000,3.000,73.000
FC Barcelona,Spain,20.000,15.000,9.000,23.000,6.000,73.000
West Ham United,England,-,21.000,29.000,19.000,-,69.000
Arsenal FC,England,23.000,-,17.000,22.000,7.000,69.000
Atalanta BC,Italy,17.000,16.000,-,28.000,7.000,68.000
Juventus FC,Italy,21.000,20.000,17.000,-,8.000,66.000
AC Milan,Italy,12.000,7.000,24.000,16.000,6.000,65.000
Club Brugge KV,Belgium,11.000,7.000,17.000,21.000,6.000,62.000
SSC Napoli,Italy,10.000,9.000,25.000,17.000,-,61.000
Feyenoord Rotterdam,Netherlands,4.000,24.000,17.000,8.000,6.000,59.000
Sevilla FC,Spain,19.000,12.000,21.000,6.000,-,58.000
Ajax Amsterdam,Netherlands,19.000,22.000,8.000,5.000,3.000,57.000
Rangers FC,Scotland,15.000,19.000,4.000,14.000,3.000,55.000
Eintracht Frankfurt,Germany,-,28.000,16.000,7.000,3.000,54.000
Real Sociedad,Spain,8.000,9.000,16.000,18.000,3.000,54.000
PSV Eindhoven,Netherlands,10.000,10.000,11.000,17.000,6.000,54.000
SS Lazio,Italy,17.000,9.000,6.000,18.000,3.000,53.000
Sporting CP,Portugal,2.500,16.000,14.000,12.000,8.000,52.500
SK Slavia Prague,Czech Republic,16.000,10.000,6.000,15.000,3.000,50.000
Olympique Marseille,France,6.000,16.000,8.000,18.000,-,48.000
GNK Dinamo Zagreb,Croatia,17.000,9.000,7.000,9.000,6.000,48.000
LOSC Lille,France,8.000,17.000,-,17.000,6.000,48.000
Shakhtar Donetsk,Ukraine,14.000,6.000,11.000,10.000,7.000,48.000
Red Bull Salzburg,Austria,7.000,17.000,9.000,7.000,6.000,46.000
AZ Alkmaar,Netherlands,6.000,13.000,19.000,4.000,3.000,45.000
ACF Fiorentina,Italy,-,,20.000,22.000,2.500,44.500
SC Braga,Portugal,9.000,16.000,7.000,7.000,3.000,42.000
Tottenham Hotspur,England,15.000,5.000,18.000,-,3.000,41.000
Olympiacos Piraeus,Greece,10.000,8.000,3.000,17.000,3.000,41.000
Stade Rennais FC,France,5.000,14.000,11.000,10.000,-,40.000
FC Copenhagen,Denmark,2.500,13.000,7.000,15.000,2.500,40.000
Red Star Belgrade,Serbia,10.000,15.000,4.000,5.000,6.000,40.000
Fenerbahce,Türkiye,-,5.000,17.000,14.000,3.000,39.000
KAA Gent,Belgium,3.000,11.000,11.000,10.000,2.500,37.500
PAOK Thessaloniki,Greece,5.000,13.000,1.500,15.000,3.000,37.500
Maccabi Tel Aviv,Israel,8.000,9.000,2.500,14.000,3.000,36.500
Real Betis Balompié,Spain,-,11.000,16.000,6.000,2.500,35.500
BSC Young Boys,Switzerland,11.000,8.000,2.500,7.000,6.000,34.500
Slovan Bratislava,Slovakia,1.500,6.000,12.000,8.000,6.000,33.500
FC Basel 1893,Switzerland,2.500,12.000,17.000,1.500,-,33.000
AS Monaco,Monaco,-,15.000,9.000,-,8.000,32.000
Ferencvárosi TC,Hungary,5.000,3.000,12.000,9.000,3.000,32.000
Qarabağ FK,Azerbaijan,3.000,9.000,6.000,11.000,3.000,32.000
FK Bodø/Glimt,Norway,2.000,15.000,3.000,8.000,3.000,31.000
Celtic FC,Scotland,3.000,6.000,6.000,7.000,8.000,30.000
FC Viktoria Plzen,Czech Republic,2.500,2.500,4.000,17.000,3.000,29.000
AC Sparta Prague,Czech Republic,4.000,5.000,1.500,10.000,8.000,28.500
Molde FK,Norway,12.000,2.000,5.000,7.000,2.500,28.500
Galatasaray,Türkiye,2.500,15.000,-,8.000,3.000,28.500
Union Saint-Gilloise,Belgium,,,19.000,6.000,3.000,28.000
SC Freiburg,Germany,-,-,15.000,13.000,-,28.000
LASK,Austria,7.000,15.000,-,3.000,2.500,27.500
FC Midtjylland,Denmark,6.000,7.000,8.000,2.500,3.000,26.500
Aston Villa,England,,,,17.000,8.000,25.000
Olympique Lyon,France,-,21.000,-,-,3.000,24.000
Dynamo Kyiv,Ukraine,10.000,5.000,3.000,2.500,3.000,23.500
1.FC Union Berlin,Germany,,5.000,12.000,6.000,-,23.000
Leicester City,England,10.000,13.000,-,-,-,23.000
Ludogorets Razgrad,Bulgaria,3.000,3.000,5.000,9.000,3.000,23.000
FK Partizan Belgrade,Serbia,2.000,7.000,8.000,2.500,2.500,22.000
Royal Antwerp FC,Belgium,8.000,4.000,2.500,6.000,-,20.500
Basaksehir FK,Türkiye,6.000,-,12.000,-,2.500,20.500
OGC Nice,France,3.000,-,14.000,-,3.000,20.000
FC Sheriff Tiraspol,Moldova,2.000,9.000,4.000,3.000,2.000,20.000
Lech Poznan,Poland,3.000,-,14.000,2.000,-,19.000
CFR Cluj,Romania,4.000,3.000,8.000,1.500,2.500,19.000
Djurgårdens IF,Sweden,2.000,-,13.000,1.500,2.500,19.000
Legia Warszawa,Poland,2.500,4.000,-,9.000,2.500,18.000
SK Sturm Graz,Austria,-,3.000,6.000,3.000,6.000,18.000
Maccabi Haifa,Israel,2.500,3.000,6.000,4.000,1.500,17.000
Sivasspor,Türkiye,4.000,2.500,10.000,-,-,16.500
Hapoel Beer Sheva,Israel,4.000,2.500,6.000,2.000,2.000,16.500
Rapid Vienna,Austria,5.000,4.000,2.500,2.500,2.500,16.500
Zorya Lugansk,Ukraine,4.000,5.000,2.000,5.000,-,16.000
RSC Anderlecht,Belgium,-,2.500,10.000,-,3.000,15.500
Borussia Mönchengladbach,Germany,15.000,-,-,-,-,15.000
TSG 1899 Hoffenheim,Germany,12.000,-,-,-,3.000,15.000
Omonia Nicosia,Cyprus,3.000,4.000,3.000,2.000,2.500,14.500
Brighton & Hove Albion,England,,,,14.000,-,14.000
Malmö FF,Sweden,2.500,5.000,3.000,-,3.000,13.500
Zenit St. Petersburg,Russia,5.000,8.000,-,-,-,13.000
Granada CF,Spain,13.000,-,-,-,-,13.000
RC Lens,France,,,,10.000,2.500,12.500
SC Dnipro-1,Ukraine,,,8.000,2.500,1.500,12.000
Spartak Moscow,Russia,-,12.000,-,-,-,12.000
FK Zalgiris Vilnius,Lithuania,1.500,2.500,4.000,2.500,1.500,12.000
Besiktas JK,Türkiye,2.000,4.000,-,3.000,3.000,12.000
HNK Rijeka,Croatia,3.000,2.500,1.500,2.500,2.500,12.000
HJK Helsinki,Finland,-,4.000,3.000,2.500,2.500,12.000
NK Olimpija Ljubljana,Slovenia,1.500,2.000,1.500,4.000,2.500,11.500
FC Flora Tallinn,Estonia,2.500,4.000,1.000,2.000,2.000,11.500
KRC Genk,Belgium,-,4.000,-,7.000,-,11.000
