Competition Name,Gender,Country,Champion,Top Scorer
Isuzu UTE A-League,M,AUS,Western United FC,Jamie Maclaren - 15
Admiral Bundesliga,M,AUT,FC Red Bull Salzburg,Karim Adeyemi - 19
Jupiler Pro League,M,BEL,Club Brugge KV,Deniz Undav - 25
efbet League,M,BUL,PFC Ludogorets Razgrad,Pieros Sotiriou - 17
Hrvatski telekom Prva liga,M,CRO,GNK Dinamo Zagreb,Marko Livaja - 28
Fortuna:Liga,M,CZE,FC Viktoria Plzeň,Jean-David Beauguel - 19
3F Superliga,M,DEN,FC Copenhagen,Nicklas Helenius - 17
Premier League,M,ENG,Manchester City FC,"Son Heung-min, Mohamed Salah - 23"
LaLiga Santander,M,ESP,Real Madrid CF,Karim Benzema - 27
Ligue 1 Uber Eats,M,FRA,Paris Saint-Germain FC,Kylian Mbappé - 28
Fußball-Bundesliga,M,GER,FC Bayern Munich,Robert Lewandowski - 35
Super League Interwetten,M,GRE,Olympiacos FC,Tom van Weert - 17
OTP Bank Liga,M,HUN,Ferencvárosi TC,Ádám Martin - 31
Hero Indian Super League,M,IND,Hyderabad FC,Bartholomew Ogbeche - 17
Persian Gulf Pro League,M,IRN,Esteghlal Tehran FC,Godwin Mensha - 14
Serie A TIM,M,ITA,AC Milan,Ciro Immobile - 27
Saudi Professional League,M,KSA,Al-Hilal Saudi FC,Odion Ighalo - 24
Liga BBVA MX,M,MEX,"Atlas (T), Atlas (T)",Germán Berterame - 16
Eredivisie,M,NED,AFC Ajax,Sébastien Haller - 21
PKO Bank Polski Ekstraklasa,M,POL,KKS Lech Poznań,Ivi - 20
Liga Portugal Bwin,M,POR,FC Porto,Darwin Núñez - 26
Casa Liga 1,M,ROU,CFR Cluj,Florin Tănase - 20
DStv Premiership,M,RSA,Mamelodi Sundowns FC,Peter Shalulile - 23
Tinkoff Russian Premier League,M,RUS,FC Zenit Saint Petersburg,Gamid Agalarov - 19
cinch Premiership,M,SCO,Celtic FC,"Regan Charles-Cook, Giorgos Giakoumakis - 13"
Linglong Tire SuperLiga,M,SRB,Red Star Belgrade,Ricardo Jorge Pires Gomes - 29
Credit Suisse Super League,M,SUI,FC Zürich,Jordan Pefok - 22
Spor Toto Süper Lig,M,TUR,Trabzonspor,Umut Bozok - 20
VBet Liha,M,UKR,,Artem Dovbyk - 14
