Competition Name,Gender,Country,Champion,Top Scorer
EFL Cup,M,ENG,Manchester United FC,Marcus Rashford - 6
FA Community Shield,M,ENG,Liverpool FC,"Trent Alexander-Arnold, Darwin Núñez... - 1"
The Emirates FA Cup,M,ENG,Manchester City FC,Paul Mullin - 8
Copa del Rey,M,ESP,Real Madrid CF,Kiké - 5
Supercopa de España,M,ESP,,"Robert Lewandowski, Karim Benzema - 2"
Coupe de France,M,FRA,Toulouse FC,Thijs Dallinga - 6
Trophée des Champions,M,FRA,Paris Saint-Germain FC,Neymar - 2
DFB-Pokal,M,GER,RB Leipzig,Randal Kolo Muani - 6
DFL-Supercup,M,GER,FC Bayern Munich,"Benjamin Pavard, Serge Gnabry... - 1"
Coppa Italia Frecciarossa,M,ITA,Internazionale,Walid Cheddira - 5
EA Sports Supercup,M,ITA,,"Edin Džeko, Lautaro Martínez... - 1"
