Player,Age,Date,Record MV
Trent Alexander-Arnold,21,10.12.2019,€110.00m
N/A,N/A,N/A,N/A
Virgil van Dijk,28,12.09.2019,€100.00m
William Saliba,22,14.03.2024,€80.00m
Josko Gvardiol,21,09.10.2023,€80.00m
Alphonso Davies,19,16.09.2020,€80.00m
Rúben Dias,26,20.06.2023,€80.00m
Andrew Robertson,25,10.12.2019,€80.00m
Raphaël Varane,25,15.07.2018,€80.00m
Gabriel Magalhães,26,01.10.2024,€75.00m
Matthijs de Ligt,19,12.06.2019,€75.00m
Marquinhos,27,04.06.2021,€75.00m
Aymeric Laporte,25,13.06.2019,€75.00m
Kalidou Koulibaly,27,06.06.2019,€75.00m
Ronald Araujo,24,23.03.2023,€70.00m
Reece James,22,03.11.2022,€70.00m
Éder Militão,25,23.03.2023,€70.00m
Achraf Hakimi,22,08.10.2021,€70.00m
Alessandro Bastoni,24,12.03.2024,€70.00m
Lucas Hernández,23,28.02.2019,€70.00m
José María Giménez,24,28.02.2019,€70.00m
João Cancelo,28,03.11.2022,€70.00m
Harry Maguire,26,12.09.2019,€70.00m
Samuel Umtiti,24,16.07.2018,€70.00m
Jordi Alba,29,31.10.2018,€70.00m
Marcelo,30,31.10.2018,€70.00m
Nuno Mendes,20,27.03.2023,€65.00m
N/A,N/A,N/A,N/A
Wesley Fofana,21,15.09.2022,€65.00m
Cristian Romero,25,19.12.2023,€65.00m
Milan Skriniar,26,28.12.2021,€65.00m
David Alaba,27,17.12.2019,€65.00m
Bremer,26,12.03.2024,€60.00m
Min-jae Kim,26,15.06.2023,€60.00m
Jules Koundé,22,19.03.2021,€60.00m
Dayot Upamecano,21,16.09.2020,€60.00m
Davinson Sánchez,23,10.12.2019,€60.00m
Theo Hernández,25,23.12.2022,€60.00m
John Stones,24,19.12.2018,€60.00m
Clément Lenglet,23,11.06.2019,€60.00m
Niklas Süle,23,05.06.2019,€60.00m
Daniel Carvajal,26,22.03.2018,€60.00m
Stefan de Vrij,27,12.12.2019,€60.00m
Mats Hummels,29,04.04.2018,€60.00m
Leny Yoro,18,01.10.2024,€55.00m
Levi Colwill,20,19.12.2023,€55.00m
Micky van de Ven,23,27.05.2024,€55.00m
Ben White,25,20.06.2023,€55.00m
Marc Cucurella,24,15.09.2022,€55.00m
Alejandro Balde,19,13.06.2023,€50.00m
Lisandro Martínez,24,15.09.2022,€50.00m
Renan Lodi,22,23.07.2020,€50.00m
Nahuel Molina,25,13.10.2023,€50.00m
N/A,N/A,N/A,N/A
Pau Torres,23,05.01.2021,€50.00m
Benjamin Pavard,27,12.03.2024,€50.00m
Diego Carlos,27,23.07.2020,€50.00m
