Player,Age,Date,Record MV
Jan Oblak,26,11.06.2019,€100.00m
N/A,N/A,N/A,N/A
Alisson,27,10.12.2019,€90.00m
Marc-André ter Stegen,27,11.06.2019,€90.00m
Thibaut Courtois,28,08.10.2020,€75.00m
Ederson,25,13.06.2019,€70.00m
David de Gea,27,28.05.2018,€70.00m
Gianluigi Donnarumma,22,15.07.2021,€65.00m
Kepa Arrizabalaga,24,13.06.2019,€60.00m
Giorgi Mamardashvili,23,18.07.2024,€45.00m
Diogo Costa,23,02.03.2023,€45.00m
André Onana,23,18.12.2019,€45.00m
Mike Maignan,27,15.06.2023,€45.00m
Manuel Neuer,28,04.02.2015,€45.00m
Aaron Ramsdale,25,20.06.2023,€40.00m
Gregor Kobel,26,14.12.2023,€40.00m
Alex Meret,22,12.12.2019,€40.00m
Jordan Pickford,24,19.12.2018,€40.00m
Wojciech Szczęsny,29,12.12.2019,€40.00m
Guglielmo Vicario,27,14.03.2024,€35.00m
David Raya,28,19.12.2023,€35.00m
Emiliano Martínez,28,16.07.2021,€35.00m
Bernd Leno,27,10.12.2019,€35.00m
Gianluigi Buffon,27,28.07.2005,€35.00m
Iker Casillas,29,27.08.2010,€35.00m
Edouard Mendy,29,23.12.2021,€32.00m
Robert Sánchez,24,03.11.2022,€32.00m
N/A,N/A,N/A,N/A
Unai Simón,23,23.07.2020,€30.00m
Hugo Lloris,31,16.07.2018,€30.00m
Petr Cech,26,23.02.2009,€28.50m
Anatoliy Trubin,22,27.12.2023,€25.00m
Lucas Chevalier,22,03.06.2024,€25.00m
Andriy Lunin,25,07.06.2024,€25.00m
Thomas Strakosha,24,12.12.2019,€25.00m
Álex Remiro,27,07.11.2022,€25.00m
Anthony Lopes,28,07.03.2019,€25.00m
Júlio César,30,27.01.2010,€25.00m
Pau López,24,12.12.2019,€24.00m
Joe Hart,25,28.01.2013,€24.00m
Samir Handanovič,28,19.06.2013,€24.00m
Bart Verbruggen,22,01.10.2024,€22.00m
Illan Meslier,22,03.11.2022,€22.00m
Dean Henderson,24,28.05.2021,€22.00m
Jack Butland,25,28.05.2018,€22.00m
Pepe Reina,27,13.08.2010,€22.00m
Salvatore Sirigu,27,01.08.2014,€21.50m
Filip Jørgensen,22,07.06.2024,€20.00m
Marcin Bulka,24,03.06.2024,€20.00m
Djordje Petrovic,24,27.05.2024,€20.00m
Alban Lafont,24,27.03.2023,€20.00m
Caoimhín Kelleher,25,27.05.2024,€20.00m
Matvey Safonov,25,04.06.2024,€20.00m
N/A,N/A,N/A,N/A
Juan Musso,26,25.08.2020,€20.00m
Sergio Rico,23,24.01.2017,€20.00m
Nick Pope,31,20.06.2023,€20.00m
Jasper Cillessen,29,12.07.2018,€20.00m
Keylor Navas,29,15.07.2016,€20.00m
Rui Patrício,25,28.03.2013,€20.00m
Igor Akinfeev,23,14.12.2009,€20.00m
Alessio Cragno,24,06.06.2019,€20.00m
Víctor Valdés,28,27.08.2010,€20.00m
Sébastien Frey,27,09.02.2008,€20.00m
Uğurcan Çakır,25,25.05.2021,€19.00m
Guillaume Restes,19,03.06.2024,€18.00m
Gavin Bazunu,21,16.03.2023,€18.00m
James Trafford,21,14.03.2024,€18.00m
Diant Ramaj,22,31.05.2024,€18.00m
Michele Di Gregorio,26,05.06.2024,€18.00m
José Sá,29,15.06.2022,€18.00m
David Soria,26,20.12.2019,€18.00m
Bono,29,19.03.2021,€18.00m
Fernando Pacheco,26,21.12.2018,€18.00m
Odysseas Vlachodimos,26,28.01.2021,€18.00m
Neto,29,21.12.2018,€18.00m
Mattia Perin,24,02.01.2017,€18.00m
Tomas Vaclik,29,21.12.2018,€18.00m
Fernando Muslera,28,11.08.2014,€18.00m
N/A,N/A,N/A,N/A
Alphonse Areola,26,07.03.2019,€17.50m
Pierluigi Gollini,25,25.08.2020,€17.00m
Benjamin Lecomte,28,03.06.2019,€17.00m
Steve Mandanda,27,23.05.2012,€17.00m
Marco Carnesecchi,23,05.06.2024,€16.00m
Altay Bayindir,23,12.10.2021,€16.00m
