Player,Age,Date,Record MV
Jude Bellingham,20,22.12.2023,€180.00m
N/A,N/A,N/A,N/A
Kevin De Bruyne,26,28.05.2018,€150.00m
Philippe Coutinho,26,31.10.2018,€150.00m
Florian Wirtz,21,29.05.2024,€130.00m
Jamal Musiala,21,18.07.2024,€130.00m
Federico Valverde,26,11.10.2024,€130.00m
Rodri,28,18.07.2024,€130.00m
Declan Rice,25,27.05.2024,€120.00m
Martin Ødegaard,25,27.05.2024,€110.00m
Pedri,19,07.11.2022,€100.00m
Eduardo Camavinga,21,07.06.2024,€100.00m
Aurélien Tchouaméni,24,07.06.2024,€100.00m
Bernardo Silva,24,13.06.2019,€100.00m
N'Golo Kanté,27,19.12.2018,€100.00m
Dele Alli,22,28.05.2018,€100.00m
Paul Pogba,26,13.06.2019,€100.00m
Christian Eriksen,27,13.06.2019,€100.00m
Moisés Caicedo,21,09.10.2023,€90.00m
Gavi,18,07.11.2022,€90.00m
Cole Palmer,22,01.10.2024,€90.00m
Frenkie de Jong,22,20.12.2019,€90.00m
Sergej Milinković-Savić,23,07.06.2018,€90.00m
Bruno Fernandes,26,17.12.2020,€90.00m
Joshua Kimmich,26,10.02.2021,€90.00m
Saúl Ñíguez,23,31.10.2018,€90.00m
Isco,26,31.10.2018,€90.00m
N/A,N/A,N/A,N/A
Enzo Fernández,22,16.03.2023,€85.00m
Bruno Guimarães,25,09.10.2023,€85.00m
Xavi Simons,20,27.03.2024,€80.00m
Marcos Llorente,26,31.05.2021,€80.00m
Nicolò Barella,27,05.06.2024,€80.00m
James Rodríguez,23,01.07.2015,€80.00m
Sergio Busquets,29,01.01.2018,€80.00m
Toni Kroos,27,01.01.2018,€80.00m
Casemiro,28,05.03.2020,€80.00m
Alexis Mac Allister,25,27.05.2024,€75.00m
Dominik Szoboszlai,23,19.12.2023,€75.00m
Mason Mount,22,28.05.2021,€75.00m
Marco Verratti,26,07.03.2019,€75.00m
Douglas Luiz,25,14.03.2024,€70.00m
Arthur Melo,22,11.06.2019,€70.00m
James Maddison,26,09.10.2023,€70.00m
Fabinho,26,10.12.2019,€70.00m
Thomas Lemar,22,16.07.2018,€70.00m
Nabil Fekir,25,17.12.2018,€70.00m
Leon Goretzka,26,10.02.2021,€70.00m
Koke,25,01.01.2018,€70.00m
Thiago Alcántara,27,06.03.2019,€70.00m
Miralem Pjanic,28,12.10.2018,€70.00m
Ivan Rakitic,30,31.10.2018,€70.00m
Andrés Iniesta,28,07.08.2012,€70.00m
N/A,N/A,N/A,N/A
Kaká,25,11.09.2007,€70.00m
Tanguy Ndombélé,22,03.06.2019,€65.00m
Lucas Paquetá,26,09.10.2023,€65.00m
Naby Keïta,23,04.04.2018,€65.00m
Jorginho,26,19.12.2018,€65.00m
Xavi,29,07.01.2010,€65.00m
Warren Zaïre-Emery,17,18.12.2023,€60.00m
João Neves,20,07.10.2024,€60.00m
Eberechi Eze,26,01.10.2024,€60.00m
Manuel Ugarte,22,18.12.2023,€60.00m
Martín Zubimendi,25,11.10.2024,€60.00m
Sandro Tonali,23,09.10.2023,€60.00m
Fabián Ruiz,23,08.10.2019,€60.00m
Dani Olmo,26,18.07.2024,€60.00m
Wilfred Ndidi,24,08.06.2021,€60.00m
João Palhinha,28,19.12.2023,€60.00m
Marcelo Brozovic,27,12.12.2019,€60.00m
Allan,28,01.03.2019,€60.00m
Sergi Roberto,26,22.03.2018,€60.00m
Kobbie Mainoo,19,18.07.2024,€55.00m
Matheus Nunes,25,09.10.2023,€55.00m
Vitinha,24,18.07.2024,€55.00m
Amadou Onana,23,01.10.2024,€55.00m
Dejan Kulusevski,22,16.03.2023,€55.00m
Houssem Aouar,21,13.03.2020,€55.00m
N/A,N/A,N/A,N/A
Nicolò Zaniolo,21,25.08.2020,€55.00m
Lucas Torreira,22,19.12.2018,€55.00m
Franck Kessié,24,03.06.2021,€55.00m
Donny van de Beek,22,18.12.2019,€55.00m
Youri Tielemans,22,10.12.2019,€55.00m
Luis Alberto,27,03.03.2020,€55.00m
Mario Götze,21,12.02.2014,€55.00m
Luka Modric,28,20.07.2014,€55.00m
Cesc Fàbregas,22,25.01.2010,€55.00m
Aleksandar Pavlovic,20,09.10.2024,€50.00m
Fermín López,21,11.10.2024,€50.00m
Roméo Lavia,19,09.10.2023,€50.00m
Mohammed Kudus,23,14.03.2024,€50.00m
Conor Gallagher,24,27.05.2024,€50.00m
Jeremie Frimpong,23,14.12.2023,€50.00m
Mattéo Guendouzi,20,10.12.2019,€50.00m
Carlos Soler,22,11.06.2019,€50.00m
Teun Koopmeiners,26,05.06.2024,€50.00m
Rodrigo Bentancur,22,03.03.2020,€50.00m
Kalvin Phillips,26,29.03.2022,€50.00m
Giovani Lo Celso,23,11.06.2019,€50.00m
Mikel Merino,25,30.12.2021,€50.00m
Thomas Partey,25,28.02.2019,€50.00m
Rúben Neves,22,12.09.2019,€50.00m
Fred,25,13.08.2018,€50.00m
N/A,N/A,N/A,N/A
Julian Brandt,23,05.06.2019,€50.00m
Adrien Rabiot,23,04.06.2018,€50.00m
Piotr Zieliński,27,31.05.2021,€50.00m
Granit Xhaka,26,19.12.2018,€50.00m
İlkay Gündoğan,28,13.06.2019,€50.00m
Georginio Wijnaldum,28,13.06.2019,€50.00m
Mesut Özil,24,18.09.2013,€50.00m
David Silva,26,24.06.2012,€50.00m
Marco Reus,25,10.07.2014,€50.00m
Steven Gerrard,29,29.06.2009,€50.00m
Pape Matar Sarr,21,27.05.2024,€45.00m
Exequiel Palacios,25,29.05.2024,€45.00m
Denis Zakaria,23,17.12.2019,€45.00m
Dani Ceballos,23,12.09.2019,€45.00m
Lorenzo Pellegrini,25,14.10.2021,€45.00m
Tomas Soucek,26,23.12.2021,€45.00m
Corentin Tolisso,23,16.07.2018,€45.00m
Pierre-Emile Højbjerg,27,03.11.2022,€45.00m
Hakan Çalhanoğlu,30,05.06.2024,€45.00m
Mateo Kovacic,25,10.12.2019,€45.00m
Aaron Ramsey,27,28.05.2018,€45.00m
Juan Mata,25,02.07.2013,€45.00m
Radja Nainggolan,29,29.12.2017,€45.00m
Arturo Vidal,27,11.07.2014,€45.00m
Wesley Sneijder,26,02.08.2010,€45.00m
N/A,N/A,N/A,N/A
Frank Lampard,31,29.06.2009,€45.00m
Enzo Millot,22,09.10.2024,€42.00m
Giovanni Reyna,18,07.10.2021,€42.00m
Jacob Ramsey,22,20.06.2023,€42.00m
Joelinton,26,20.06.2023,€42.00m
Marcel Sabitzer,26,10.02.2021,€42.00m
João Gomes,23,01.10.2024,€40.00m
Manu Koné,22,22.06.2023,€40.00m
Éderson,24,05.06.2024,€40.00m
Oihan Sancet,24,11.10.2024,€40.00m
Ryan Gravenberch,22,01.10.2024,€40.00m
Khéphren Thuram,22,27.06.2023,€40.00m
Morten Hjulmand,24,06.06.2024,€40.00m
Morgan Gibbs-White,23,20.06.2023,€40.00m
Joey Veerman,25,31.05.2024,€40.00m
Emile Smith Rowe,21,29.03.2022,€40.00m
Frank Anguissa,27,21.03.2023,€40.00m
Ismaël Bennacer,23,29.12.2020,€40.00m
Brahim Díaz,24,07.06.2024,€40.00m
Brais Méndez,26,22.12.2023,€40.00m
Rodrigo de Paul,27,16.07.2021,€40.00m
Harry Winks,23,12.09.2019,€40.00m
Stanislav Lobotka,28,15.06.2023,€40.00m
Tiemoué Bakayoko,23,02.01.2018,€40.00m
Leandro Paredes,24,07.03.2019,€40.00m
N/A,N/A,N/A,N/A
Filip Kostić,27,11.03.2020,€40.00m
Alex Oxlade-Chamberlain,24,28.05.2018,€40.00m
Jesse Lingard,25,16.07.2018,€40.00m
Emre Can,25,06.06.2019,€40.00m
Oscar,23,12.02.2015,€40.00m
Nemanja Matic,26,01.07.2015,€40.00m
Paulinho,29,01.01.2018,€40.00m
Javi Martínez,29,04.04.2018,€40.00m
Marek Hamsik,26,25.09.2013,€40.00m
David Beckham,29,04.10.2004,€40.00m
Bastian Schweinsteiger,26,12.01.2011,€40.00m
Boubacar Kamara,24,19.12.2023,€38.00m
Joe Willock,23,20.06.2023,€38.00m
Florian Neuhaus,23,10.02.2021,€38.00m
James Ward-Prowse,28,16.03.2023,€38.00m
Daniele De Rossi,26,27.01.2010,€38.00m
Michael Essien,22,22.08.2005,€38.00m
Henrikh Mkhitaryan,27,01.08.2016,€37.00m
Yaya Touré,29,24.06.2012,€36.50m
Andrea Pirlo,28,15.02.2008,€36.00m
Alan Varela,22,06.06.2024,€35.00m
Georgiy Sudakov,21,06.06.2024,€35.00m
Harvey Elliott,19,15.09.2022,€35.00m
Cheick Doucouré,23,20.06.2023,€35.00m
Orkun Kökçü,22,23.06.2023,€35.00m
N/A,N/A,N/A,N/A
Curtis Jones,23,14.03.2024,€35.00m
Nicolò Fagioli,22,15.06.2023,€35.00m
Quinten Timber,23,14.10.2024,€35.00m
Yves Bissouma,25,29.03.2022,€35.00m
Edson Álvarez,25,11.11.2022,€35.00m
Davide Frattesi,24,05.06.2024,€35.00m
Ibrahim Sangaré,24,11.11.2022,€35.00m
Jerdy Schouten,27,14.10.2024,€35.00m
Emiliano Buendía,24,30.06.2021,€35.00m
Scott McTominay,24,28.05.2021,€35.00m
Manuel Locatelli,22,29.12.2020,€35.00m
Otávio,28,16.06.2023,€35.00m
Jean Michaël Seri,26,24.01.2018,€35.00m
Jordan Veretout,28,23.03.2021,€35.00m
João Mário,23,14.10.2016,€35.00m
Gylfi Sigurdsson,29,13.06.2019,€35.00m
Jordan Henderson,28,13.06.2019,€35.00m
Dani Parejo,30,20.12.2019,€35.00m
Sami Khedira,27,20.07.2014,€35.00m
Xabi Alonso,28,27.08.2010,€35.00m
Patrick Vieira,28,04.10.2004,€35.00m
Michael Ballack,29,08.12.2005,€35.00m
Charles De Ketelaere,23,05.06.2024,€34.00m
Jack Wilshere,21,02.07.2013,€33.00m
John McGinn,27,15.06.2022,€32.00m
N/A,N/A,N/A,N/A
Seko Fofana,28,27.06.2023,€32.00m
Leander Dendoncker,25,17.12.2020,€32.00m
Kerem Demirbay,25,05.06.2019,€32.00m
Juan Cuadrado,26,11.07.2014,€32.00m
Fernandinho,28,17.06.2013,€32.00m
Anderson,19,02.08.2007,€31.50m
Claudio Marchisio,26,18.01.2013,€31.00m
Esteban Cambiasso,29,02.08.2010,€31.00m
Arthur Vermeeren,18,19.12.2023,€30.00m
Pablo Barrios,21,11.10.2024,€30.00m
Adam Wharton,20,27.05.2024,€30.00m
Gabri Veiga,20,23.03.2023,€30.00m
Samuel Lino,24,07.06.2024,€30.00m
Bilal El Khannouss,20,04.06.2024,€30.00m
Rayan Cherki,19,27.06.2023,€30.00m
Youssouf Fofana,25,03.06.2024,€30.00m
Mohamed Camara,23,27.06.2023,€30.00m
Fábio Vieira,22,15.09.2022,€30.00m
Kiernan Dewsbury-Hall,25,27.10.2023,€30.00m
Tijjani Reijnders,25,05.06.2024,€30.00m
Mats Wieffer,24,31.05.2024,€30.00m
Brenden Aaronson,21,15.09.2022,€30.00m
Amine Harit,22,17.12.2019,€30.00m
Pablo Fornals,22,21.12.2018,€30.00m
Daichi Kamada,26,09.11.2022,€30.00m
N/A,N/A,N/A,N/A
Marc Roca,22,11.06.2019,€30.00m
Mathias Jensen,27,19.12.2023,€30.00m
Nikola Vlašić,23,29.12.2020,€30.00m
Sofyan Amrabat,26,15.06.2023,€30.00m
Carles Aleñá,21,11.06.2019,€30.00m
Aleksandr Golovin,22,06.09.2018,€30.00m
Joan Jordán,26,19.03.2021,€30.00m
Renato Sanches,18,22.07.2016,€30.00m
Konrad Laimer,22,11.03.2020,€30.00m
André Gomes,22,15.07.2016,€30.00m
Stefano Sensi,24,08.10.2019,€30.00m
Ruslan Malinovskyi,28,27.05.2021,€30.00m
Ruben Loftus-Cheek,23,13.06.2019,€30.00m
Julian Weigl,22,28.12.2017,€30.00m
Maximilian Eggestein,22,05.06.2019,€30.00m
Jean-Philippe Gbamin,23,18.12.2018,€30.00m
Danilo Pereira,27,07.06.2019,€30.00m
Ross Barkley,25,13.06.2019,€30.00m
Geoffrey Kondogbia,25,30.05.2018,€30.00m
Idrissa Gueye,30,27.09.2019,€30.00m
William Carvalho,24,29.07.2016,€30.00m
Ander Herrera,27,28.06.2017,€30.00m
Victor Wanyama,26,02.01.2018,€30.00m
Nico Gaitán,27,07.10.2015,€30.00m
Daichi Kamada,26,09.11.2022,€30.00m
N/A,N/A,N/A,N/A
Marc Roca,22,11.06.2019,€30.00m
Mathias Jensen,27,19.12.2023,€30.00m
Nikola Vlašić,23,29.12.2020,€30.00m
Sofyan Amrabat,26,15.06.2023,€30.00m
Carles Aleñá,21,11.06.2019,€30.00m
Aleksandr Golovin,22,06.09.2018,€30.00m
Joan Jordán,26,19.03.2021,€30.00m
Renato Sanches,18,22.07.2016,€30.00m
Konrad Laimer,22,11.03.2020,€30.00m
André Gomes,22,15.07.2016,€30.00m
Stefano Sensi,24,08.10.2019,€30.00m
Ruslan Malinovskyi,28,27.05.2021,€30.00m
Ruben Loftus-Cheek,23,13.06.2019,€30.00m
Julian Weigl,22,28.12.2017,€30.00m
Maximilian Eggestein,22,05.06.2019,€30.00m
Jean-Philippe Gbamin,23,18.12.2018,€30.00m
Danilo Pereira,27,07.06.2019,€30.00m
Ross Barkley,25,13.06.2019,€30.00m
Geoffrey Kondogbia,25,30.05.2018,€30.00m
Idrissa Gueye,30,27.09.2019,€30.00m
William Carvalho,24,29.07.2016,€30.00m
Ander Herrera,27,28.06.2017,€30.00m
Victor Wanyama,26,02.01.2018,€30.00m
Nico Gaitán,27,07.10.2015,€30.00m
Daichi Kamada,26,09.11.2022,€30.00m
N/A,N/A,N/A,N/A
Marc Roca,22,11.06.2019,€30.00m
Mathias Jensen,27,19.12.2023,€30.00m
Nikola Vlašić,23,29.12.2020,€30.00m
Sofyan Amrabat,26,15.06.2023,€30.00m
Carles Aleñá,21,11.06.2019,€30.00m
Aleksandr Golovin,22,06.09.2018,€30.00m
Joan Jordán,26,19.03.2021,€30.00m
Renato Sanches,18,22.07.2016,€30.00m
Konrad Laimer,22,11.03.2020,€30.00m
André Gomes,22,15.07.2016,€30.00m
Stefano Sensi,24,08.10.2019,€30.00m
Ruslan Malinovskyi,28,27.05.2021,€30.00m
Ruben Loftus-Cheek,23,13.06.2019,€30.00m
Julian Weigl,22,28.12.2017,€30.00m
Maximilian Eggestein,22,05.06.2019,€30.00m
Jean-Philippe Gbamin,23,18.12.2018,€30.00m
Danilo Pereira,27,07.06.2019,€30.00m
Ross Barkley,25,13.06.2019,€30.00m
Geoffrey Kondogbia,25,30.05.2018,€30.00m
Idrissa Gueye,30,27.09.2019,€30.00m
William Carvalho,24,29.07.2016,€30.00m
Ander Herrera,27,28.06.2017,€30.00m
Victor Wanyama,26,02.01.2018,€30.00m
Nico Gaitán,27,07.10.2015,€30.00m
Daichi Kamada,26,09.11.2022,€30.00m
N/A,N/A,N/A,N/A
Marc Roca,22,11.06.2019,€30.00m
Mathias Jensen,27,19.12.2023,€30.00m
Nikola Vlašić,23,29.12.2020,€30.00m
Sofyan Amrabat,26,15.06.2023,€30.00m
Carles Aleñá,21,11.06.2019,€30.00m
Aleksandr Golovin,22,06.09.2018,€30.00m
Joan Jordán,26,19.03.2021,€30.00m
Renato Sanches,18,22.07.2016,€30.00m
Konrad Laimer,22,11.03.2020,€30.00m
André Gomes,22,15.07.2016,€30.00m
Stefano Sensi,24,08.10.2019,€30.00m
Ruslan Malinovskyi,28,27.05.2021,€30.00m
Ruben Loftus-Cheek,23,13.06.2019,€30.00m
Julian Weigl,22,28.12.2017,€30.00m
Maximilian Eggestein,22,05.06.2019,€30.00m
Jean-Philippe Gbamin,23,18.12.2018,€30.00m
Danilo Pereira,27,07.06.2019,€30.00m
Ross Barkley,25,13.06.2019,€30.00m
Geoffrey Kondogbia,25,30.05.2018,€30.00m
Idrissa Gueye,30,27.09.2019,€30.00m
William Carvalho,24,29.07.2016,€30.00m
Ander Herrera,27,28.06.2017,€30.00m
Victor Wanyama,26,02.01.2018,€30.00m
Nico Gaitán,27,07.10.2015,€30.00m
