Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Arda,4,32,32,"2,700",32.0,,,,,,8,11,13,10,31.3,1,1,0,0,0.0
Beroe,2,32,32,"2,880",32.0,,,,,,11,8,13,9,28.1,6,6,0,0,0.0
Botev Plovdiv,3,31,31,"2,790",31.0,,,,,,15,8,8,10,32.3,2,2,0,0,0.0
Botev Vratsa,2,32,32,"2,880",32.0,,,,,,6,10,16,8,25.0,5,5,0,0,0.0
Cherno More,2,31,31,"2,790",31.0,,,,,,12,11,8,15,48.4,3,3,0,0,0.0
CSKA 1948,4,32,32,"2,880",32.0,,,,,,11,8,13,10,31.3,7,7,0,0,0.0
CSKA Sofia,2,31,31,"2,700",31.0,,,,,,16,10,5,14,45.2,4,4,0,0,0.0
Levski Sofia,2,31,31,"2,790",31.0,,,,,,15,7,9,15,48.4,4,4,0,0,0.0
Loko Plovdiv,2,32,32,"2,880",32.0,,,,,,9,11,12,8,25.0,5,5,0,0,0.0
Lokomotiv Sofia,3,32,32,"2,880",32.0,,,,,,8,10,14,8,25.0,4,4,0,0,0.0
Ludogorets,3,31,31,"2,790",31.0,,,,,,26,1,4,13,41.9,1,1,0,0,0.0
Pirin Blagoevgrad,5,32,32,"2,880",32.0,,,,,,9,6,17,4,12.5,9,9,0,0,0.0
Slavia Sofia,4,31,31,"2,788",31.0,,,,,,9,10,12,8,25.8,0,0,0,0,
Tsarsko Selo,5,32,32,"2,790",32.0,,,,,,5,11,16,12,37.5,5,5,0,0,0.0
