Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
AEK Athens,3,36,36,"3,240",36.0,,,,,,16,8,12,12,33.3,5,4,0,1,0.0
Apollon Smyrnis,3,33,33,"2,970",33.0,,,,,,4,10,19,9,27.3,11,9,1,1,10.0
Aris,3,36,36,"3,240",36.0,,,,,,18,8,10,18,50.0,5,4,1,0,20.0
Asteras Tripoli,2,33,33,"2,970",33.0,,,,,,11,8,14,14,42.4,5,5,0,0,0.0
Atromitos,3,33,33,"2,970",33.0,,,,,,8,9,16,7,21.2,8,7,0,1,0.0
Ionikos,3,33,33,"2,970",33.0,,,,,,12,9,12,8,24.2,11,9,1,1,10.0
OFI Crete,4,33,33,"2,970",33.0,,,,,,11,11,11,10,30.3,5,2,2,1,50.0
Olympiacos,4,36,36,"3,240",36.0,,,,,,25,8,3,15,41.7,2,1,1,0,50.0
Panathinaikos,2,36,36,"3,240",36.0,,,,,,18,7,11,19,52.8,4,4,0,0,0.0
Panetolikos,3,33,33,"2,970",33.0,,,,,,10,7,16,9,27.3,15,9,6,0,40.0
PAOK,2,36,36,"3,240",36.0,,,,,,19,7,10,13,36.1,2,2,0,0,0.0
PAS Giannina,2,36,36,"3,240",36.0,,,,,,12,10,14,15,41.7,4,3,1,0,25.0
PAS Lamia,2,33,33,"2,970",33.0,,,,,,6,8,19,7,21.2,4,3,1,0,25.0
Volos NFC,3,33,33,"2,970",33.0,,,,,,10,10,13,8,24.2,9,6,2,1,25.0
