Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Ajax,2,34,34,"3,060",34.0,38,1.12,114,76,67.5,20,9,5,11,32.4,1,1,0,0,0.0
AZ Alkmaar,2,34,34,"3,060",34.0,35,1.03,96,60,67.7,20,7,7,12,35.3,5,4,1,0,20.0
Cambuur,3,34,34,"3,060",34.0,69,2.03,207,141,69.6,5,4,25,7,20.6,7,6,0,1,0.0
Emmen,2,34,34,"3,060",34.0,65,1.91,164,100,61.6,6,10,18,7,20.6,2,2,0,0,0.0
Excelsior,2,34,34,"3,060",34.0,71,2.09,241,172,71.0,9,5,20,8,23.5,1,1,0,0,0.0
Feyenoord,2,34,34,"3,060",34.0,30,0.88,103,74,70.9,25,7,2,13,38.2,1,0,1,0,100.0
Fortuna Sittard,2,34,34,"3,060",34.0,62,1.82,184,124,67.9,10,6,18,7,20.6,3,3,0,0,0.0
Go Ahead Eag,1,34,34,"3,060",34.0,56,1.65,172,118,68.6,10,10,14,8,23.5,2,2,0,0,0.0
Groningen,3,34,34,"3,059",34.0,75,2.21,192,117,64.6,4,6,24,4,11.8,7,7,0,0,0.0
Heerenveen,3,34,34,"3,060",34.0,50,1.47,144,94,68.1,12,10,12,10,29.4,5,4,1,0,20.0
NEC Nijmegen,2,34,34,"3,060",34.0,45,1.32,183,139,77.6,8,15,11,9,26.5,4,4,0,0,0.0
PSV Eindhoven,2,34,34,"3,060",34.0,40,1.18,121,83,68.6,23,6,5,11,32.4,2,2,0,0,0.0
RKC Waalwijk,2,34,34,"3,060",34.0,64,1.88,208,143,71.6,11,8,15,6,17.6,8,5,2,1,28.6
Sparta R'dam,2,34,34,"3,060",34.0,37,1.09,158,121,77.8,17,8,9,14,41.2,3,2,1,0,33.3
Twente,2,34,34,"3,060",34.0,27,0.79,124,97,79.0,18,10,6,17,50.0,2,1,1,0,50.0
Utrecht,2,34,34,"3,060",34.0,50,1.47,160,110,69.4,15,9,10,12,35.3,1,1,0,0,0.0
Vitesse,3,34,34,"3,060",34.0,50,1.47,135,85,63.7,10,10,14,9,26.5,2,1,1,0,50.0
Volendam,2,34,34,"3,060",34.0,71,2.09,204,135,66.2,10,6,18,5,14.7,4,2,2,0,50.0
