Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Arouca,4,34,34,"3,060",34.0,37,1.09,149,109,78.5,15,9,10,15,44.1,10,5,4,1,44.4
Benfica,2,34,34,"3,060",34.0,20,0.59,73,54,75.3,28,3,3,21,61.8,2,2,0,0,0.0
Boavista,3,34,34,"3,060",34.0,54,1.59,143,90,65.7,12,8,14,6,17.6,7,5,1,1,16.7
Braga,3,34,34,"3,058",34.0,30,0.88,113,83,77.0,25,3,6,17,50.0,5,4,0,1,0.0
Casa Pia,3,34,34,"3,060",34.0,40,1.18,152,112,77.0,11,8,15,11,32.4,7,5,2,0,28.6
Chaves,3,34,34,"3,058",34.0,40,1.18,168,126,79.8,12,10,12,10,29.4,10,6,2,2,25.0
Estoril,2,34,34,"3,058",34.0,49,1.44,162,111,75.9,10,5,19,8,23.5,14,10,3,1,23.1
Famalicão,2,34,34,"3,060",34.0,47,1.38,156,109,74.4,13,5,16,10,29.4,9,7,2,0,22.2
Gil Vicente FC,2,34,34,"3,060",34.0,41,1.21,176,135,78.4,10,7,17,8,23.5,3,3,0,0,0.0
Marítimo,4,34,34,"3,060",34.0,63,1.85,167,105,66.5,7,5,22,5,14.7,9,7,0,2,0.0
Paços,4,34,34,"3,057",34.0,62,1.83,167,109,64.1,6,5,23,3,8.8,3,2,0,1,0.0
Portimonense,2,34,34,"3,060",34.0,48,1.41,199,151,76.9,10,4,20,8,23.5,4,2,1,1,33.3
Porto,2,34,34,"3,060",34.0,22,0.65,79,60,77.2,27,4,3,17,50.0,4,4,0,0,0.0
Rio Ave,2,34,34,"3,060",34.0,43,1.26,154,112,72.7,10,10,14,10,29.4,4,1,2,1,66.7
Santa Clara,2,34,34,"3,060",34.0,58,1.71,160,103,68.1,5,7,22,5,14.7,13,7,2,4,22.2
Sporting CP,2,34,34,"3,059",34.0,32,0.94,95,64,70.5,23,5,6,14,41.2,4,4,0,0,0.0
Vitória,3,34,34,"3,060",34.0,39,1.15,128,90,71.1,16,5,13,14,41.2,3,2,0,1,0.0
Vizela,2,34,34,"3,060",34.0,38,1.12,139,100,77.7,11,7,16,11,32.4,9,7,2,0,22.2
