Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Adana Demirspor,3,36,36,"3,060",34.0,45,1.32,151,114,75.5,18,9,7,9,25.0,8,8,0,0,0.0
Alanyaspor,2,36,36,"3,060",34.0,70,2.06,180,121,66.7,9,8,17,6,16.7,11,10,1,0,9.1
Ankaragücü,3,36,36,"3,149",35.0,53,1.51,166,120,72.3,11,6,18,6,16.7,7,7,0,0,0.0
Antalyaspor,4,36,36,"3,150",35.0,55,1.57,151,102,66.2,10,8,17,8,22.2,6,4,2,0,33.3
Başakşehir,3,36,36,"3,060",34.0,34,1.00,127,100,78.0,16,8,10,11,30.6,8,6,1,1,14.3
Beşiktaş,3,36,36,"3,060",34.0,36,1.06,101,67,66.3,21,9,4,10,27.8,3,2,0,1,0.0
Fatih Karagümrük,3,36,36,"3,060",34.0,63,1.85,157,101,64.3,11,12,11,7,19.4,10,7,2,1,22.2
Fenerbahçe,2,36,36,"3,060",34.0,42,1.24,113,77,68.1,23,5,6,10,27.8,7,6,1,0,14.3
Galatasaray,2,36,36,"3,060",34.0,27,0.79,107,81,75.7,26,4,4,16,44.4,2,1,1,0,50.0
Gaziantep FK,1,36,36,"1,980",22.0,30,1.36,99,74,73.7,6,7,9,3,8.3,6,4,2,0,33.3
Giresunspor,2,36,36,"3,060",34.0,60,1.76,154,102,65.6,8,10,16,6,16.7,10,7,2,1,22.2
Hatayspor,1,36,36,"1,890",21.0,35,1.67,111,80,72.1,6,5,10,4,11.1,4,4,0,0,0.0
İstanbulspor,2,36,36,"3,060",34.0,63,1.85,176,124,68.8,10,5,19,7,19.4,11,8,3,0,27.3
Kasımpaşa,3,36,36,"3,150",35.0,61,1.74,155,101,65.2,11,7,17,8,22.2,7,7,0,0,0.0
Kayserispor,2,36,36,"3,059",34.0,61,1.79,164,110,66.5,13,5,16,7,19.4,7,6,1,0,14.3
Konyaspor,2,36,36,"3,058",34.0,41,1.21,127,92,73.2,10,15,9,9,25.0,7,7,0,0,0.0
Sivasspor,2,36,36,"3,150",35.0,53,1.51,146,97,67.1,10,8,17,7,19.4,5,5,0,0,0.0
Trabzonspor,2,36,36,"3,150",35.0,54,1.54,142,94,66.2,16,6,13,13,36.1,6,6,0,0,0.0
Ümraniyespor,4,36,36,"3,060",34.0,64,1.88,186,132,70.4,5,9,20,1,2.8,10,9,1,0,10.0
